source_year,year,entry_time,source,signal,entry_price,timeframe,mfe_target,mae_target,actual_net_profit,session_name,session_is_dst,entry_structure,ea_status,ea_reject_reason,last_bos_age_hours,last_choch_age_hours,choch_to_bos_hours,last_bos_direction,last_choch_direction,bos_choch_aligned,h1_trend_aligned,h1_above_ema200,h1_atr_14,h1_vol_ratio,body_ratio,vol_ratio,atr_14,hour_of_day,day_of_week,session_priority,is_london,is_ny,is_overlap,distance_to_last_ll_pips,distance_to_last_hh_pips,h4_ema200_distance_pct,spread_to_atr_ratio,body_ratio_ea,h4_atr_14,h1_atr_14_pct,h1_ext_ema200_distance_atr,h4_ema200_distance_atr,h1_ext_ema200_distance_pct,h4_vol_ratio,spread_pct,init_risk_points,atr_14_pct,m15_ema200_distance_atr,m15_ema200_distance_pct,spread,body_ratio_min,body_ratio_passed,body_ratio_mode_enc,init_reward_points,initial_rr,momentum_3_atr,momentum_5_atr,momentum_10_atr,session_zone_name,session_zone_is_dst,minutes_from_session_open,minutes_to_session_close,session_range_points,price_position_session_range,distance_to_session_high_atr,distance_to_session_low_atr,h4_atr_14_pct,h1_ext_atr_14_pct,init_risk_pct,double_trend_aligned,mfe_target_norm,mae_target_norm,predicted_mfe,predicted_mae,fold_test_year,fold_train_samples,expected_rr,dynamic_lot,dynamic_net_pnl
2020-12-30,2020,2020-01-03 03:30:00+00:00,EXECUTED,BUY,1532.43,M15,4965.999999999985,42.00000000000728,646.11,Sydney_Tokyo_Overlap,NO,BoS_1,EXECUTED,,0.0,11.75,11.75,1,1,1,1,1,3.0149999999999864,1.0763274705470078,0.6409266409266928,2.1835349660666865,0.9028571428571176,3,4,0,0,0,0,11.100000000001272,-11.100000000001272,0.0,36.55063291139343,0.6409266409266928,0.0,0.196746344041815,3.95647331736703,0.0,0.0,0.5100029662832471,2.1534425716019654,300.0,0.0589166971970737,10.457515710090112,0.6161222865250209,33.0,0.5,1.0,1.0,300.0,1.0,2.1044303797469954,2.802215189873466,4.61867088607616,Sydney_Tokyo_Overlap,NO,150.0,270.0,1465.0,0.2873720136518823,11.56329113924064,4.662974683544475,0.0,0.0,19.57675065092696,0.0,14582.721559875448,123.33352910086124,1152.1483335107423,973.1740712276056,2020,229,1.1839077587192295,0.01,646.11
2020-12-30,2020,2020-01-06 01:00:00+00:00,EXECUTED,BUY,1574.97,M15,499.0000000000009,1426.9999999999982,-154.5,Sydney_Tokyo_Overlap,NO,BoS_2,EXECUTED,,0.0,81.25,81.25,1,1,1,1,1,5.987142857142869,1.4685775833644736,0.1157232704402633,1.9163097199341024,3.446428571428572,1,0,0,0,0,0,-71.19999999999891,71.19999999999891,0.0,55.70984455958549,0.1157232704402633,0.0,0.3801432952464408,8.257779934792715,0.0,0.0,1.3035277680754451,12.190708394445608,300.0,0.2188250297738097,11.247709036746178,2.461280264853132,192.0,0.5,1.0,1.0,300.0,1.0,7.207461139896349,7.529533678756489,8.327461139896386,Sydney_Tokyo_Overlap,NO,0.0,420.0,990.0,0.5959595959595997,1.160621761658031,1.7119170984456222,0.0,0.0,19.047981866321265,0.0,1425.741442694149,4077.220518486061,1282.381811007487,1148.137856071606,2020,229,1.1169232024063742,0.01,-154.5
2020-12-30,2020,2020-01-20 07:45:00+00:00,EXECUTED,BUY,1561.86,M15,673.0000000000018,928.9999999999964,47.66,Sydney_Tokyo_Overlap,NO,BoS_2,EXECUTED,,0.0,101.75,101.75,1,1,1,1,1,2.2664285714285564,0.6552098408104197,0.6956521739129489,2.014051522248244,0.6442857142857454,7,0,0,0,0,0,6.499999999998636,-6.499999999998636,1.5270862919326569,40.35476718403353,0.6956521739129489,4.862142857142852,0.1451108659821339,4.258835954147097,4.9054399798517965,0.0,0.5161133656176595,1.6646818536872705,300.0,0.0412511821985162,9.47541130894716,0.3908719183112604,26.0,0.5,1.0,1.0,300.0,1.0,3.585365853658278,3.725055432372114,5.509977827050661,Sydney_Tokyo_Overlap,NO,405.0,15.0,423.0,1.1891252955082627,-1.241685144124038,7.80709534368029,0.3113046532431109,0.0,19.20786754254543,0.0,1939.034228419966,2676.6163420536946,858.900301796875,737.7719554752916,2020,229,1.164181283149411,0.01,47.66
2020-12-30,2020,2020-01-23 01:15:00+00:00,EXECUTED,BUY,1561.19,M15,672.0000000000027,934.0000000000146,7.62,Sydney_Tokyo_Overlap,NO,CHoCH,EXECUTED,,46.0,0.0,46.0,1,1,1,1,1,2.419285714285756,0.6461362796789468,0.8614232209737422,0.8882846136415137,0.8157142857143072,1,3,0,0,0,0,12.300000000000182,-12.300000000000182,1.2934727396610155,187.56567425568684,0.8614232209737422,6.263571428571465,0.154964207706029,2.6544990653495684,3.223970109481032,0.0,0.8032628294508509,9.800216501514871,300.0,0.0522495202835213,5.067909767801186,0.2647958542077841,153.0,0.5,1.0,1.0,300.0,1.0,2.978984238178634,2.7583187390542183,4.388791593695346,Sydney_Tokyo_Overlap,NO,15.0,405.0,652.0,0.7975460122699478,1.6182136602450634,6.374781085814249,0.4012049416516545,0.0,19.21611078728406,0.0,1936.983967358241,2692.1771212985386,1026.4204246158854,618.6873583376238,2020,229,1.6590292508542863,0.04,30.48
2020-12-30,2020,2020-01-24 17:15:00+00:00,EXECUTED,BUY,1574.84,M15,1344.0000000000057,600.0,77.62,London_NewYork_Overlap,NO,BoS_1,EXECUTED,,0.0,23.0,23.0,1,1,1,1,1,3.356428571428588,3.0480838756326825,0.8614609571788497,1.9957319675629528,2.698571428571362,17,4,1,0,1,0,69.29999999999836,-69.29999999999836,2.02419828680892,11.116993118052154,0.8614609571788497,6.2392857142857565,0.2131282270852015,5.45394036598123,5.109220151113214,0.0,2.158077632890334,1.9049554240430773,300.0,0.171355276000823,5.5971675099639215,0.9591041834927072,30.0,0.5,1.0,1.0,300.0,1.0,4.754367390153611,5.06193753308636,6.2255161461091895,London_NewYork_Overlap,NO,195.0,45.0,1763.0,0.997731140102088,0.0148226574908069,6.518263631551216,0.396185372119438,0.0,19.049554240430773,0.0,3840.390134870861,1714.4598816387695,1303.0774004730902,986.3228985590142,2020,229,1.3211468600970777,0.02,155.24
2020-12-30,2020,2020-02-12 18:30:00+00:00,EXECUTED,BUY,1570.19,M15,813.9999999999873,522.0000000000027,73.11,NewYork,NO,CHoCH,EXECUTED,,25.0,0.0,25.0,-1,1,0,1,1,2.7385714285714227,1.3377824965872895,0.8786610878661291,0.9841463988333256,1.740000000000009,18,2,1,0,1,0,7.100000000000364,-7.100000000000364,0.8015182913418131,15.517241379310263,0.8786610878661291,4.983571428571411,0.174410194216714,0.8132550568533277,2.5253696549158784,0.0,1.4122134427431496,1.7195371260802832,300.0,0.110814614791841,1.46591402697976,0.1624446982177186,27.0,0.5,1.0,1.0,300.0,1.0,1.7701149425288152,2.781609195402368,2.252873563218421,NewYork,NO,30.0,270.0,469.0,1.0,0.0,2.695402298850592,0.3173865219222775,0.0,19.105968067558702,0.0,2332.838701048881,1495.997299689854,840.2730542865669,789.7223291730469,2020,229,1.06401075827051,0.01,73.11
2020-12-30,2020,2020-02-14 15:30:00+00:00,EXECUTED,BUY,1579.9,M15,510.99999999999,212.00000000001185,15.18,London_NewYork_Overlap,NO,BoS_1,EXECUTED,,0.0,45.0,45.0,1,1,1,1,1,2.019285714285713,2.09126598843345,1.0,3.252589081972968,1.0349999999999844,15,4,2,1,1,1,15.700000000001635,-15.700000000001635,1.2982617038194575,40.57971014492815,1.0,4.654285714285704,0.1278109826119192,4.818439064952706,4.40695692481601,0.0,0.8499377591650661,2.658396101019052,300.0,0.0655104753465399,6.157602688791108,0.4033874791378378,42.0,0.5,1.0,1.0,300.0,1.0,4.135265700483347,3.246376811594375,3.76811594202913,London_NewYork_Overlap,NO,90.0,150.0,731.0,0.6196990424076735,2.6859903381642654,4.376811594203158,0.294593690378233,0.0,18.98854357870751,0.0,1455.4718653079024,603.8356858029326,838.7713271647135,666.302675669517,2020,229,1.258844302736584,0.02,30.36
2020-12-30,2020,2020-02-18 01:00:00+00:00,EXECUTED,BUY,1584.61,M15,2044.0000000000048,96.99999999998,224.34,Sydney_Tokyo_Overlap,NO,CHoCH,EXECUTED,,81.5,0.0,81.5,1,1,1,1,1,1.5792857142857233,0.9861822698338768,0.4380952380951834,1.0114768571068231,0.8785714285713928,1,1,0,0,0,0,8.299999999999272,-8.299999999999272,1.4790523775216946,88.78048780488166,0.4380952380951834,3.720000000000011,0.0996640002452163,7.321510734527835,6.300325774044746,0.0,0.7900613365318043,4.922346823508624,300.0,0.0554440164186388,6.311622965659784,0.349941727336299,78.0,0.5,1.0,1.0,300.0,1.0,3.4487804878049872,3.3463414634145736,3.926829268292636,Sydney_Tokyo_Overlap,NO,0.0,420.0,363.0,0.2534435261707645,3.084552845528622,1.0471544715445822,0.2347580792750273,0.0,18.93210316734086,0.0,5804.582831106723,275.4621010847528,1081.4638281152345,793.1091627958693,2020,229,1.3635750018356325,0.02,448.68
2020-12-30,2020,2020-02-19 10:00:00+00:00,EXECUTED,BUY,1606.71,M15,620.0000000000045,432.9999999999927,10.53,London,NO,BoS_1,EXECUTED,,0.0,33.0,33.0,1,1,1,1,1,2.267142857142809,1.4722983172136188,0.954081632653104,2.5484061892280376,1.2414285714285629,10,2,3,1,0,0,16.60000000000082,-16.60000000000082,2.6575279566486065,20.13808975834306,0.954081632653104,4.729999999999985,0.1411046708580147,12.06723746664566,9.02722355861923,0.0,1.5748676047058354,1.5559746313896097,300.0,0.0772652545530035,11.724061072394946,0.9058625631535548,25.0,0.5,1.0,1.0,300.0,1.0,1.506329113924156,2.4810126582278067,3.101265822784941,London,NO,0.0,240.0,619.0,0.3021001615509049,3.4798619102416297,1.506329113924156,0.2943904002589133,0.0,18.67169557667532,0.0,1736.4676886308173,1212.7266277050414,907.4614745865886,827.2040957721642,2020,229,1.0970224630470513,0.01,10.53
2020-12-30,2020,2020-03-05 15:15:00+00:00,EXECUTED,BUY,1654.59,M15,3535.0000000000136,303.9999999999964,323.32,London_NewYork_Overlap,NO,BoS_1,EXECUTED,,0.0,50.25,50.25,1,1,1,1,1,4.06142857142858,1.6525990553194514,0.6190476190476019,1.3299789216019582,2.853571428571464,15,3,2,1,1,1,14.59999999999809,-14.59999999999809,3.476291311016272,12.265331664580572,0.6190476190476019,12.645714285714282,0.2454643489582664,6.973494902611734,4.548447569143798,0.0,1.0971610585705316,2.1153276642551933,300.0,0.172463959565298,6.786267624689129,1.170386585223677,35.0,0.5,1.0,1.0,300.0,1.0,1.359699624530605,2.5371714643303847,2.5757196495618886,London_NewYork_Overlap,NO,75.0,165.0,1223.0,0.5911692559280464,1.7521902377972247,2.533667083854793,0.7642808360811006,0.0,18.131379979330227,0.0,9614.16423403989,826.7909270574486,1952.6413362695312,1279.1091482940426,2020,229,1.5265634984112055,0.04,1293.28
