source_year,year,entry_time,source,signal,entry_price,timeframe,mfe_target,mae_target,actual_net_profit,session_name,session_is_dst,entry_structure,ea_status,ea_reject_reason,last_bos_age_hours,last_choch_age_hours,choch_to_bos_hours,last_bos_direction,last_choch_direction,bos_choch_aligned,h1_trend_aligned,h1_above_ema200,h1_atr_14,h1_vol_ratio,body_ratio,vol_ratio,atr_14,hour_of_day,day_of_week,session_priority,is_london,is_ny,is_overlap,distance_to_last_ll_pips,distance_to_last_hh_pips,h4_ema200_distance_pct,spread_to_atr_ratio,body_ratio_ea,h4_atr_14,h1_atr_14_pct,h1_ext_ema200_distance_atr,h4_ema200_distance_atr,h1_ext_ema200_distance_pct,h4_vol_ratio,spread_pct,init_risk_points,atr_14_pct,m15_ema200_distance_atr,m15_ema200_distance_pct,spread,body_ratio_min,body_ratio_passed,body_ratio_mode_enc,init_reward_points,initial_rr,momentum_3_atr,momentum_5_atr,momentum_10_atr,session_zone_name,session_zone_is_dst,minutes_from_session_open,minutes_to_session_close,session_range_points,price_position_session_range,distance_to_session_high_atr,distance_to_session_low_atr,h4_atr_14_pct,h1_ext_atr_14_pct,init_risk_pct,double_trend_aligned
2019-12-30,2019,2019-01-02 07:15:00,EXECUTED,BUY,1284.7,M15,654.9999999999955,605.9999999999945,-76.8,Sydney_Tokyo_Overlap,NO,CHoCH,EXECUTED,nan,999.0,0.0,0.0,0,1,0,0,0,0.0,1.0,0.5174418604651663,1.0,0.0,7,2,0,0,0,0,6.800000000000637,-6.800000000000637,0.0,0.0,0.5174418604651663,0.0,0.0,0.0,0.0,0.0,1.0,3.8141200280221064,300.0,0.0,0.0,0.0,49.0,0.5,1.0,1.0,300.0,1.0,0.0,0.0,0.0,Sydney_Tokyo_Overlap,NO,90.0,30.0,342.0000000000073,0.7865497076023384,0.0,0.0,0.0,0.0,23.35175527360473,0.0
2019-12-30,2019,2019-01-03 07:30:00,EXECUTED,BUY,1289.46,M15,905.9999999999945,496.00000000000364,92.01,Sydney_Tokyo_Overlap,NO,BoS_1,EXECUTED,nan,0.0,24.25,24.25,1,1,1,1,1,3.038571428571426,0.4525077052395629,0.9184782608696357,1.1622103386809268,0.7349999999999649,7,3,0,0,0,0,7.599999999999909,6.700000000000728,0.0,47.619047619049894,0.9184782608696357,0.0,0.23564681561052112,1.7100723089538195,0.0,0.0,0.7671226792218175,2.714314519256123,300.0,0.05700060490437585,6.509295666847987,0.3710337905117679,35.0,0.5,1.0,1.0,300.0,1.0,1.5102040816328983,1.741496598639502,1.3877551020408578,Sydney_Tokyo_Overlap,NO,405.0,15.0,507.00000000001637,0.8678500986193193,0.9115646258504827,5.986394557823539,0.0,0.0,23.265553022195338,0.0
2019-12-30,2019,2019-01-03 21:45:00,EXECUTED,BUY,1293.33,M15,519.0000000000055,1678.9999999999964,-64.59,NewYork,NO,BoS_2,EXECUTED,nan,0.0,38.5,38.5,1,1,1,1,1,2.830714285714277,0.5010282295756217,0.7183908045976974,0.5015776302905016,1.2685714285714116,21,3,1,0,1,0,10.699999999999363,-10.699999999999363,0.0,27.59009009009046,0.7183908045976974,0.0,0.2188702253650868,2.9472046201347557,0.0,0.0,1.9184420772303594,2.706192541733355,300.0,0.09808567253302804,5.204742259238975,0.5105106448585266,35.0,0.5,1.0,1.0,300.0,1.0,1.5292792792791636,2.104729729729636,2.7747747747747975,NewYork,NO,240.0,60.0,517.0000000000073,0.9825918762088696,0.0709459459460616,4.004504504504501,0.0,0.0,23.195936072000187,0.0
2019-12-30,2019,2019-01-04 16:15:00,EXECUTED,SELL,1283.11,M15,656.9999999999936,1192.0000000000073,0.0,London_NewYork_Overlap,NO,REJECTED,REJECTED,CHoCH H1 EMA200 Filter,18.5,0.0,18.5,1,-1,0,1,1,2.3242857142856956,3.0919240788983995,0.680769230769335,2.216576254892536,1.469285714285726,16,4,2,1,1,1,-154.10000000000082,154.10000000000082,-0.27193635745397704,25.8629071463294,0.680769230769335,5.1171428571428645,0.18114469642397735,-1.3807339928832758,-0.681873204156729,0.0,1.1790111393394567,2.961554348419076,300.0,0.11450972358455051,-4.598522405921832,-0.5265755295994712,38.0,0.5,1.0,1.0,300.0,1.0,-3.1035488575596455,-5.213417598444351,-5.540106951871682,London_NewYork_Overlap,NO,150.0,90.0,902.9999999999973,0.053156146179378985,5.819154107924239,0.32668935342717637,0.3988078073698175,0.0,23.380692224361123,0.0
2019-12-30,2019,2019-01-10 05:00:00,EXECUTED,BUY,1296.05,M15,98.00000000000182,1001.9999999999982,-115.05,Sydney_Tokyo_Overlap,NO,CHoCH,EXECUTED,nan,151.25,0.0,151.25,1,1,1,1,1,2.5714285714285876,0.594675016099305,0.7379679144384825,1.731266149870801,0.9549999999999922,5,3,0,0,0,0,10.199999999999818,-10.199999999999818,0.72581495523174,37.69633507853434,0.7379679144384825,4.147142857142902,0.19840504389711722,3.72048602084912,2.268290495727387,0.0,0.6053193528980094,2.7776706145596233,300.0,0.07368542880290052,9.082802281938967,0.6692701808766361,36.0,0.5,1.0,1.0,300.0,1.0,2.3350785340314517,3.6649214659686162,3.1204188481675836,Sydney_Tokyo_Overlap,NO,255.0,165.0,500.0,0.9019999999999981,0.5130890052356158,4.722513089005265,0.3199832457962966,0.0,23.147255121330197,0.0
2019-12-30,2019,2019-01-18 11:15:00,EXECUTED,SELL,1284.45,M15,695.0000000000045,197.00000000000273,0.0,London,NO,REJECTED,REJECTED,CHoCH H4 EMA Filter,349.5,0.0,349.5,1,-1,0,0,0,1.567142857142861,1.0051909862873947,0.9594594594594353,2.0947556615017877,1.1807142857142676,11,4,3,1,0,0,-87.69999999999982,87.69999999999982,-0.2839472768887252,31.33696309739915,0.9594594594594353,3.266428571428605,0.12200886427209007,-3.698102747067338,-1.1165591771694883,0.0,0.6879292561824883,2.8806103779827943,300.0,0.0919237249962449,-5.988690726538987,-0.5505027594339319,37.0,0.5,1.0,1.0,300.0,1.0,-2.752571082879655,-4.395644283121711,-6.377495462794993,London,NO,90.0,150.0,576.9999999999982,0.024263431542478422,4.768300060496041,0.11857229280105448,0.2543056227512636,0.0,23.356300362022655,0.0
2019-12-30,2019,2019-01-18 22:45:00,EXECUTED,SELL,1280.63,M15,387.0000000000118,283.9999999999918,0.0,Sydney,NO,REJECTED,REJECTED,H4 EMA Filter,0.0,11.5,11.5,-1,-1,1,0,0,2.244999999999988,0.9134800509463582,0.8604651162786886,1.3794056668970283,0.6778571428571435,22,4,0,0,0,0,0.7000000000016371,125.89999999999918,-0.5726176824773275,48.68282402528973,0.8604651162786886,3.866428571428579,0.17530434239397702,-3.9359697983994835,-1.8966117417242085,0.0,1.52424563339946,2.576856703341324,300.0,0.052931537044825075,-11.602847955092214,-0.6141565763604364,33.0,0.5,1.0,1.0,300.0,1.0,-1.0916754478395083,-3.3340358271864954,-3.6585879873547986,Sydney,NO,0.0,3000.0,0.0,0.5,0.0,0.0,0.30191613279624707,0.0,23.425970030375673,0.0
2019-12-30,2019,2019-01-21 10:45:00,EXECUTED,SELL,1279.02,M15,225.9999999999991,577.9999999999973,-37.69999999999982,London,NO,NONE,NO_MATCH,N/A,0.0,71.5,71.5,-1,-1,1,0,0,1.431428571428585,1.217948717948718,0.5022421524664167,2.357355010161013,0.8414285714285695,10,0,3,1,0,0,-44.500000000000455,44.500000000000455,-0.685061651799301,64.17657045840421,0.5022421524664167,3.6964285714285876,0.11191604286317533,-6.750093086063938,-2.3704165708948275,0.0,0.6419703069742317,4.221982455317352,300.0,0.06578697529581787,-8.566218321442797,-0.5635455930913396,54.0,0.5,1.0,1.0,300.0,1.0,-3.850594227504264,-4.623089983022201,-3.838709677419385,London,NO,60.0,180.0,458.9999999999918,0.22004357298475138,4.254668930390416,1.2003395585738459,0.28900475140565335,0.0,23.455458085096403,0.0
2019-12-30,2019,2019-01-22 10:00:00,EXECUTED,BUY,1283.35,M15,312.0000000000118,419.9999999999818,0.0,London,NO,REJECTED,REJECTED,CHoCH H1 EMA200 Filter,23.25,0.0,23.25,-1,1,0,0,0,1.4935714285714181,1.549581033318772,0.7689530685920202,2.544642857142857,1.0942857142857096,10,1,3,1,0,0,23.69999999999891,-23.69999999999891,-0.3122762458158188,31.070496083551046,0.7689530685920202,3.430000000000015,0.11638067780195725,-2.5135308907777554,-1.1683956853286568,0.0,0.8816497036433093,2.6493162426461994,300.0,0.08526790932214202,0.7185384163779083,0.06126826853218701,34.0,0.5,1.0,1.0,300.0,1.0,2.1475195822453568,4.331592689295066,3.9477806788511334,London,NO,15.0,225.0,276.9999999999982,0.8411552346570189,0.4020887728460046,2.1292428198432845,0.26726925624342657,0.0,23.376319788054705,0.0
2019-12-30,2019,2019-01-23 10:15:00,EXECUTED,BUY,1285.81,M15,66.00000000000819,754.9999999999955,0.0,London,NO,REJECTED,REJECTED,H1 EMA200 Filter,0.0,24.25,24.25,1,1,1,0,0,1.259999999999991,1.113188868111319,0.6944444444444913,1.3639410187667562,0.72214285714285,10,2,3,1,0,0,10.099999999999909,-2.0000000000004547,-0.10550540538550399,44.31256181998066,0.6944444444444913,3.159285714285732,0.09799270498751689,-0.4876230186060414,-0.42940055939006955,0.0,0.7907416154936231,2.4887036187306055,300.0,0.056162485681620924,3.381341170349371,0.1899045250644219,32.0,0.5,1.0,1.0,300.0,1.0,1.1216617210681847,2.7833827893175225,2.5064292779425803,London,NO,30.0,210.0,200.9999999999991,0.885572139303473,0.31849653808113615,2.4648862512363863,0.24570393092958773,0.0,23.33159642559943,0.0
2019-12-30,2019,2019-01-24 10:45:00,EXECUTED,SELL,1278.88,M15,218.00000000000637,621.99999999998,0.0,London,NO,REJECTED,REJECTED,CHoCH H4 EMA Filter,24.5,0.0,24.5,1,-1,0,0,0,1.3435714285714246,1.7085163082235484,0.653631284916128,1.3641434262948207,0.7942857142857227,10,3,3,1,0,0,-69.29999999999836,69.29999999999836,-0.6296283587185265,46.582733812949144,0.653631284916128,3.539285714285711,0.10505844399563873,-5.067634758241756,-2.27508932705778,0.0,0.6385669562332842,2.8931565119479545,300.0,0.062107915854945156,-5.206925392823552,-0.3233912841604624,37.0,0.5,1.0,1.0,300.0,1.0,-1.1079136690645877,-1.775179856114906,-3.8776978417264862,London,NO,60.0,180.0,243.00000000000637,0.25514403292185267,2.278776978417173,0.7805755395684859,0.2767488516737857,0.0,23.45802577255098,0.0
2019-12-30,2019,2019-01-25 09:45:00,EXECUTED,BUY,1284.53,M15,1981.9999999999936,214.99999999998636,259.26,London,NO,CHoCH,EXECUTED,nan,47.5,0.0,47.5,1,1,1,0,0,1.4871428571428364,0.9469964664310954,0.3749999999999645,1.3012512030798844,0.7335714285714273,9,4,3,1,0,0,6.800000000000637,-6.800000000000637,-0.158104339075981,51.801363193768346,0.3749999999999645,3.509999999999942,0.11577330674587877,-0.18514627319344873,-0.5786033238554793,0.0,0.7258257367781679,2.958280460557558,300.0,0.05710815851489863,3.42756404783963,0.19574187096399318,38.0,0.5,1.0,1.0,300.0,1.0,0.4907497565724058,1.4177215189872947,3.244401168451646,London,NO,0.0,240.0,0.0,0.5,0.0,0.0,0.2732516951725489,0.0,23.354845741243878,0.0
2019-12-30,2019,2019-01-29 08:00:00,EXECUTED,BUY,1305.27,M15,1016.0000000000082,56.99999999999363,140.76,Asia,NO,BoS_1,EXECUTED,nan,0.0,94.25,94.25,1,1,1,1,1,1.40142857142858,0.6648915341843527,0.8955223880597901,1.908596738473928,0.622142857142876,8,1,3,1,0,0,13.599999999999,-9.200000000000728,1.3228784198828178,77.1526980482181,0.8955223880597901,4.167142857142819,0.10736694871011974,10.81186551847946,4.143638877560243,0.0,0.6655676527599137,3.677400078144752,300.0,0.047663920655716896,11.891937457461307,0.5668163634151835,48.0,0.5,1.0,1.0,300.0,1.0,2.2181400688860804,2.5074626865670004,2.861079219288044,Asia,NO,15.0,45.0,133.99999999999181,0.9701492537313686,0.06429391504012327,2.0895522388058336,0.31925523892702806,0.0,22.9837504884047,0.0
2019-12-30,2019,2019-01-30 21:00:00,EXECUTED,BUY,1316.92,M15,932.9999999999927,89.00000000001,34.83,NewYork,NO,BoS_2,EXECUTED,nan,0.0,131.25,131.25,1,1,1,1,1,1.7671428571428578,0.9408156239241339,0.8851802403204407,4.954440943540833,1.3428571428571558,21,2,1,0,1,0,10.500000000001819,-10.500000000001819,2.0426647327871783,99.04255319148841,0.8851802403204407,3.5228571428571707,0.13418756318856556,11.56837673729104,7.6359214433554286,0.0,1.3401049547664274,10.099322661968836,300.0,0.10196953063642102,6.341707887451734,0.6466609767167424,133.0,0.5,1.0,1.0,300.0,1.0,4.669148936170154,4.371276595744726,4.140425531914982,NewYork,NO,195.0,105.0,858.9999999999918,0.9313154831199157,0.43936170212759434,5.95744680851058,0.26750730058448274,0.0,22.78042705707256,0.0
2019-12-30,2019,2019-01-31 14:15:00,EXECUTED,BUY,1324.16,M15,208.99999999999181,756.0000000000173,0.0,London_NewYork_Overlap,NO,REJECTED,REJECTED,Max BOS Cycle Limit (2),0.0,148.5,148.5,1,1,1,1,1,1.6685714285714053,0.7680302914012331,0.9756097560975835,0.9573010015814444,0.8378571428571117,14,3,2,1,1,1,7.90000000000191,-7.90000000000191,2.4907284528519025,52.51491901108465,0.9756097560975835,4.314285714285753,0.126009804598493,14.515691238354306,7.6446559327478205,0.0,1.1929841593450157,3.322861285645239,300.0,0.06327461506593701,12.024683767870796,0.7608572367016457,44.0,0.5,1.0,1.0,300.0,1.0,1.1219096334186918,1.6589940323957482,4.1892583120206055,London_NewYork_Overlap,NO,30.0,210.0,144.00000000000546,1.0,0.0,1.7186700767264718,0.3258130221639192,0.0,22.655872402126633,0.0
2019-12-30,2019,2019-02-01 09:15:00,EXECUTED,SELL,1316.83,M15,598.0000000000018,661.0000000000127,0.0,Tokyo_London_Overlap,NO,REJECTED,REJECTED,CHoCH H1 EMA200 Filter,19.0,0.0,19.0,1,-1,0,1,1,1.8071428571428214,0.5217438367656212,0.8461538461539807,1.5868577420482348,0.6357142857142273,9,4,3,1,0,0,-94.20000000000073,94.20000000000073,1.8381022139796044,53.48314606742065,0.8461538461539807,4.335714285714256,0.13723433223292464,7.480751642945748,5.582628325879226,0.0,0.7343624049841421,2.5819581874653523,300.0,0.048276108967309925,-0.5125782106161005,-0.02474528154997161,34.0,0.5,1.0,1.0,300.0,1.0,-1.840449438202531,-1.0696629213485132,-2.328089887640692,Tokyo_London_Overlap,NO,30.0,30.0,169.9999999999818,0.117647058823435,2.3595505617979695,0.3146067415727765,0.3292539117208946,0.0,22.781984007047228,0.0
2019-12-30,2019,2019-02-04 03:00:00,EXECUTED,SELL,1315.47,M15,694.0000000000055,9.999999999990905,0.0,Sydney_Tokyo_Overlap,NO,REJECTED,REJECTED,H1 EMA200 Filter,0.0,65.75,65.75,-1,-1,1,1,1,2.384285714285722,0.7359731355813628,0.1267605633801599,1.1858336649423,0.7592857142857383,3,0,0,0,0,0,-5.8999999999991815,79.70000000000027,1.659152679459526,52.68109125117425,0.1267605633801599,4.792857142857104,0.18124972171814802,4.0976518430835025,4.553788085466612,0.0,0.6997958928645811,3.0407382912571173,300.0,0.05771972863582889,-3.0970591343777576,-0.17876141280539928,40.0,0.5,1.0,1.0,300.0,1.0,-2.502351834430597,-2.1335841956724133,-3.1476952022574936,Sydney_Tokyo_Overlap,NO,135.0,285.0,282.00000000001637,0.1418439716312297,3.187206020696138,0.5268109125118623,0.36434560597026944,0.0,22.805537184428378,0.0
