Ticket,Symbol,Type,EntryStructure,CloseType,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,BodyRatio,BodyRatioMin,BodyRatioPassed,BodyRatioMode,InitialSL,InitialTP,FinalSL,FinalTP,InitialRiskPoints,InitialRewardPoints,FinalRiskPoints,FinalRewardPoints,TrailingModified,TrailingCount,TPExpanded,TPExpandCount,MaxFavorablePoints,MaxAdversePoints,CloseReason
2,XAUUSD,BUY,CHoCH,24H_FORCE,4405.53,4454.96,4401.55,4488.41,246.90,1.20,0.00,-0.63,246.27,Sydney_Tokyo_Overlap,NO,2026.01.05 05:00:00,2026.01.06 05:00:00,0.05,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,4346.79,4464.27,4401.55,4488.41,5874,5874,398,8288,YES,14,YES,1,5574,930,Batas Waktu Hold Tercapai (24 jam >= Max 24 jam)
3,XAUUSD,BUY,BoS_1,24H_FORCE,4459.54,4472.35,4438.98,4519.00,63.55,1.55,0.00,-0.63,62.92,Sydney_Tokyo_Overlap,NO,2026.01.06 04:15:00,2026.01.07 04:15:00,0.05,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,4408.14,4519.00,4438.98,4519.00,5140,5946,2056,5946,YES,13,NO,0,4088,1694,Batas Waktu Hold Tercapai (24 jam >= Max 24 jam)
5,XAUUSD,BUY,BoS_2,HIT_SL,4479.57,4438.61,4438.71,4539.30,-205.60,1.15,0.00,-0.63,-206.23,London_NewYork_Overlap,NO,2026.01.06 16:45:00,2026.01.07 15:06:57,0.05,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,4422.69,4539.30,4438.71,4539.30,5688,5973,4086,5973,YES,9,NO,0,2085,4082,STOP_LOSS
0,XAUUSD,SELL,REJECTED,REJECTED,4433.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2026.01.07 15:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,4418.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2026.01.08 07:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,4412.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2026.01.08 14:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
8,XAUUSD,BUY,CHoCH,24H_FORCE,4448.01,4496.64,4435.07,4528.87,242.30,1.75,0.00,-0.63,241.67,London_NewYork_Overlap,NO,2026.01.08 17:15:00,2026.01.09 17:15:00,0.05,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,4388.70,4507.32,4435.07,4528.87,5931,5931,1294,8086,YES,11,YES,1,5233,462,Batas Waktu Hold Tercapai (24 jam >= Max 24 jam)
9,XAUUSD,BUY,BoS_1,EXPERT_CLOSE,4486.98,4518.67,4454.59,4546.81,157.60,3.05,0.00,-0.63,156.97,London_NewYork_Overlap,NO,2026.01.09 15:45:00,2026.01.12 01:00:12,0.05,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,4432.93,4546.81,4454.59,4546.81,5405,5983,3239,5983,YES,4,NO,0,3022,793,EXPERT_CLOSE
12,XAUUSD,BUY,BoS_2,HIT_TP1,4530.05,4590.54,4504.27,4590.45,301.55,1.30,0.00,0.00,301.55,Sydney_Tokyo_Overlap,NO,2026.01.12 01:15:00,2026.01.12 02:43:09,0.05,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,4469.65,4590.45,4504.27,4590.45,6040,6040,2578,6040,YES,4,NO,0,6033,86,TAKE_PROFIT
0,XAUUSD,BUY,REJECTED,REJECTED,4606.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2026.01.12 15:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Max BOS Cycle Limit (2),0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,BUY,REJECTED,REJECTED,4636.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2026.01.14 07:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Max BOS Cycle Limit (2),0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,4591.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2026.01.15 05:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,4565.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2026.01.16 17:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
14,XAUUSD,BUY,CHoCH,EXPERT_CLOSE,4654.22,4670.89,4616.47,4716.28,81.30,3.00,0.00,-0.63,80.67,Sydney_Tokyo_Overlap,NO,2026.01.19 01:15:00,2026.01.20 01:15:00,0.05,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,4592.16,4716.28,4616.47,4716.28,6206,6206,3775,6206,YES,1,NO,0,3647,99,EXPERT_CLOSE
16,XAUUSD,BUY,BoS_1,EXPERT_CLOSE,4695.28,4865.96,4802.79,4907.14,852.60,1.90,0.00,-0.63,851.97,Sydney_Tokyo_Overlap,NO,2026.01.20 07:00:00,2026.01.21 07:00:00,0.05,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,4632.68,4757.88,4802.79,4907.14,6260,6260,-10751,21186,YES,33,YES,6,17555,102,EXPERT_CLOSE
18,XAUUSD,BUY,CHoCH,HIT_SL,4845.82,4900.36,4900.43,5002.02,271.90,1.15,0.00,-0.63,271.27,London_NewYork_Overlap,NO,2026.01.22 16:45:00,2026.01.23 11:29:13,0.05,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,4789.16,4910.43,4900.43,5002.02,5666,6461,-5461,15620,YES,19,YES,4,12154,1863,STOP_LOSS
20,XAUUSD,BUY,BoS_1,EXPERT_CLOSE,4971.10,5008.06,4919.12,5037.38,184.15,3.00,0.00,-0.63,183.52,NewYork,NO,2026.01.23 18:15:00,2026.01.26 01:00:12,0.05,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,4904.82,5037.38,4919.12,5037.38,6628,6628,5198,6628,YES,1,NO,0,1892,1278,EXPERT_CLOSE
0,XAUUSD,BUY,REJECTED,REJECTED,5325.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,NO,2026.01.28 22:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Max BOS Cycle Limit (2),0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
22,XAUUSD,BUY,BoS_2,EXPERT_CLOSE,5141.91,5326.63,5256.85,5371.12,739.20,1.28,0.00,-0.50,738.70,NewYork,NO,2026.01.27 22:15:00,2026.01.28 22:15:00,0.04,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,5073.35,5210.47,5256.85,5371.12,6856,6856,-11494,22921,YES,25,YES,6,19692,997,EXPERT_CLOSE
0,XAUUSD,SELL,REJECTED,REJECTED,5096.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2026.01.30 10:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,4914.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,NO,2026.01.30 19:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
24,XAUUSD,BUY,BoS_1,HIT_SL,5015.75,5022.56,5022.58,5127.64,26.48,1.04,0.00,0.00,26.48,Sydney_Tokyo_Overlap,NO,2026.02.04 03:00:00,2026.02.04 13:17:19,0.04,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,4948.87,5082.63,5022.58,5127.64,6688,6688,-683,11189,YES,9,YES,2,7619,3034,STOP_LOSS
0,XAUUSD,SELL,REJECTED,REJECTED,4812.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2026.02.05 05:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,4764.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney,NO,2026.02.05 23:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
