Ticket,Symbol,Type,EntryStructure,CloseType,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,BodyRatio,BodyRatioMin,BodyRatioPassed,BodyRatioMode,InitialSL,InitialTP,FinalSL,FinalTP,InitialRiskPoints,InitialRewardPoints,FinalRiskPoints,FinalRewardPoints,TrailingModified,TrailingCount,TPExpanded,TPExpandCount,MaxFavorablePoints,MaxAdversePoints,CloseReason
1,XAUUSD,BUY,CHoCH,24H_FORCE,4405.73,4454.96,4401.58,4488.41,246.15,1.15,0.00,-0.63,244.37,CHOCH,NO,2026.01.05 05:00:00,2026.01.06 05:00:00,0.05,111,M15,CLOSED,,0.00,0.50,YES,,4346.99,4464.47,4401.58,4488.41,5874,5874,415,8268,YES,11,YES,1,5987,950,24H_FORCE
2,XAUUSD,BUY,BoS_1,24H_FORCE,4459.74,4472.35,4438.98,4519.20,63.05,1.15,0.00,-0.63,61.27,BOS,NO,2026.01.06 04:15:00,2026.01.07 04:15:00,0.05,111,M15,CLOSED,,0.00,0.50,YES,,4408.14,4519.20,4438.98,4519.20,5160,5946,2076,5946,YES,8,NO,0,4068,1714,24H_FORCE
3,XAUUSD,BUY,BoS_2,HIT_SL,4479.74,4438.71,4438.71,4539.47,-205.15,1.00,0.00,-0.63,-206.78,BOS,NO,2026.01.06 16:45:00,2026.01.07 15:00:00,0.05,111,M15,CLOSED,,0.00,0.50,YES,,4422.69,4539.47,4438.71,4539.47,5705,5973,4103,5973,YES,5,NO,0,2068,5183,SL
7,XAUUSD,BUY,CHoCH,24H_FORCE,4448.18,4496.64,4437.33,4528.87,242.30,1.00,0.00,-0.63,240.67,CHOCH,NO,2026.01.08 17:15:00,2026.01.09 17:15:00,0.05,111,M15,CLOSED,,0.00,0.50,YES,,4388.87,4507.49,4437.33,4528.87,5931,5931,1085,8069,YES,10,YES,1,6281,479,24H_FORCE
8,XAUUSD,BUY,BoS_1,24H_FORCE,4488.49,4518.67,4454.57,4548.34,150.90,1.00,0.00,-0.63,149.27,BOS,NO,2026.01.09 15:45:00,2026.01.12 01:00:00,0.05,111,M15,CLOSED,,0.00,0.50,YES,,4432.92,4548.34,4454.57,4548.34,5557,5985,3392,5985,YES,3,NO,0,4224,944,24H_FORCE
9,XAUUSD,BUY,BoS_2,HIT_TP1,4530.68,4591.09,4504.26,4591.09,302.05,1.35,0.00,0.00,300.70,BOS,NO,2026.01.12 01:15:00,2026.01.12 02:30:00,0.05,111,M15,CLOSED,,0.00,0.50,YES,,4470.27,4591.09,4504.26,4591.09,6041,6041,2642,6041,YES,4,NO,0,6337,149,TP
15,XAUUSD,BUY,CHoCH,24H_FORCE,4655.13,4670.89,4616.46,4717.20,78.80,4.70,0.00,-0.63,73.47,CHOCH,NO,2026.01.19 01:15:00,2026.01.20 01:15:00,0.05,111,M15,CLOSED,,0.00,0.50,YES,,4593.06,4717.20,4616.46,4717.20,6207,6207,3867,6207,YES,1,NO,0,3556,190,24H_FORCE
16,XAUUSD,BUY,BoS_1,24H_FORCE,4695.48,4865.96,4803.36,4907.14,852.40,1.15,0.00,-0.63,850.62,BOS,NO,2026.01.20 07:00:00,2026.01.21 07:00:00,0.05,111,M15,CLOSED,,0.00,0.50,YES,,4638.63,4758.09,4803.36,4907.14,5685,6261,10788,21166,YES,24,YES,6,17535,122,24H_FORCE
18,XAUUSD,BUY,CHoCH,HIT_TP5,4846.34,4900.42,4900.42,5008.12,270.41,2.40,0.00,-0.63,267.38,CHOCH,NO,2026.01.22 16:45:00,2026.01.23 11:15:00,0.05,111,M15,CLOSED,,0.00,0.50,YES,,4789.16,4910.96,4900.42,5008.12,5718,6462,5408,16178,YES,16,YES,4,12102,1915,SL
19,XAUUSD,BUY,BoS_1,24H_FORCE,4971.57,5008.06,4920.14,5037.86,182.45,3.75,0.00,-0.63,178.07,BOS,NO,2026.01.23 18:15:00,2026.01.26 01:00:00,0.05,111,M15,CLOSED,,0.00,0.50,YES,,4905.28,5037.86,4920.14,5037.86,6629,6629,5143,6629,YES,2,NO,0,5597,1325,24H_FORCE
