Ticket,Symbol,Type,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,BodyRatio,BodyRatioMin,BodyRatioPassed,BodyRatioMode,InitialSL,InitialTP,FinalSL,FinalTP,InitialRiskPoints,InitialRewardPoints,FinalRiskPoints,FinalRewardPoints,TrailingModified,TrailingCount,TPExpanded,TPExpandCount,MaxFavorablePoints,MaxAdversePoints,CloseReason
18,XAUUSD,BUY,5056.05,5015.69,5028.07,5124.21,-202.10,0.25,0.00,-0.63,-202.73,London_NewYork_Overlap,NO,2026.02.09 17:45:00,2026.02.10 01:10:11,0.01,12345,M15,EXECUTED,N/A,0.99,0.40,YES,H4_STRETCHED_STRICT,5026.05,5086.05,5028.07,5124.21,3000,3000,2798,6816,YES,21,YES,1,3056,2137,STOP_LOSS
20,XAUUSD,BUY,5100.12,5069.00,5070.20,5130.12,-156.00,0.25,0.00,0.00,-156.00,London,NO,2026.02.11 12:45:00,2026.02.11 14:41:10,0.01,12345,M15,EXECUTED,N/A,0.89,0.40,YES,H4_STRETCHED_STRICT,5070.12,5130.12,5070.20,5130.12,3000,3000,2992,3000,YES,5,NO,0,1901,2825,STOP_LOSS
0,XAUUSD,SELL,4857.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2026.02.17 17:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
22,XAUUSD,BUY,5018.38,4988.30,4988.49,5048.38,-150.95,0.25,0.00,0.00,-150.95,Tokyo_London_Overlap,NO,2026.02.19 09:00:00,2026.02.19 12:09:21,0.01,12345,M15,EXECUTED,N/A,0.85,0.40,YES,H4_STRETCHED_STRICT,4988.38,5048.38,4988.49,5048.38,3000,3000,2989,3000,YES,5,NO,0,373,2954,STOP_LOSS
24,XAUUSD,BUY,5026.93,5020.21,5024.42,5085.91,-34.20,0.25,0.00,0.00,-34.20,Asia,NO,2026.02.20 08:45:00,2026.02.20 17:03:20,0.01,12345,M15,EXECUTED,N/A,0.64,0.40,YES,H4_STRETCHED_STRICT,4996.93,5056.93,5024.42,5085.91,3000,3000,251,5898,YES,19,YES,1,3731,2194,STOP_LOSS
26,XAUUSD,BUY,5212.29,5182.10,5182.25,5242.29,-150.75,0.25,0.00,0.00,-150.75,NewYork,NO,2026.02.25 19:00:00,2026.02.25 22:30:01,0.01,12345,M15,EXECUTED,N/A,0.66,0.40,YES,H4_STRETCHED_STRICT,5182.29,5242.29,5182.25,5242.29,3000,3000,3004,3000,YES,3,NO,0,551,2923,STOP_LOSS
0,XAUUSD,SELL,5141.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2026.02.26 17:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
28,XAUUSD,BUY,5406.06,5375.66,5376.21,5436.06,-152.75,0.25,0.00,0.00,-152.75,Tokyo_London_Overlap,NO,2026.03.02 09:15:00,2026.03.02 13:45:59,0.01,12345,M15,EXECUTED,N/A,0.84,0.40,YES,H4_STRETCHED_STRICT,5376.06,5436.06,5376.21,5436.06,3000,3000,2985,3000,YES,6,NO,0,1320,2764,STOP_LOSS
0,XAUUSD,SELL,5242.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2026.03.03 11:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
30,XAUUSD,BUY,5189.87,5158.63,5160.06,5219.87,-157.15,0.25,0.00,0.00,-157.15,London,NO,2026.03.10 10:45:00,2026.03.10 12:37:51,0.01,12345,M15,EXECUTED,N/A,0.52,0.40,YES,H4_STRETCHED_STRICT,5159.87,5219.87,5160.06,5219.87,3000,3000,2981,3000,YES,1,NO,0,528,2755,STOP_LOSS
