Ticket,Symbol,Type,EntryStructure,CloseType,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,BodyRatio,BodyRatioMin,BodyRatioPassed,BodyRatioMode,InitialSL,InitialTP,FinalSL,FinalTP,InitialRiskPoints,InitialRewardPoints,FinalRiskPoints,FinalRewardPoints,TrailingModified,TrailingCount,TPExpanded,TPExpandCount,MaxFavorablePoints,MaxAdversePoints,CloseReason
0,XAUUSD,SELL,REJECTED,REJECTED,1557.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2020.01.21 10:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,1554.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2020.01.23 10:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
18,XAUUSD,BUY,CHoCH,24H_FORCE,1561.22,1562.10,1547.63,1582.04,9.38,6.44,0.00,-1.76,7.62,Sydney_Tokyo_Overlap,NO,2020.01.23 01:30:00,2020.01.24 01:30:00,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1547.63,1582.04,1547.63,1582.04,1359,2082,1359,2082,NO,0,NO,0,669,937,Batas Waktu Hold Tercapai (24 jam >= Max 24 jam)
19,XAUUSD,BUY,CHoCH,24H_FORCE,1566.20,1572.25,1554.00,1587.08,83.02,5.88,0.00,-1.76,81.26,NewYork,NO,2020.01.23 18:30:00,2020.01.24 18:30:00,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1545.32,1587.08,1554.00,1587.08,2088,2088,1220,2088,YES,4,NO,0,929,971,Batas Waktu Hold Tercapai (24 jam >= Max 24 jam)
21,XAUUSD,BUY,BoS_1,EXPERT_CLOSE,1574.87,1580.71,1554.04,1595.87,79.38,12.18,0.00,-1.76,77.62,London_NewYork_Overlap,NO,2020.01.24 17:30:00,2020.01.27 01:05:00,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1553.87,1595.87,1554.04,1595.87,2100,2100,2083,2100,YES,1,NO,0,108,603,EXPERT_CLOSE
24,XAUUSD,BUY,CHoCH,EXPERT_CLOSE,1584.66,1578.94,1568.83,1605.79,-82.88,6.16,0.00,-1.76,-84.64,London,NO,2020.01.27 12:45:00,2020.01.28 12:45:00,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1568.83,1605.79,1568.83,1605.79,1583,2113,1583,2113,NO,0,NO,0,162,780,EXPERT_CLOSE
0,XAUUSD,SELL,REJECTED,REJECTED,1574.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2020.01.28 14:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,1571.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2020.01.31 03:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
26,XAUUSD,BUY,CHoCH,EXPERT_CLOSE,1583.66,1588.05,1565.18,1604.78,58.80,6.02,0.00,-1.76,57.04,NewYork,NO,2020.01.30 18:00:00,2020.01.31 18:00:00,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1565.18,1604.78,1565.18,1604.78,1848,2112,1848,2112,NO,0,NO,0,543,1279,EXPERT_CLOSE
28,XAUUSD,BUY,CHoCH,EXPERT_CLOSE,1588.26,1588.65,1567.40,1609.44,5.46,7.00,0.00,-1.76,3.70,NewYork,NO,2020.01.31 18:00:00,2020.02.03 01:05:00,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1567.08,1609.44,1567.40,1609.44,2118,2118,2086,2118,YES,2,NO,0,222,731,EXPERT_CLOSE
0,XAUUSD,SELL,REJECTED,REJECTED,1572.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2020.02.03 17:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,BUY,REJECTED,REJECTED,1563.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2020.02.06 11:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
30,XAUUSD,BUY,BoS_1,EXPERT_CLOSE,1569.14,1569.27,1554.56,1590.06,-0.84,7.56,0.00,-1.76,-2.60,London,NO,2020.02.07 12:15:00,2020.02.10 01:05:00,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1554.56,1590.06,1554.56,1590.06,1458,2092,1458,2092,NO,0,NO,0,491,906,EXPERT_CLOSE
32,XAUUSD,BUY,BoS_2,EXPERT_CLOSE,1574.86,1571.97,1558.12,1595.86,-41.86,6.02,0.00,-1.76,-43.62,Sydney_Tokyo_Overlap,NO,2020.02.10 02:00:00,2020.02.11 02:00:00,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1558.12,1595.86,1558.12,1595.86,1674,2100,1674,2100,NO,0,NO,0,215,690,EXPERT_CLOSE
0,XAUUSD,SELL,REJECTED,REJECTED,1567.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2020.02.11 04:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,1564.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2020.02.11 17:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
34,XAUUSD,BUY,CHoCH,EXPERT_CLOSE,1570.22,1576.00,1556.07,1591.16,78.40,5.88,0.00,-5.29,73.11,NewYork,NO,2020.02.12 18:45:00,2020.02.13 18:45:00,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1554.97,1591.16,1556.07,1591.16,1525,2094,1415,2094,YES,3,NO,0,811,525,EXPERT_CLOSE
36,XAUUSD,BUY,BoS_1,EXPERT_CLOSE,1579.93,1581.25,1566.00,1601.00,16.94,13.86,0.00,-1.76,15.18,London_NewYork_Overlap,NO,2020.02.14 15:45:00,2020.02.17 01:05:00,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1566.00,1601.00,1566.00,1601.00,1393,2107,1393,2107,NO,0,NO,0,508,215,EXPERT_CLOSE
38,XAUUSD,BUY,CHoCH,EXPERT_CLOSE,1584.64,1601.28,1583.39,1614.84,226.10,10.36,0.00,-1.76,224.34,Sydney_Tokyo_Overlap,NO,2020.02.18 01:15:00,2020.02.19 01:15:00,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1571.81,1605.77,1583.39,1614.84,1283,2113,125,3020,YES,5,YES,1,2041,100,EXPERT_CLOSE
