Ticket,Symbol,Type,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,ExitType
2,XAUUSD,BUY,1945.73,1915.83,1924.31,1980.73,-150.00,0.25,0.00,-0.63,-150.63,London,NO,2021.01.05 11:45:00,2021.01.06 17:40:28,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
0,XAUUSD,BUY,1844.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2021.01.19 10:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,
0,XAUUSD,BUY,1846.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2021.01.20 04:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,
4,XAUUSD,SELL,1829.42,1846.48,1859.42,1794.42,-84.95,0.25,0.00,-0.69,-85.64,NewYork,NO,2021.01.15 18:00:00,2021.01.20 04:00:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
0,XAUUSD,BUY,1864.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2021.01.29 14:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
6,XAUUSD,SELL,1840.71,1870.76,1870.10,1805.71,-150.00,0.25,0.00,-0.92,-150.92,London,NO,2021.01.27 13:45:00,2021.01.29 15:40:31,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
0,XAUUSD,BUY,1822.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2021.02.08 13:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,
0,XAUUSD,BUY,1840.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2021.02.09 04:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
0,XAUUSD,BUY,1853.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2021.02.10 15:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
8,XAUUSD,SELL,1826.89,1853.78,1854.98,1791.89,-134.05,0.25,0.00,-0.92,-134.97,Sydney_Tokyo_Overlap,NO,2021.02.04 04:00:00,2021.02.10 15:45:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
