Ticket,Symbol,Type,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,ExitType
2,XAUUSD,BUY,1532.46,1575.89,1502.46,1567.46,216.45,0.25,0.00,-0.63,215.82,Sydney_Tokyo_Overlap,NO,2020.01.03 03:45:00,2020.01.06 01:05:00,0.01,12345,M15,EXECUTED,N/A,TAKE_PROFIT
0,XAUUSD,SELL,1550.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,NO,2020.01.09 08:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,
4,XAUUSD,BUY,1561.89,1574.90,1537.98,1596.89,64.40,0.25,0.00,-3.78,60.62,Asia,NO,2020.01.20 08:00:00,2020.01.24 17:30:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
0,XAUUSD,SELL,1567.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2020.02.04 11:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
5,XAUUSD,BUY,1566.20,1567.95,1536.30,1601.20,8.45,0.25,0.00,-6.30,2.15,NewYork,NO,2020.01.23 18:30:00,2020.02.04 11:00:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
7,XAUUSD,BUY,1588.26,1558.17,1560.87,1623.26,-150.00,0.25,0.00,-1.26,-151.26,NewYork,NO,2020.01.31 18:00:00,2020.02.04 16:11:41,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
0,XAUUSD,SELL,1564.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2020.02.11 17:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
10,XAUUSD,BUY,1569.14,1579.85,1539.14,1604.14,53.00,0.25,0.00,-4.41,48.59,London,NO,2020.02.07 12:15:00,2020.02.14 15:45:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
11,XAUUSD,BUY,1579.93,1614.21,1563.02,1614.93,171.50,0.25,0.00,-3.78,167.72,London_NewYork_Overlap,NO,2020.02.14 15:45:00,2020.02.20 13:45:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
13,XAUUSD,BUY,1606.74,1624.41,1589.53,1641.74,87.85,0.25,0.00,-2.52,85.33,London,NO,2020.02.19 10:15:00,2020.02.21 04:30:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
0,XAUUSD,SELL,1629.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney,NO,2020.02.25 23:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,
16,XAUUSD,BUY,1623.41,1683.50,1593.41,1658.41,300.00,0.25,0.00,-3.15,296.85,London_NewYork_Overlap,NO,2020.03.03 17:15:00,2020.03.06 11:41:11,0.01,12345,M15,EXECUTED,N/A,ACTIVE_300_USD
0,XAUUSD,SELL,1648.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,NO,2020.03.10 21:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
0,XAUUSD,SELL,1626.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2020.03.12 14:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
18,XAUUSD,SELL,1554.96,1584.98,1584.96,1519.96,-149.85,0.25,0.00,0.00,-149.85,Sydney_Tokyo_Overlap,NO,2020.03.13 03:45:00,2020.03.13 07:21:41,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
0,XAUUSD,BUY,1518.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2020.03.23 14:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,
0,XAUUSD,SELL,1605.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,YES,2020.03.31 12:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,
0,XAUUSD,SELL,1591.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,YES,2020.03.31 20:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
20,XAUUSD,BUY,1623.72,1684.01,1595.85,1658.72,300.00,0.25,0.00,-3.78,296.22,NewYork,YES,2020.04.03 22:00:00,2020.04.09 16:46:39,0.01,12345,M15,EXECUTED,N/A,ACTIVE_300_USD
0,XAUUSD,SELL,1680.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,YES,2020.04.17 21:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
0,XAUUSD,SELL,1665.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,YES,2020.04.21 14:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
0,XAUUSD,SELL,1709.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2020.04.27 17:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,
0,XAUUSD,SELL,1704.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,YES,2020.04.28 04:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
0,XAUUSD,SELL,1678.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,YES,2020.05.01 08:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
0,XAUUSD,SELL,1698.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,YES,2020.05.11 13:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
0,XAUUSD,BUY,1719.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,YES,2020.05.14 03:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Body Ratio Filter,
0,XAUUSD,SELL,1715.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2020.05.26 17:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
0,XAUUSD,SELL,1706.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,YES,2020.05.27 07:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
22,XAUUSD,BUY,1726.39,1706.64,1701.12,1761.39,-99.40,0.25,0.00,-6.93,-106.33,London_NewYork_Overlap,YES,2020.05.14 16:45:00,2020.05.27 07:15:01,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
0,XAUUSD,BUY,1728.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,YES,2020.05.29 14:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Body Ratio Filter,
0,XAUUSD,SELL,1720.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,YES,2020.06.03 11:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
0,XAUUSD,BUY,1706.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,YES,2020.06.09 11:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,
24,XAUUSD,BUY,1721.78,1759.58,1701.82,1756.78,188.85,0.25,0.00,-7.56,181.29,London,YES,2020.06.10 14:30:00,2020.06.22 17:00:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
25,XAUUSD,BUY,1738.64,1774.98,1708.64,1773.64,180.35,0.25,0.00,-1.89,178.46,London_NewYork_Overlap,YES,2020.06.19 17:45:00,2020.06.24 12:00:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
