Ticket,Symbol,Type,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,ExitType
0,XAUUSD,SELL,2023.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,NO,2024.01.10 20:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
2,XAUUSD,SELL,2018.26,2048.31,2048.26,1983.26,-150.00,0.25,0.00,-0.23,-150.23,NewYork,NO,2024.01.11 18:30:00,2024.01.12 14:03:31,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
0,XAUUSD,SELL,2023.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2024.01.17 06:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Body Ratio Filter,
0,XAUUSD,BUY,2031.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Tokyo_London_Overlap,NO,2024.01.29 09:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
4,XAUUSD,SELL,2012.25,2042.29,2042.25,1977.25,-150.00,0.25,0.00,-2.99,-152.99,London_NewYork_Overlap,NO,2024.01.17 17:00:00,2024.01.30 16:13:29,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
5,XAUUSD,SELL,2018.26,2048.32,2048.26,1983.26,-150.00,0.25,0.00,-1.84,-151.84,London_NewYork_Overlap,NO,2024.01.22 16:45:00,2024.01.30 16:25:41,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
6,XAUUSD,BUY,2038.16,2049.68,2010.43,2073.16,56.90,0.25,0.00,-0.63,56.27,Tokyo_London_Overlap,NO,2024.01.30 09:45:00,2024.01.31 16:45:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
11,XAUUSD,BUY,2040.47,2010.39,2010.47,2075.47,-150.05,0.25,0.00,-3.78,-153.83,London_NewYork_Overlap,NO,2024.02.07 16:45:00,2024.02.13 15:47:21,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
0,XAUUSD,SELL,1988.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2024.02.14 10:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Body Ratio Filter,
10,XAUUSD,SELL,2024.76,1988.42,2052.29,1989.76,181.95,0.25,0.00,-2.07,179.88,London,NO,2024.02.05 10:15:00,2024.02.14 10:15:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
0,XAUUSD,BUY,2010.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2024.02.16 17:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,
0,XAUUSD,BUY,2023.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2024.02.20 11:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
12,XAUUSD,SELL,2018.90,2048.97,2047.28,1983.90,-150.00,0.25,0.00,-4.37,-154.37,London_NewYork_Overlap,NO,2024.02.12 16:00:00,2024.02.29 16:00:37,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
15,XAUUSD,BUY,2031.71,2091.80,2003.15,2066.71,300.10,0.25,0.00,-7.56,292.54,Sydney_Tokyo_Overlap,NO,2024.02.21 07:45:00,2024.03.04 15:58:30,0.01,12345,M15,EXECUTED,N/A,ACTIVE_300_USD
18,XAUUSD,BUY,2091.56,2142.92,2069.37,2126.56,256.15,0.25,0.00,-1.26,254.89,London_NewYork_Overlap,NO,2024.03.04 16:00:00,2024.03.06 16:45:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
0,XAUUSD,SELL,2158.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,NO,2024.03.22 19:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
20,XAUUSD,BUY,2183.84,2243.87,2157.57,2218.84,300.25,0.25,0.00,-3.78,296.47,London,NO,2024.03.26 11:15:00,2024.04.01 01:00:03,0.01,12345,M15,EXECUTED,N/A,ACTIVE_300_USD
22,XAUUSD,BUY,2344.55,2404.68,2314.55,2379.55,300.05,0.25,0.00,-3.78,296.27,Sydney_Tokyo_Overlap,YES,2024.04.08 05:45:00,2024.04.12 16:48:40,0.01,12345,M15,EXECUTED,N/A,ACTIVE_300_USD
0,XAUUSD,SELL,2305.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,YES,2024.04.23 04:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
24,XAUUSD,BUY,2345.64,2315.59,2316.17,2380.64,-150.20,0.25,0.00,-1.26,-151.46,Tokyo_London_Overlap,YES,2024.04.26 10:45:00,2024.04.30 10:40:12,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
0,XAUUSD,SELL,2305.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,YES,2024.05.08 11:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
26,XAUUSD,BUY,2402.91,2437.96,2372.91,2437.91,175.20,0.25,0.00,-0.63,174.57,London_NewYork_Overlap,YES,2024.05.17 16:15:00,2024.05.20 04:01:34,0.01,12345,M15,EXECUTED,N/A,TAKE_PROFIT
0,XAUUSD,SELL,2353.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2024.05.23 17:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
0,XAUUSD,BUY,2361.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2024.05.28 16:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,
0,XAUUSD,SELL,2333.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,YES,2024.05.30 04:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
28,XAUUSD,SELL,2315.50,2345.54,2345.50,2280.50,-149.75,0.25,0.00,0.00,-149.75,Sydney_Tokyo_Overlap,YES,2024.06.03 08:45:00,2024.06.03 17:40:37,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
30,XAUUSD,BUY,2377.34,2347.33,2347.34,2412.34,-150.15,0.25,0.00,-0.63,-150.78,London_NewYork_Overlap,YES,2024.06.06 18:45:00,2024.06.07 11:39:02,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
0,XAUUSD,BUY,2329.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2024.06.12 15:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,
32,XAUUSD,SELL,2306.58,2336.64,2336.58,2271.58,-150.00,0.25,0.00,-0.23,-150.23,London,YES,2024.06.13 14:45:00,2024.06.14 14:47:15,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
34,XAUUSD,BUY,2349.26,2319.53,2319.26,2384.26,-150.05,0.25,0.00,-0.63,-150.68,London_NewYork_Overlap,YES,2024.06.20 17:00:00,2024.06.21 20:26:28,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
36,XAUUSD,BUY,2342.75,2402.85,2312.75,2377.75,300.25,0.25,0.00,-6.30,293.95,Tokyo_London_Overlap,YES,2024.07.03 10:15:00,2024.07.11 15:37:04,0.01,12345,M15,EXECUTED,N/A,ACTIVE_300_USD
0,XAUUSD,SELL,2442.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,YES,2024.07.18 22:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,
0,XAUUSD,SELL,2392.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2024.07.22 17:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
38,XAUUSD,BUY,2412.94,2383.22,2382.94,2447.94,-150.20,0.25,0.00,-1.89,-152.09,Sydney_Tokyo_Overlap,YES,2024.07.24 05:30:00,2024.07.25 04:38:30,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
0,XAUUSD,BUY,2397.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney,YES,2024.07.29 01:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,
40,XAUUSD,BUY,2406.68,2466.66,2376.68,2441.68,298.40,0.25,0.00,-3.15,295.25,NewYork,YES,2024.07.30 20:30:00,2024.08.02 09:00:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
0,XAUUSD,SELL,2408.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,YES,2024.08.05 14:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
42,XAUUSD,BUY,2430.00,2477.54,2400.00,2465.00,236.10,0.25,0.00,-1.89,234.21,London,YES,2024.08.09 13:45:00,2024.08.14 11:45:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
0,XAUUSD,SELL,2492.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2024.08.22 16:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,
0,XAUUSD,SELL,2492.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,YES,2024.09.02 05:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
44,XAUUSD,BUY,2501.91,2510.31,2471.91,2536.91,40.55,0.25,0.00,-1.89,38.66,Asia,YES,2024.09.05 09:00:00,2024.09.10 15:45:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
45,XAUUSD,BUY,2510.35,2537.99,2480.35,2545.35,136.55,0.25,0.00,-2.52,134.03,London_NewYork_Overlap,YES,2024.09.10 15:45:00,2024.09.12 16:15:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
48,XAUUSD,BUY,2588.84,2558.95,2558.84,2623.84,-150.15,0.25,0.00,0.00,-150.15,NewYork,YES,2024.09.18 21:15:00,2024.09.18 22:07:39,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
50,XAUUSD,BUY,2627.89,2643.41,2597.89,2662.89,76.05,0.25,0.00,-0.63,75.42,Sydney_Tokyo_Overlap,YES,2024.09.23 06:15:00,2024.09.24 18:00:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
51,XAUUSD,BUY,2635.75,2674.00,2605.75,2670.75,189.70,0.25,0.00,-2.52,187.18,Sydney_Tokyo_Overlap,YES,2024.09.24 07:30:00,2024.09.26 13:45:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
0,XAUUSD,SELL,2639.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,YES,2024.09.30 13:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,
54,XAUUSD,BUY,2665.81,2686.93,2635.81,2700.81,106.00,0.25,0.00,-3.15,102.85,Asia,YES,2024.10.14 09:30:00,2024.10.17 13:30:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
55,XAUUSD,BUY,2672.91,2697.21,2642.91,2707.91,119.85,0.25,0.00,-2.52,117.33,Asia,YES,2024.10.16 09:15:00,2024.10.18 04:15:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
58,XAUUSD,BUY,2748.51,2718.53,2718.51,2783.51,-150.35,0.25,0.00,-5.04,-155.39,Sydney_Tokyo_Overlap,NO,2024.10.29 03:15:00,2024.11.06 08:28:38,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
0,XAUUSD,SELL,2717.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,NO,2024.11.06 08:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
60,XAUUSD,SELL,2650.62,2680.56,2680.62,2615.62,-150.10,0.25,0.00,0.00,-150.10,Sydney_Tokyo_Overlap,NO,2024.11.07 03:30:00,2024.11.07 15:23:19,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
0,XAUUSD,BUY,2641.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2024.11.20 04:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
0,XAUUSD,BUY,2645.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2024.11.20 16:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
0,XAUUSD,BUY,2657.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2024.11.21 02:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
62,XAUUSD,BUY,2677.76,2663.99,2647.76,2712.76,-69.35,0.25,0.00,-0.63,-69.98,Sydney_Tokyo_Overlap,NO,2024.11.22 03:15:00,2024.11.25 05:28:41,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
