sl_mult,tp_mult,trades,win_rate,profit_factor,net_profit,expectancy,max_drawdown
2.0,3.0,3445,0.4310595065312046,1.114299379940729,1400.4854171869115,0.4065269716072312,-487.4317668181084
1.25,4.0,3642,0.2666117517847337,1.0963051260401084,1027.7112531884197,0.28218321065030744,-383.20406432990717
1.25,3.0,3980,0.3188442211055276,1.0960047300929427,1020.9292913382513,0.25651489732116867,-352.30699245838423
1.5,4.0,3449,0.29950710350826326,1.092857054931201,1062.701046243423,0.30811859850490664,-435.7444538257728
2.0,4.0,3099,0.3707647628267183,1.0865939013981327,1079.0640920658373,0.3481975127672918,-657.1300812854937
1.25,2.5,4235,0.35489964580873673,1.0704772531170101,752.9182244525996,0.17778470471135763,-399.1161403172864
1.5,3.0,3796,0.3527397260273973,1.0698484720900048,806.620704030724,0.21249228241062276,-414.72359067356956
2.0,2.5,3724,0.4675080558539205,1.0548066031551793,683.2794617776897,0.18347998436565244,-471.78016658735925
1.0,4.0,3968,0.21950604838709678,1.0534037819624151,530.0650560993238,0.1335849435734183,-473.528388008422
1.0,2.5,4508,0.3021295474711624,1.0436551605698319,432.2022819062722,0.09587450796501158,-474.72657343385566
1.0,3.0,4283,0.26406724258697173,1.0427184623705243,425.11819503916274,0.09925710834442278,-438.28113539263836
1.5,2.5,4057,0.39117574562484597,1.0424192293343995,490.3356578431078,0.12086163614570072,-463.77420148161707
1.5,2.0,4331,0.443546525051951,1.027644952507712,312.7931781781533,0.0722219298494928,-535.0399788563517
1.25,2.0,4509,0.4014193834553116,1.013654866447046,146.27018551475538,0.032439606457031575,-462.8076537896322
1.0,2.0,4771,0.3502410396143366,1.003277900445263,32.4044314305126,0.006791957960702704,-445.1230809121879
1.25,1.5,4858,0.4670646356525319,0.9777825189732495,-228.88470789724175,-0.04711500780099666,-594.9005963807479
1.0,1.5,5118,0.40738569753810083,0.9531577608884922,-453.6552704458999,-0.08863916968462288,-730.181541230001
