entry_time,exit_time,direction,entry_session_id,entry_session,exit_session_id,exit_session,exit_reason,gross_points,net_points,hold_bars,sleeve
2015-02-17 19:00:00,2015-02-17 20:15:00,SHORT,218,NewYork,218,NewYork,SL,-5.281494959328711,-5.791494959328711,5,TrendFollow_H1_Donchian_ADXfiltered
2015-02-18 05:00:00,2015-02-18 07:45:00,SHORT,220,Sydney_Tokyo_Overlap,220,Sydney_Tokyo_Overlap,SL,-1.8949067944447506,-2.3949067944447506,11,TrendFollow_H1_Donchian_ADXfiltered
2015-02-18 12:15:00,2015-02-18 12:45:00,SHORT,223,London,223,London,TP,3.560590890059302,3.090590890059302,2,TrendFollow_H1_Donchian_ADXfiltered
2015-02-18 18:00:00,2015-02-18 21:00:00,SHORT,225,NewYork,225,NewYork,SL,-4.453794934015605,-4.953794934015605,12,TrendFollow_H1_Donchian_ADXfiltered
2015-02-19 09:00:00,2015-02-19 10:15:00,SHORT,229,Tokyo_London_Overlap,230,London,SL,-1.9818111091851733,-2.4818111091851733,5,TrendFollow_H1_Donchian_ADXfiltered
2015-02-19 15:45:00,2015-02-19 17:45:00,SHORT,231,London_NewYork_Overlap,231,London_NewYork_Overlap,TP,6.805010969996829,6.325010969996828,8,TrendFollow_H1_Donchian_ADXfiltered
2015-02-26 16:30:00,2015-02-27 10:00:00,SHORT,266,London_NewYork_Overlap,272,London,TP,6.296186433753292,5.786186433753292,66,TrendFollow_H1_Donchian_ADXfiltered
2015-03-03 04:00:00,2015-03-03 04:30:00,SHORT,283,Sydney_Tokyo_Overlap,283,Sydney_Tokyo_Overlap,SL,-4.016512043470129,-4.41651204347013,2,TrendFollow_H1_Donchian_ADXfiltered
2015-03-06 18:30:00,2015-03-06 19:30:00,SHORT,309,NewYork,309,NewYork,TP,7.6765426289280185,7.276542628928018,4,TrendFollow_H1_Donchian_ADXfiltered
2015-03-06 19:45:00,2015-03-09 02:00:00,SHORT,309,NewYork,311,Sydney_Tokyo_Overlap,SL,-5.547681103015748,-5.877681103015748,21,TrendFollow_H1_Donchian_ADXfiltered
2015-03-09 14:45:00,2015-03-09 17:30:00,SHORT,315,London_NewYork_Overlap,315,London_NewYork_Overlap,TP,3.8114835224459966,3.491483522445997,11,TrendFollow_H1_Donchian_ADXfiltered
2015-03-09 21:30:00,2015-03-10 05:45:00,SHORT,316,NewYork,317,Sydney_Tokyo_Overlap,TP,3.0665296946515355,2.7465296946515356,6,TrendFollow_H1_Donchian_ADXfiltered
2015-03-10 06:00:00,2015-03-10 10:00:00,SHORT,317,Sydney_Tokyo_Overlap,320,London,TP,3.991570420008429,3.6115704200084293,16,TrendFollow_H1_Donchian_ADXfiltered
2015-03-10 10:30:00,2015-03-10 11:15:00,SHORT,320,London,320,London,SL,-3.0412497326408356,-3.4612497326408356,3,TrendFollow_H1_Donchian_ADXfiltered
2015-03-10 18:00:00,2015-03-11 16:00:00,SHORT,322,NewYork,327,London_NewYork_Overlap,TP,7.662426337735496,7.342426337735496,80,TrendFollow_H1_Donchian_ADXfiltered
2015-03-11 17:00:00,2015-03-11 21:15:00,SHORT,327,London_NewYork_Overlap,328,NewYork,SL,-4.564429975163421,-4.904429975163421,17,TrendFollow_H1_Donchian_ADXfiltered
2015-03-12 03:45:00,2015-03-12 06:30:00,SHORT,329,Sydney_Tokyo_Overlap,329,Sydney_Tokyo_Overlap,SL,-2.5190826086527522,-2.8290826086527523,11,TrendFollow_H1_Donchian_ADXfiltered
2015-03-12 14:00:00,2015-03-12 14:30:00,SHORT,333,London_NewYork_Overlap,333,London_NewYork_Overlap,SL,-3.585485223217802,-3.8854852232178017,2,TrendFollow_H1_Donchian_ADXfiltered
2015-03-18 07:30:00,2015-03-18 09:00:00,SHORT,353,Sydney_Tokyo_Overlap,355,Tokyo_London_Overlap,TP,2.730687263340542,2.230687263340542,6,TrendFollow_H1_Donchian_ADXfiltered
2015-03-18 09:15:00,2015-03-18 12:15:00,SHORT,355,Tokyo_London_Overlap,356,London,SL,-2.2639713418211613,-2.7839713418211613,12,TrendFollow_H1_Donchian_ADXfiltered
2015-03-18 20:00:00,2015-03-19 03:00:00,LONG,358,NewYork,359,Sydney_Tokyo_Overlap,TP,8.680468357699056,8.060468357699056,20,TrendFollow_H1_Donchian_ADXfiltered
2015-03-19 14:00:00,2015-03-19 15:00:00,SHORT,363,London_NewYork_Overlap,363,London_NewYork_Overlap,SL,-4.49105663425712,-5.00105663425712,4,TrendFollow_H1_Donchian_ADXfiltered
2015-03-19 17:15:00,2015-03-20 15:45:00,LONG,363,London_NewYork_Overlap,369,London_NewYork_Overlap,TP,7.812715185233628,7.332715185233628,82,TrendFollow_H1_Donchian_ADXfiltered
2015-03-20 18:00:00,2015-03-23 10:15:00,LONG,370,NewYork,374,London,SL,-4.145192104235775,-4.605192104235775,57,TrendFollow_H1_Donchian_ADXfiltered
2015-03-23 16:15:00,2015-03-24 12:30:00,LONG,375,London_NewYork_Overlap,380,London,TP,5.887127572379995,5.367127572379996,73,TrendFollow_H1_Donchian_ADXfiltered
2015-03-26 10:00:00,2015-03-26 10:15:00,LONG,392,London,392,London,SL,-4.2152279253054985,-4.745227925305499,1,TrendFollow_H1_Donchian_ADXfiltered
2015-03-27 08:00:00,2015-03-27 09:00:00,LONG,396,Asia,397,Tokyo_London_Overlap,SL,-2.0707872697601033,-2.5707872697601033,4,TrendFollow_H1_Donchian_ADXfiltered
2015-03-30 01:15:00,2015-03-30 04:45:00,LONG,401,Sydney,402,Sydney_Tokyo_Overlap,SL,-2.193422728443238,-2.7734227284432382,14,Sydney_BollingerMeanReversion
2015-03-30 12:45:00,2015-03-30 16:00:00,SHORT,405,London,406,London_NewYork_Overlap,TP,4.484138137670698,3.9641381376706977,13,TrendFollow_H1_Donchian_ADXfiltered
2015-03-31 04:30:00,2015-03-31 06:30:00,SHORT,409,Sydney_Tokyo_Overlap,409,Sydney_Tokyo_Overlap,TP,2.7391081899509118,2.2491081899509116,8,TrendFollow_H1_Donchian_ADXfiltered
2015-03-31 06:45:00,2015-03-31 08:15:00,SHORT,409,Sydney_Tokyo_Overlap,409,Sydney_Tokyo_Overlap,SL,-2.1683205931065004,-2.6883205931065004,6,TrendFollow_H1_Donchian_ADXfiltered
