strategy,sltp_profile,entry_session,exit_session,trades,win_rate,profit_factor,net_profit,expectancy,max_drawdown
Bollinger_Breakout,RR1.5_SL1.0ATR,Asia,London_NewYork_Overlap,1,1.0,inf,2.667737010181845,2.667737010181845,0.0
RSI_Reversion_30_70,RR3.0_SL1.0ATR,Sydney,Tokyo_London_Overlap,4,1.0,inf,22.933860677589305,5.733465169397326,0.0
Session_ATR_Volatility_Breakout,RR3.0_SL1.0ATR,Asia,Sydney_Tokyo_Overlap,1,1.0,inf,4.630789066422904,4.630789066422904,0.0
RSI_Reversion_30_70,RR3.0_SL1.0ATR,London,Sydney,2,1.0,inf,8.651165409148662,4.325582704574331,0.0
Session_ATR_Volatility_Breakout,RR3.0_SL1.0ATR,Sydney,London,1,1.0,inf,9.476889165324947,9.476889165324947,0.0
Combo_EMA200Trend_RSI50Pullback,RR1.5_SL1.0ATR,London_NewYork_Overlap,London,1,1.0,inf,7.2602402032093325,7.2602402032093325,0.0
Combo_EMA200Trend_RSI50Pullback,RR1.5_SL1.0ATR,Sydney,Tokyo_London_Overlap,1,1.0,inf,5.922804081954764,5.922804081954764,0.0
Combo_EMA200Trend_RSI50Pullback,RR1.5_SL1.0ATR,NewYork,London_NewYork_Overlap,3,1.0,inf,15.234896707391464,5.078298902463821,0.0
Combo_EMA200Trend_RSI50Pullback,RR1.5_SL1.0ATR,Sydney,London_NewYork_Overlap,1,1.0,inf,13.473101740772199,13.473101740772199,0.0
RSI_Reversion_30_70,RR3.0_SL1.0ATR,Asia,NewYork,1,1.0,inf,3.5022397071578326,3.5022397071578326,0.0
Combo_EMA200Trend_RSI50Pullback,RR2.0_SL1.5ATR,Asia,Sydney_Tokyo_Overlap,1,1.0,inf,2.6868101756772464,2.6868101756772464,0.0
Combo_EMACross_ATRVolatilityFilter,RR3.0_SL1.0ATR,Sydney,London,1,1.0,inf,9.73953981267483,9.73953981267483,0.0
Combo_EMA200Trend_RSI50Pullback,RR2.0_SL1.5ATR,London,Tokyo_London_Overlap,1,1.0,inf,11.69180209076394,11.69180209076394,0.0
Combo_EMA200Trend_RSI50Pullback,RR2.0_SL1.5ATR,London,Sydney,1,1.0,inf,9.966809690296678,9.966809690296678,0.0
