entry_time,exit_time,direction,entry_session_id,entry_session,exit_session_id,exit_session,exit_reason,gross_points,net_points,hold_bars
2015-02-13 06:00:00,2015-02-13 06:15:00,LONG,200,Sydney_Tokyo_Overlap,200,Sydney_Tokyo_Overlap,TP,0.6059600431069612,0.12596004310696118,1
2015-02-13 10:00:00,2015-02-13 10:30:00,LONG,203,London,203,London,SL,-1.1663868244609148,-1.6263868244609148,2
2015-02-13 15:00:00,2015-02-13 15:15:00,SHORT,204,London_NewYork_Overlap,204,London_NewYork_Overlap,SL,-1.207742003073463,-1.597742003073463,1
2015-02-13 16:00:00,2015-02-13 16:15:00,LONG,204,London_NewYork_Overlap,204,London_NewYork_Overlap,TP,0.9717258517177925,0.4917258517177925,1
2015-02-16 16:15:00,2015-02-16 16:30:00,LONG,211,London_NewYork_Overlap,211,London_NewYork_Overlap,TP,0.7537486442320187,0.4637486442320187,1
2015-02-16 17:00:00,2015-02-16 17:15:00,LONG,211,London_NewYork_Overlap,211,London_NewYork_Overlap,TP,0.8014054387547276,0.4814054387547276,1
2015-02-16 19:45:00,2015-02-17 01:00:00,LONG,212,NewYork,213,Sydney_Tokyo_Overlap,TP,0.8186103446569177,0.43861034465691773,1
2015-02-19 10:00:00,2015-02-19 10:15:00,LONG,230,London,230,London,TP,0.6261912105355805,0.10619121053558045,1
2015-02-23 16:45:00,2015-02-23 17:00:00,SHORT,245,London_NewYork_Overlap,245,London_NewYork_Overlap,SL,-2.4415077498067603,-2.9315077498067605,1
2015-02-24 04:00:00,2015-02-24 04:15:00,SHORT,248,Sydney_Tokyo_Overlap,248,Sydney_Tokyo_Overlap,TP,0.6824174600376409,0.2224174600376409,1
2015-02-24 17:15:00,2015-02-24 17:45:00,SHORT,252,London_NewYork_Overlap,252,London_NewYork_Overlap,SL,-2.3073769379552687,-2.8573769379552685,2
2015-02-25 16:30:00,2015-02-25 17:00:00,LONG,259,London_NewYork_Overlap,259,London_NewYork_Overlap,SL,-1.710872124470825,-2.180872124470825,2
2015-02-25 17:30:00,2015-02-25 18:15:00,LONG,259,London_NewYork_Overlap,260,NewYork,TP,1.110181806803439,0.620181806803439,3
2015-02-25 21:00:00,2015-02-25 22:45:00,SHORT,260,NewYork,260,NewYork,SL,-1.6212542268342531,-2.131254226834253,7
2015-02-26 16:45:00,2015-02-26 18:15:00,LONG,266,London_NewYork_Overlap,267,NewYork,TP,1.3796125169762945,0.8896125169762945,6
2015-02-26 19:15:00,2015-02-26 19:30:00,LONG,267,NewYork,267,NewYork,TP,1.1902103768791221,0.6902103768791221,1
2015-02-26 21:00:00,2015-02-26 21:15:00,LONG,267,NewYork,267,NewYork,TP,1.0273627839687833,0.5173627839687833,1
2015-02-26 22:15:00,2015-02-27 01:00:00,SHORT,267,NewYork,269,Sydney_Tokyo_Overlap,SL,-1.5570030743035659,-2.0670030743035657,7
2015-02-27 01:15:00,2015-02-27 02:00:00,LONG,269,Sydney_Tokyo_Overlap,269,Sydney_Tokyo_Overlap,TP,0.7612940298738522,0.24129402987385218,3
2015-02-27 06:30:00,2015-02-27 06:45:00,LONG,269,Sydney_Tokyo_Overlap,269,Sydney_Tokyo_Overlap,TP,0.5123014996588608,0.10230149965886082,1
2015-03-02 14:00:00,2015-03-02 14:15:00,LONG,280,London_NewYork_Overlap,280,London_NewYork_Overlap,TP,0.8191173032332699,0.4491173032332699,1
2015-03-02 16:00:00,2015-03-02 16:15:00,LONG,280,London_NewYork_Overlap,280,London_NewYork_Overlap,SL,-1.9174935917874336,-2.2774935917874335,1
2015-03-03 08:00:00,2015-03-03 08:45:00,SHORT,284,Asia,284,Asia,TP,1.148769159921585,0.7987691599215849,3
2015-03-04 06:45:00,2015-03-04 07:30:00,SHORT,290,Sydney_Tokyo_Overlap,290,Sydney_Tokyo_Overlap,SL,-1.014386913399676,-1.294386913399676,3
2015-03-05 15:15:00,2015-03-05 15:30:00,SHORT,301,London_NewYork_Overlap,301,London_NewYork_Overlap,SL,-1.2658958779463774,-1.6158958779463775,1
2015-03-12 12:00:00,2015-03-12 12:15:00,SHORT,332,London,332,London,TP,1.1294941450923943,0.7794941450923942,1
2015-03-12 12:30:00,2015-03-12 13:00:00,SHORT,332,London,332,London,TP,1.0725572768865277,0.7725572768865276,2
2015-03-12 14:30:00,2015-03-12 14:45:00,SHORT,333,London_NewYork_Overlap,333,London_NewYork_Overlap,TP,1.3157944821698493,0.9157944821698493,1
2015-03-13 03:00:00,2015-03-13 03:30:00,SHORT,335,Sydney_Tokyo_Overlap,335,Sydney_Tokyo_Overlap,TP,0.8322429050649589,0.5122429050649588,2
2015-03-13 10:00:00,2015-03-13 10:15:00,LONG,338,London,338,London,TP,0.6882687239772167,0.3382687239772167,1
2015-03-13 14:30:00,2015-03-13 14:45:00,SHORT,339,London_NewYork_Overlap,339,London_NewYork_Overlap,SL,-1.4532520574332466,-1.7432520574332466,1
2015-03-16 14:00:00,2015-03-16 14:15:00,SHORT,345,London_NewYork_Overlap,345,London_NewYork_Overlap,TP,0.8111484321464104,0.33114843214641043,1
2015-03-16 15:15:00,2015-03-16 15:45:00,SHORT,345,London_NewYork_Overlap,345,London_NewYork_Overlap,TP,1.0132115491267086,0.5332115491267087,2
2015-03-17 01:45:00,2015-03-17 02:00:00,SHORT,347,Sydney_Tokyo_Overlap,347,Sydney_Tokyo_Overlap,TP,0.609077459979062,0.08907745997906202,1
2015-03-17 05:00:00,2015-03-17 06:15:00,SHORT,347,Sydney_Tokyo_Overlap,347,Sydney_Tokyo_Overlap,TP,0.6714752774159933,0.23147527741599333,5
2015-03-18 13:00:00,2015-03-18 13:15:00,SHORT,356,London,356,London,TP,0.773917293745626,0.343917293745626,1
2015-03-19 14:00:00,2015-03-19 14:15:00,LONG,363,London_NewYork_Overlap,363,London_NewYork_Overlap,TP,1.3611643503134019,0.8511643503134019,1
2015-03-25 07:30:00,2015-03-25 07:45:00,LONG,383,Sydney_Tokyo_Overlap,383,Sydney_Tokyo_Overlap,TP,0.7943043752629819,0.30430437526298193,1
2015-03-27 14:45:00,2015-03-27 15:00:00,LONG,399,London_NewYork_Overlap,399,London_NewYork_Overlap,TP,1.0236948087904238,0.5736948087904239,1
2015-03-27 16:00:00,2015-03-27 16:15:00,SHORT,399,London_NewYork_Overlap,399,London_NewYork_Overlap,SL,-2.311652288141886,-2.811652288141886,1
2015-03-27 17:30:00,2015-03-27 18:15:00,SHORT,399,London_NewYork_Overlap,400,NewYork,SL,-2.323853878814589,-2.793853878814589,3
2015-03-27 21:30:00,2015-03-27 21:45:00,LONG,400,NewYork,400,NewYork,SL,-1.334642209031017,-1.814642209031017,1
2015-03-31 17:15:00,2015-03-31 17:30:00,SHORT,413,London_NewYork_Overlap,413,London_NewYork_Overlap,SL,-1.957917589822273,-2.427917589822273,1
2015-04-01 04:00:00,2015-04-01 04:15:00,SHORT,416,Sydney_Tokyo_Overlap,416,Sydney_Tokyo_Overlap,TP,0.6352347602883128,0.12523476028831282,1
2015-04-02 17:00:00,2015-04-02 17:30:00,LONG,427,London_NewYork_Overlap,427,London_NewYork_Overlap,SL,-2.1720285403023354,-2.6720285403023354,2
2015-04-07 15:45:00,2015-04-07 16:00:00,SHORT,443,London_NewYork_Overlap,443,London_NewYork_Overlap,SL,-1.279632674378945,-1.749632674378945,1
2015-04-07 18:30:00,2015-04-07 20:00:00,LONG,443,London_NewYork_Overlap,444,NewYork,SL,-1.4968160659150271,-1.946816065915027,6
2015-04-10 15:00:00,2015-04-10 15:15:00,LONG,464,London_NewYork_Overlap,464,London_NewYork_Overlap,TP,1.0538295700596336,0.5438295700596336,1
2015-04-13 08:15:00,2015-04-13 08:30:00,LONG,467,Sydney_Tokyo_Overlap,467,Sydney_Tokyo_Overlap,TP,0.5870616777781379,0.13706167777813788,1
2015-04-14 17:30:00,2015-04-14 19:00:00,SHORT,478,London_NewYork_Overlap,479,NewYork,TP,1.6851294404475539,1.2151294404475539,6
2015-04-15 16:00:00,2015-04-15 16:15:00,SHORT,485,London_NewYork_Overlap,485,London_NewYork_Overlap,SL,-1.8363724935350092,-2.356372493535009,1
2015-04-17 08:00:00,2015-04-17 08:15:00,SHORT,495,Sydney_Tokyo_Overlap,495,Sydney_Tokyo_Overlap,SL,-0.8450232755867546,-1.3050232755867546,1
2015-04-17 09:00:00,2015-04-17 09:15:00,LONG,496,Asia,496,Asia,TP,0.5757156601487168,0.1557156601487168,1
2015-04-20 13:15:00,2015-04-20 13:30:00,LONG,505,London,505,London,SL,-1.224637052705475,-1.6346370527054752,1
2015-04-21 13:00:00,2015-04-21 13:15:00,SHORT,512,London,512,London,TP,0.6218010832269556,0.3218010832269556,1
2015-04-21 17:30:00,2015-04-21 18:00:00,SHORT,513,London_NewYork_Overlap,513,London_NewYork_Overlap,TP,0.9382472169852463,0.6482472169852462,2
2015-04-22 05:45:00,2015-04-22 07:30:00,LONG,516,Sydney_Tokyo_Overlap,516,Sydney_Tokyo_Overlap,TP,0.5310298688857529,0.2410298688857529,7
2015-04-22 10:30:00,2015-04-22 10:45:00,LONG,518,Tokyo_London_Overlap,518,Tokyo_London_Overlap,TP,0.71960753282724,0.36960753282723996,1
2015-04-22 11:30:00,2015-04-22 11:45:00,SHORT,519,London,519,London,SL,-1.3017505930167772,-1.6317505930167773,1
2015-04-23 18:00:00,2015-04-23 19:00:00,SHORT,527,London_NewYork_Overlap,528,NewYork,TP,1.2292986056700101,0.8492986056700101,4
2015-04-24 03:00:00,2015-04-24 03:30:00,LONG,530,Sydney_Tokyo_Overlap,530,Sydney_Tokyo_Overlap,TP,0.46025528978248076,0.040255289782480774,2
2015-04-24 05:15:00,2015-04-24 05:30:00,SHORT,530,Sydney_Tokyo_Overlap,530,Sydney_Tokyo_Overlap,TP,0.44313978404943555,0.043139784049435526,1
2015-04-27 16:00:00,2015-04-27 16:15:00,LONG,541,London_NewYork_Overlap,541,London_NewYork_Overlap,SL,-1.2622441692149096,-1.6522441692149097,1
2015-04-29 22:00:00,2015-04-30 07:15:00,LONG,556,NewYork,558,Sydney_Tokyo_Overlap,SL,-2.288290468742389,-2.698290468742389,33
2015-04-30 09:00:00,2015-04-30 09:45:00,SHORT,559,Asia,559,Asia,TP,0.687689331383126,0.29768933138312603,3
2015-05-05 12:15:00,2015-05-05 13:15:00,LONG,582,London,582,London,TP,0.6550882597568943,0.2650882597568943,4
2015-05-06 10:45:00,2015-05-06 11:00:00,LONG,588,Tokyo_London_Overlap,589,London,SL,-1.1696200311760094,-1.5696200311760093,1
2015-05-06 14:00:00,2015-05-06 14:15:00,SHORT,589,London,589,London,TP,0.7809793421063205,0.37097934210632044,1
2015-05-06 19:00:00,2015-05-06 23:00:00,SHORT,591,NewYork,591,NewYork,SL,-1.9767033273355992,-2.3467033273355993,16
2015-05-08 09:45:00,2015-05-08 10:00:00,SHORT,601,Asia,602,Tokyo_London_Overlap,SL,-0.8668238158775239,-1.276823815877524,1
2015-05-08 14:30:00,2015-05-08 15:15:00,SHORT,603,London,604,London_NewYork_Overlap,SL,-1.2286532130128762,-1.6586532130128762,3
2015-05-11 13:00:00,2015-05-11 13:30:00,SHORT,610,London,610,London,TP,0.5798730727299244,0.18987307272992437,2
2015-05-19 04:30:00,2015-05-19 04:45:00,LONG,649,Sydney_Tokyo_Overlap,649,Sydney_Tokyo_Overlap,SL,-0.7612196863119607,-1.1312196863119608,1
2015-05-19 05:45:00,2015-05-19 06:00:00,SHORT,649,Sydney_Tokyo_Overlap,649,Sydney_Tokyo_Overlap,TP,0.5685671962555716,0.1885671962555716,1
2015-05-20 21:00:00,2015-05-20 21:15:00,SHORT,661,NewYork,661,NewYork,TP,1.1155258550843428,0.6855258550843428,1
2015-05-21 05:30:00,2015-05-21 06:00:00,SHORT,663,Sydney_Tokyo_Overlap,663,Sydney_Tokyo_Overlap,TP,0.574748613666543,0.17474861366654293,2
2015-05-22 08:45:00,2015-05-22 09:00:00,SHORT,670,Sydney_Tokyo_Overlap,671,Asia,SL,-0.7034364909500255,-1.0734364909500256,1
2015-05-22 10:00:00,2015-05-22 10:15:00,SHORT,672,Tokyo_London_Overlap,672,Tokyo_London_Overlap,SL,-0.7171897219802759,-1.0771897219802757,1
2015-05-25 20:00:00,2015-05-25 20:15:00,LONG,682,NewYork,682,NewYork,SL,-1.2489053395013343,-1.7589053395013343,1
2015-05-26 02:30:00,2015-05-26 03:45:00,LONG,684,Sydney_Tokyo_Overlap,684,Sydney_Tokyo_Overlap,SL,-1.1622788106130884,-1.5922788106130883,5
2015-05-26 04:00:00,2015-05-26 04:15:00,SHORT,684,Sydney_Tokyo_Overlap,684,Sydney_Tokyo_Overlap,TP,0.6098006636755144,0.1998006636755144,1
2015-05-28 12:15:00,2015-05-28 12:30:00,SHORT,701,London,701,London,TP,0.6942042331600078,0.3242042331600078,1
2015-05-28 18:00:00,2015-05-28 18:45:00,SHORT,702,London_NewYork_Overlap,702,London_NewYork_Overlap,TP,1.2745182157671024,0.8545182157671025,3
2015-05-29 03:15:00,2015-05-29 03:45:00,SHORT,705,Sydney_Tokyo_Overlap,705,Sydney_Tokyo_Overlap,TP,0.45678658471069866,0.02678658471069867,2
2015-05-29 05:45:00,2015-05-29 06:15:00,SHORT,705,Sydney_Tokyo_Overlap,705,Sydney_Tokyo_Overlap,SL,-0.8236584841372405,-1.1836584841372404,2
2015-05-29 07:45:00,2015-05-29 08:15:00,LONG,705,Sydney_Tokyo_Overlap,705,Sydney_Tokyo_Overlap,SL,-0.7590186590414305,-1.1590186590414304,2
2015-05-29 08:30:00,2015-05-29 09:00:00,SHORT,705,Sydney_Tokyo_Overlap,706,Asia,TP,0.45510522718268476,0.08510522718268476,2
2015-05-29 12:15:00,2015-05-29 12:30:00,SHORT,708,London,708,London,SL,-0.9800227381413151,-1.340022738141315,1
2015-05-29 14:45:00,2015-05-29 15:00:00,SHORT,708,London,709,London_NewYork_Overlap,TP,0.6203832214105205,0.28038322141052047,1
2015-05-29 15:30:00,2015-05-29 16:00:00,SHORT,709,London_NewYork_Overlap,709,London_NewYork_Overlap,SL,-1.6292517533863702,-2.04925175338637,2
2015-05-29 16:30:00,2015-05-29 16:45:00,LONG,709,London_NewYork_Overlap,709,London_NewYork_Overlap,TP,1.0318554169807612,0.6518554169807612,1
2015-05-29 18:00:00,2015-05-29 20:30:00,LONG,709,London_NewYork_Overlap,710,NewYork,TP,1.0116492424317585,0.6616492424317584,10
2015-06-01 03:30:00,2015-06-01 04:00:00,LONG,712,Sydney_Tokyo_Overlap,712,Sydney_Tokyo_Overlap,TP,0.72571909064186,0.29571909064186,2
2015-06-01 05:30:00,2015-06-01 06:30:00,LONG,712,Sydney_Tokyo_Overlap,712,Sydney_Tokyo_Overlap,TP,0.6656177024240151,0.2456177024240151,4
2015-06-01 15:45:00,2015-06-01 16:00:00,SHORT,716,London_NewYork_Overlap,716,London_NewYork_Overlap,SL,-1.3669253700727495,-1.7369253700727496,1
2015-06-01 19:30:00,2015-06-01 20:00:00,LONG,717,NewYork,717,NewYork,SL,-2.4170492347225263,-2.8070492347225264,2
2015-06-02 09:30:00,2015-06-02 10:00:00,SHORT,720,Asia,721,Tokyo_London_Overlap,TP,0.7233860341316358,0.3233860341316358,2
2015-06-02 13:15:00,2015-06-02 13:30:00,SHORT,722,London,722,London,SL,-1.3577122836177296,-1.7177122836177294,1
2015-06-02 14:45:00,2015-06-02 15:15:00,LONG,722,London,723,London_NewYork_Overlap,TP,1.0416651212099168,0.6316651212099168,2
2015-06-02 15:45:00,2015-06-02 16:00:00,LONG,723,London_NewYork_Overlap,723,London_NewYork_Overlap,TP,1.2203267535867326,0.8603267535867326,1
2015-06-03 09:15:00,2015-06-03 09:30:00,LONG,727,Asia,727,Asia,TP,0.526552348047062,0.19655234804706195,1
2015-06-03 09:45:00,2015-06-03 10:00:00,LONG,727,Asia,728,Tokyo_London_Overlap,SL,-0.9438440745818752,-1.2938440745818753,1
2015-06-03 16:00:00,2015-06-03 16:15:00,SHORT,730,London_NewYork_Overlap,730,London_NewYork_Overlap,TP,1.106800779200512,0.6968007792005119,1
2015-06-03 16:30:00,2015-06-03 19:00:00,SHORT,730,London_NewYork_Overlap,731,NewYork,TP,1.124554813444547,0.7545548134445471,10
2015-06-09 03:30:00,2015-06-09 03:45:00,SHORT,754,Sydney_Tokyo_Overlap,754,Sydney_Tokyo_Overlap,TP,0.4502533079571549,0.05025330795715488,1
2015-06-09 10:30:00,2015-06-09 10:45:00,LONG,756,Tokyo_London_Overlap,756,Tokyo_London_Overlap,TP,0.6097983108734297,0.22979831087342972,1
2015-06-09 16:45:00,2015-06-09 17:00:00,LONG,758,London_NewYork_Overlap,758,London_NewYork_Overlap,SL,-1.5518457584719272,-1.951845758471927,1
2015-06-09 17:45:00,2015-06-09 18:15:00,LONG,758,London_NewYork_Overlap,758,London_NewYork_Overlap,TP,0.9424241792864905,0.5424241792864904,2
2015-06-10 02:00:00,2015-06-10 02:30:00,LONG,761,Sydney_Tokyo_Overlap,761,Sydney_Tokyo_Overlap,TP,0.35629084110269105,-0.16370915889730897,2
2015-06-10 04:15:00,2015-06-10 04:30:00,LONG,761,Sydney_Tokyo_Overlap,761,Sydney_Tokyo_Overlap,TP,0.3988079729447236,0.008807972944723574,1
2015-06-10 05:30:00,2015-06-10 05:45:00,SHORT,761,Sydney_Tokyo_Overlap,761,Sydney_Tokyo_Overlap,SL,-0.6270432276755855,-0.9970432276755855,1
2015-06-10 07:00:00,2015-06-10 07:15:00,SHORT,761,Sydney_Tokyo_Overlap,761,Sydney_Tokyo_Overlap,SL,-0.7033926944147879,-1.1033926944147878,1
2015-06-12 02:00:00,2015-06-12 03:15:00,SHORT,775,Sydney_Tokyo_Overlap,775,Sydney_Tokyo_Overlap,TP,0.44640728082549685,-0.09359271917450318,5
2015-06-12 04:00:00,2015-06-12 04:15:00,LONG,775,Sydney_Tokyo_Overlap,775,Sydney_Tokyo_Overlap,TP,0.39465387533937246,0.024653875339372466,1
2015-06-15 03:30:00,2015-06-15 04:00:00,LONG,782,Sydney_Tokyo_Overlap,782,Sydney_Tokyo_Overlap,SL,-0.9998991551540257,-1.4098991551540259,2
2015-06-15 14:30:00,2015-06-15 15:00:00,SHORT,785,London,786,London_NewYork_Overlap,TP,1.039920451883745,0.649920451883745,2
2015-06-16 11:45:00,2015-06-16 12:30:00,SHORT,792,London,792,London,TP,0.7667028263902012,0.39670282639020116,3
2015-06-16 22:45:00,2015-06-17 03:15:00,SHORT,794,NewYork,796,Sydney_Tokyo_Overlap,TP,0.5875972840717623,0.21759728407176226,14
2015-06-22 01:45:00,2015-06-22 02:00:00,LONG,816,Sydney,817,Sydney_Tokyo_Overlap,TP,0.5754535145358659,-0.04454648546413409,1
2015-06-22 10:15:00,2015-06-22 10:30:00,SHORT,819,Tokyo_London_Overlap,819,Tokyo_London_Overlap,TP,0.5187984817464439,0.10879848174644391,1
2015-06-26 10:30:00,2015-06-26 10:45:00,SHORT,847,Tokyo_London_Overlap,847,Tokyo_London_Overlap,TP,0.6346269279877106,0.2646269279877106,1
2015-06-29 10:30:00,2015-06-29 11:30:00,LONG,854,Tokyo_London_Overlap,855,London,TP,0.9430040327665665,0.5130040327665666,4
2015-06-29 11:45:00,2015-06-29 12:15:00,LONG,855,London,855,London,TP,0.944816001682284,0.574816001682284,2
2015-06-29 13:00:00,2015-06-29 14:15:00,SHORT,855,London,855,London,SL,-1.5590551321231487,-1.9390551321231486,5
2015-06-29 15:00:00,2015-06-29 15:15:00,LONG,856,London_NewYork_Overlap,856,London_NewYork_Overlap,TP,0.7890065070382661,0.42900650703826615,1
2015-06-30 04:00:00,2015-06-30 04:15:00,LONG,859,Sydney_Tokyo_Overlap,859,Sydney_Tokyo_Overlap,SL,-0.9181339712074532,-1.3381339712074531,1
2015-06-30 18:45:00,2015-06-30 19:00:00,SHORT,863,London_NewYork_Overlap,864,NewYork,SL,-2.165977745631153,-2.535977745631153,1
2015-07-02 23:00:00,2015-07-02 23:15:00,SHORT,877,NewYork,877,NewYork,TP,0.7762459920127185,0.3962459920127185,1
2015-07-03 12:00:00,2015-07-03 12:45:00,LONG,882,London,882,London,TP,0.6291091054756635,0.21910910547566342,3
2015-07-06 04:30:00,2015-07-06 07:45:00,LONG,886,Sydney_Tokyo_Overlap,886,Sydney_Tokyo_Overlap,SL,-1.4458353034920037,-1.8858353034920037,13
2015-07-06 17:30:00,2015-07-06 18:00:00,SHORT,890,London_NewYork_Overlap,890,London_NewYork_Overlap,TP,0.8377055718972315,0.4677055718972315,2
