Time,Open,High,Low,Close,Volume,Spread,EMA200
2019.01.02 06:00:00,1282.21,1284.05,1282.01,1283.92,1001,21,1283.92
2019.01.02 07:00:00,1283.92,1286.44,1283.71,1286.20,1376,17,1283.94
2019.01.02 08:00:00,1286.20,1287.31,1285.58,1285.82,1894,16,1283.96
2019.01.02 09:00:00,1285.82,1286.43,1284.55,1285.45,2087,16,1283.98
2019.01.02 10:00:00,1285.40,1288.64,1284.85,1287.99,2688,16,1284.02
2019.01.02 11:00:00,1288.04,1288.70,1286.93,1286.98,2090,18,1284.05
2019.01.02 12:00:00,1286.98,1287.87,1286.28,1287.29,1662,19,1284.08
2019.01.02 13:00:00,1287.29,1287.59,1286.31,1286.43,1602,20,1284.10
2019.01.02 14:00:00,1286.34,1286.34,1284.03,1285.44,2242,19,1284.11
2019.01.02 15:00:00,1285.43,1287.35,1283.27,1284.22,3867,18,1284.12
2019.01.02 16:00:00,1284.13,1285.07,1282.00,1283.60,3801,15,1284.11
2019.01.02 17:00:00,1283.61,1287.02,1282.82,1285.77,3881,16,1284.13
2019.01.02 18:00:00,1285.77,1287.63,1283.27,1285.19,3179,15,1284.14
2019.01.02 19:00:00,1285.19,1286.49,1283.96,1284.02,1511,15,1284.14
2019.01.02 20:00:00,1283.92,1284.05,1278.64,1279.27,2667,18,1284.09
2019.01.02 21:00:00,1279.25,1281.49,1279.05,1281.49,1827,19,1284.06
2019.01.02 22:00:00,1281.49,1283.30,1280.67,1283.17,1140,15,1284.05
2019.01.02 23:00:00,1283.17,1284.94,1282.36,1284.60,756,14,1284.06
2019.01.03 01:00:00,1287.68,1290.13,1285.43,1285.80,1330,15,1284.08
2019.01.03 02:00:00,1285.80,1287.35,1285.17,1286.67,1787,15,1284.10
2019.01.03 03:00:00,1286.75,1288.51,1285.06,1288.27,2640,21,1284.14
2019.01.03 04:00:00,1288.27,1289.61,1287.86,1288.47,1888,17,1284.19
2019.01.03 05:00:00,1288.47,1288.84,1287.53,1287.84,1301,20,1284.22
2019.01.03 06:00:00,1287.84,1288.76,1287.66,1288.35,969,20,1284.26
2019.01.03 07:00:00,1288.35,1290.23,1287.66,1289.95,1518,21,1284.32
2019.01.03 08:00:00,1289.95,1292.24,1289.37,1292.03,1730,19,1284.40
2019.01.03 09:00:00,1292.03,1292.26,1288.48,1289.59,3861,19,1284.45
2019.01.03 10:00:00,1289.59,1290.66,1288.09,1289.65,3746,15,1284.50
2019.01.03 11:00:00,1289.71,1289.71,1287.27,1288.03,1948,18,1284.54
2019.01.03 12:00:00,1288.03,1288.81,1286.90,1288.10,2046,19,1284.57
2019.01.03 13:00:00,1288.10,1288.20,1286.04,1287.16,2303,21,1284.60
2019.01.03 14:00:00,1287.16,1289.12,1287.00,1287.99,1698,18,1284.63
2019.01.03 15:00:00,1287.99,1290.09,1284.50,1287.72,4795,15,1284.66
2019.01.03 16:00:00,1287.72,1289.18,1286.76,1287.71,2878,15,1284.69
2019.01.03 17:00:00,1287.71,1291.30,1287.44,1289.68,7308,15,1284.74
2019.01.03 18:00:00,1289.71,1290.83,1288.25,1289.21,4603,16,1284.79
2019.01.03 19:00:00,1289.21,1290.86,1288.90,1290.36,2500,17,1284.84
2019.01.03 20:00:00,1290.36,1292.97,1290.03,1291.09,2631,15,1284.90
2019.01.03 21:00:00,1291.09,1293.42,1290.99,1293.33,1340,16,1284.99
2019.01.03 22:00:00,1293.33,1294.94,1292.16,1294.94,1773,15,1285.09
2019.01.03 23:00:00,1294.96,1294.96,1293.74,1293.97,725,12,1285.17
2019.01.04 01:00:00,1293.66,1295.25,1292.69,1295.15,1297,16,1285.27
2019.01.04 02:00:00,1295.15,1297.01,1294.89,1296.78,2637,18,1285.39
2019.01.04 03:00:00,1296.77,1298.52,1296.35,1296.92,3136,17,1285.50
2019.01.04 04:00:00,1296.93,1298.05,1296.61,1296.71,1677,21,1285.61
2019.01.04 05:00:00,1296.71,1296.84,1294.45,1295.51,2055,21,1285.71
2019.01.04 06:00:00,1295.51,1295.59,1294.15,1294.41,1276,22,1285.80
2019.01.04 07:00:00,1294.41,1296.23,1293.91,1295.43,1434,21,1285.90
2019.01.04 08:00:00,1295.38,1295.73,1294.04,1294.26,1210,21,1285.98
2019.01.04 09:00:00,1294.26,1295.05,1292.97,1294.53,2339,20,1286.06
2019.01.04 10:00:00,1294.53,1295.27,1291.21,1291.74,2142,15,1286.12
2019.01.04 11:00:00,1291.74,1292.53,1289.34,1290.06,2078,19,1286.16
2019.01.04 12:00:00,1290.17,1291.07,1289.85,1291.05,1555,21,1286.21
2019.01.04 13:00:00,1291.05,1292.09,1290.76,1291.25,1105,21,1286.26
2019.01.04 14:00:00,1291.25,1291.66,1290.46,1291.07,1164,20,1286.31
2019.01.04 15:00:00,1291.16,1291.66,1285.77,1287.61,6231,16,1286.32
