Ticket,Symbol,Type,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason
0,XAUUSD,BUY,1799.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2022.01.10 12:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
2,XAUUSD,BUY,1803.61,1833.64,1773.61,1833.61,150.15,0.25,0.00,-5.04,145.11,Asia,2022.01.11 02:15:00,2022.01.19 17:05:39,0.01,12345,M15,EXECUTED,N/A
3,XAUUSD,SELL,1812.01,1842.01,1842.01,1782.01,-149.75,0.25,0.00,-0.23,-149.98,London,2022.01.18 11:00:00,2022.01.19 19:14:38,0.01,12345,M15,EXECUTED,N/A
6,XAUUSD,BUY,1846.48,1816.48,1816.48,1876.48,-150.05,0.25,0.00,-2.52,-152.57,London_NewYork_Overlap,2022.01.20 16:00:00,2022.01.26 21:57:53,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1800.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NoSession,2022.02.01 07:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
8,XAUUSD,SELL,1791.11,1821.11,1821.11,1761.11,-150.15,0.25,0.00,-1.84,-151.99,London,2022.01.28 11:15:00,2022.02.07 20:29:40,0.01,12345,M15,EXECUTED,N/A
9,XAUUSD,BUY,1816.40,1846.41,1786.40,1846.40,150.00,0.25,0.00,-3.78,146.22,London_NewYork_Overlap,2022.02.07 15:30:00,2022.02.11 20:34:30,0.01,12345,M15,EXECUTED,N/A
12,XAUUSD,BUY,1866.50,1896.50,1836.50,1896.50,149.90,0.25,0.00,-3.15,146.75,NewYork,2022.02.14 17:00:00,2022.02.17 15:44:16,0.01,12345,M15,EXECUTED,N/A
14,XAUUSD,BUY,1912.19,1942.20,1882.19,1942.19,149.80,0.25,0.00,-2.52,147.28,Asia,2022.02.22 01:15:00,2022.02.24 06:12:32,0.01,12345,M15,EXECUTED,N/A
16,XAUUSD,BUY,1953.17,1983.20,1923.17,1983.17,150.00,0.25,0.00,-0.63,149.37,London_NewYork_Overlap,2022.03.04 16:45:00,2022.03.07 01:05:36,0.01,12345,M15,EXECUTED,N/A
18,XAUUSD,BUY,2028.26,2058.31,1998.26,2058.26,151.00,0.25,0.00,0.00,151.00,London_NewYork_Overlap,2022.03.08 16:45:00,2022.03.08 17:07:24,0.01,12345,M15,EXECUTED,N/A
20,XAUUSD,SELL,1967.71,1937.69,1997.71,1937.71,150.60,0.25,0.00,-0.46,150.14,London_NewYork_Overlap,2022.03.11 14:15:00,2022.03.15 06:59:10,0.01,12345,M15,EXECUTED,N/A
22,XAUUSD,SELL,1914.02,1944.02,1944.02,1884.02,-149.85,0.25,0.00,-0.23,-150.08,London_NewYork_Overlap,2022.03.22 16:15:00,2022.03.23 21:39:37,0.01,12345,M15,EXECUTED,N/A
24,XAUUSD,BUY,1952.09,1922.04,1922.09,1982.09,-150.75,0.25,0.00,-1.26,-152.01,London_NewYork_Overlap,2022.03.24 13:45:00,2022.03.28 22:05:42,0.01,12345,M15,EXECUTED,N/A
25,XAUUSD,SELL,1942.55,1912.54,1972.55,1912.55,150.35,0.25,0.00,-0.23,150.12,NoSession,2022.03.28 07:45:00,2022.03.29 11:40:28,0.01,12345,M15,EXECUTED,N/A
28,XAUUSD,SELL,1916.99,1947.00,1946.99,1886.99,-149.90,0.25,0.00,-1.38,-151.28,NoSession,2022.04.04 07:30:00,2022.04.08 17:10:28,0.01,12345,M15,EXECUTED,N/A
29,XAUUSD,BUY,1939.11,1969.13,1909.11,1969.11,149.95,0.25,0.00,-0.63,149.32,London_NewYork_Overlap,2022.04.08 16:45:00,2022.04.11 15:39:39,0.01,12345,M15,EXECUTED,N/A
32,XAUUSD,SELL,1932.42,1902.40,1962.42,1902.42,150.25,0.25,0.00,-0.23,150.02,London_NewYork_Overlap,2022.04.22 13:30:00,2022.04.25 15:19:39,0.01,12345,M15,EXECUTED,N/A
34,XAUUSD,SELL,1853.90,1883.90,1883.90,1823.90,-149.85,0.25,0.00,-0.23,-150.08,London,2022.05.03 10:15:00,2022.05.04 21:53:31,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1886.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2022.05.04 22:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
36,XAUUSD,BUY,1906.96,1876.95,1876.96,1936.96,-150.00,0.25,0.00,0.00,-150.00,London_NewYork_Overlap,2022.05.05 16:00:00,2022.05.05 18:51:37,0.01,12345,M15,EXECUTED,N/A
38,XAUUSD,SELL,1865.49,1835.49,1895.49,1835.49,149.60,0.25,0.00,-0.46,149.14,London,2022.05.09 11:45:00,2022.05.11 02:42:35,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1830.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2022.05.17 10:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
40,XAUUSD,BUY,1867.60,1837.59,1837.60,1897.60,-150.05,0.25,0.00,-4.41,-154.46,NewYork,2022.05.24 17:00:00,2022.05.31 22:52:03,0.01,12345,M15,EXECUTED,N/A
41,XAUUSD,SELL,1842.59,1872.64,1872.59,1812.59,-150.10,0.25,0.00,-1.15,-151.25,NewYork,2022.05.31 17:30:00,2022.06.03 03:31:27,0.01,12345,M15,EXECUTED,N/A
44,XAUUSD,SELL,1835.97,1865.98,1865.97,1805.97,-149.65,0.25,0.00,0.00,-149.65,London_NewYork_Overlap,2022.06.10 14:45:00,2022.06.10 18:56:27,0.01,12345,M15,EXECUTED,N/A
46,XAUUSD,SELL,1813.17,1843.20,1843.17,1783.17,-149.85,0.25,0.00,-0.92,-150.77,NewYork,2022.06.14 17:30:00,2022.06.16 18:22:15,0.01,12345,M15,EXECUTED,N/A
48,XAUUSD,BUY,1842.91,1812.91,1812.91,1872.91,-149.95,0.25,0.00,-6.93,-156.88,NewYork,2022.06.16 18:30:00,2022.06.29 12:32:38,0.01,12345,M15,EXECUTED,N/A
49,XAUUSD,SELL,1833.10,1803.08,1863.10,1803.10,149.75,0.25,0.00,-2.53,147.22,London,2022.06.21 10:30:00,2022.06.30 14:45:39,0.01,12345,M15,EXECUTED,N/A
50,XAUUSD,SELL,1823.15,1793.10,1853.15,1793.15,150.65,0.25,0.00,-1.84,148.81,NewYork,2022.06.23 21:30:00,2022.07.01 10:11:42,0.01,12345,M15,EXECUTED,N/A
55,XAUUSD,SELL,1713.22,1743.27,1743.22,1683.22,-149.30,0.25,0.00,-0.69,-149.99,NewYork,2022.07.27 17:15:00,2022.07.28 10:09:36,0.01,12345,M15,EXECUTED,N/A
54,XAUUSD,BUY,1722.12,1752.14,1692.12,1752.12,149.85,0.25,0.00,-3.78,146.07,London,2022.07.22 12:30:00,2022.07.28 16:28:28,0.01,12345,M15,EXECUTED,N/A
59,XAUUSD,BUY,1773.42,1803.48,1743.42,1803.42,150.40,0.25,0.00,-2.52,147.88,London,2022.08.04 08:30:00,2022.08.10 15:30:41,0.01,12345,M15,EXECUTED,N/A
58,XAUUSD,BUY,1771.00,1801.02,1741.00,1801.00,150.00,0.25,0.00,-5.67,144.33,London,2022.08.01 12:45:00,2022.08.10 15:30:38,0.01,12345,M15,EXECUTED,N/A
62,XAUUSD,SELL,1771.73,1741.73,1801.73,1741.73,150.30,0.25,0.00,-1.38,148.92,London_NewYork_Overlap,2022.08.16 16:00:00,2022.08.22 10:01:01,0.01,12345,M15,EXECUTED,N/A
63,XAUUSD,SELL,1758.88,1728.88,1788.88,1728.88,150.15,0.25,0.00,-0.46,149.69,NewYork,2022.08.18 18:45:00,2022.08.22 15:35:03,0.01,12345,M15,EXECUTED,N/A
66,XAUUSD,SELL,1730.38,1700.37,1760.38,1700.38,150.20,0.25,0.00,-1.15,149.05,Asia,2022.08.29 04:15:00,2022.09.01 13:38:31,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1721.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2022.09.06 03:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
68,XAUUSD,BUY,1729.02,1699.02,1699.02,1759.02,-150.95,0.25,0.00,-0.63,-151.58,London_NewYork_Overlap,2022.09.12 14:45:00,2022.09.13 16:08:01,0.01,12345,M15,EXECUTED,N/A
70,XAUUSD,SELL,1695.06,1665.05,1725.06,1665.06,150.25,0.25,0.00,-0.69,149.56,Asia,2022.09.14 22:00:00,2022.09.15 17:57:24,0.01,12345,M15,EXECUTED,N/A
73,XAUUSD,SELL,1618.19,1648.21,1648.19,1588.19,-150.45,0.25,0.00,0.00,-150.45,London,2022.09.28 10:15:00,2022.09.28 16:47:05,0.01,12345,M15,EXECUTED,N/A
72,XAUUSD,SELL,1640.26,1670.27,1670.26,1610.26,-149.95,0.25,0.00,-1.61,-151.56,Asia,2022.09.23 22:00:00,2022.09.30 10:01:40,0.01,12345,M15,EXECUTED,N/A
75,XAUUSD,BUY,1663.96,1693.96,1633.96,1693.96,149.75,0.25,0.00,-1.26,148.49,NewYork,2022.09.29 19:15:00,2022.10.03 18:10:42,0.01,12345,M15,EXECUTED,N/A
78,XAUUSD,SELL,1688.03,1658.00,1718.03,1658.03,150.20,0.25,0.00,-1.15,149.05,Asia,2022.10.10 06:30:00,2022.10.13 15:30:39,0.01,12345,M15,EXECUTED,N/A
80,XAUUSD,SELL,1640.95,1670.95,1670.95,1610.95,-149.85,0.25,0.00,-2.30,-152.15,Asia,2022.10.14 22:15:00,2022.10.26 10:45:40,0.01,12345,M15,EXECUTED,N/A
81,XAUUSD,BUY,1663.45,1633.45,1633.45,1693.45,-150.05,0.25,0.00,-3.15,-153.20,London,2022.10.26 09:45:00,2022.10.31 21:14:36,0.01,12345,M15,EXECUTED,N/A
85,XAUUSD,BUY,1664.24,1634.22,1634.24,1694.24,-150.15,0.25,0.00,-1.89,-152.04,NewYork,2022.11.02 20:15:00,2022.11.03 00:04:35,0.01,12345,M15,EXECUTED,N/A
83,XAUUSD,SELL,1653.42,1623.42,1683.42,1623.42,150.15,0.25,0.00,-1.38,148.77,London,2022.10.28 10:15:00,2022.11.03 11:16:39,0.01,12345,M15,EXECUTED,N/A
87,XAUUSD,SELL,1630.34,1660.34,1660.34,1600.34,-149.85,0.25,0.00,-0.23,-150.08,London,2022.11.03 09:15:00,2022.11.04 14:59:04,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1759.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2022.11.17 15:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,SELL,1753.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2022.11.18 17:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
90,XAUUSD,BUY,1760.45,1730.35,1730.45,1790.45,-150.55,0.25,0.00,-6.30,-156.85,NoSession,2022.11.11 07:45:00,2022.11.23 15:30:04,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1784.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2022.12.12 17:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
92,XAUUSD,BUY,1784.46,1814.47,1754.46,1814.46,149.90,0.25,0.00,-3.78,146.12,London_NewYork_Overlap,2022.12.07 16:45:00,2022.12.13 16:05:30,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1793.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2022.12.15 05:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
94,XAUUSD,BUY,1801.82,1831.82,1771.82,1831.82,149.75,0.25,0.00,-4.41,145.34,London,2022.12.20 10:45:00,2022.12.27 17:35:41,0.01,12345,M15,EXECUTED,N/A
