test_year,train_samples,test_samples,mfe_winner,mfe_test_r2,mfe_test_mae,mfe_bias_ratio,mae_winner,mae_test_r2,mae_test_mae,mae_bias_ratio
2020,229,259,RandomForest_d4_n150_leaf12_f15,-0.002966365452395925,1174.6630784386011,1.228969025588314,RandomForest_d4_n150_leaf12_f15,0.05029469415749688,1056.7297905504627,1.0642304343403617
2021,488,254,XGBoost_d3_n120_lr002_f20,-2.69288307091657,2118.0814153815477,0.41224165214231195,Ridge_alpha10.0_f10,-0.001014530933962865,714.4339147751421,0.9518540119697314
2022,742,258,RandomForest_d5_n200_leaf15_f25,0.08100250624981775,844.6348519645637,0.9027000875716464,Ridge_alpha10.0_f15,-0.017789502656721634,905.4394485913921,0.9858367760484912
2023,1000,274,Ridge_alpha10.0_f25,0.0005593432088895067,916.7936231341866,0.9705020423853683,Ridge_alpha10.0_f15,-0.008715012217566098,835.288720804073,0.931197381505284
2024,1274,253,Ridge_alpha10.0_f20,0.06246502362081474,1179.6784889237506,0.9716553017170938,Ridge_alpha10.0_f10,0.059146665449904545,1126.5458657005147,0.92495794633134
2025,1527,253,XGBoost_d3_n120_lr002_f15,-0.032193303549310714,2361.576240187879,0.9754307605612457,Ridge_alpha10.0_f10,-0.04326808515776315,1800.894377954652,0.849633291629663
2026,1780,162,XGBoost_d3_n120_lr002_f20,0.051865096519092435,6236.003927156678,1.1001942511398277,Ridge_alpha10.0_f10,-0.02355255008938184,3744.3793050660092,1.0481545077855585
