Time,Session,IsActive,OpenPrice,HighPrice,LowPrice,ClosePrice,BarsCount,SessionRangePoints
2020.01.02 06:00:00,Asia,NO,1520.26,1520.36,1519.39,1519.37,752,97
2020.01.02 08:00:00,London,NO,1520.20,1521.39,1518.38,1521.19,13277,301
2020.01.02 13:00:00,London_NewYork_Overlap,NO,1521.19,1530.53,1521.14,1526.31,11205,939
2020.01.02 17:00:00,NewYork,NO,1526.31,1531.32,1522.75,1526.75,14188,857
2020.01.02 22:00:00,Asia,NO,1526.75,1540.96,1526.45,1538.73,15704,1451
2020.01.03 08:00:00,London,NO,1541.42,1550.27,1540.12,1548.49,16472,1015
2020.01.03 13:00:00,London_NewYork_Overlap,NO,1548.49,1551.44,1540.88,1549.75,13739,1056
2020.01.03 17:00:00,NewYork,NO,1549.75,1553.41,1546.20,1547.80,15562,721
2020.01.03 22:00:00,Asia,NO,1547.80,1582.02,1546.87,1576.05,22247,3515
2020.01.06 08:00:00,London,NO,1574.85,1577.97,1570.16,1577.54,17053,781
2020.01.06 13:00:00,London_NewYork_Overlap,NO,1577.54,1579.31,1571.39,1572.84,14085,792
2020.01.06 17:00:00,NewYork,NO,1572.84,1574.09,1560.70,1564.77,16587,1339
2020.01.06 22:00:00,Asia,NO,1564.77,1566.73,1555.25,1559.17,16774,1148
2020.01.07 08:00:00,London,NO,1562.43,1570.71,1562.31,1565.56,17004,840
2020.01.07 13:00:00,London_NewYork_Overlap,NO,1565.56,1571.63,1563.86,1568.34,13408,777
2020.01.07 17:00:00,NewYork,NO,1568.34,1573.12,1565.60,1571.23,15865,752
2020.01.07 22:00:00,Asia,NO,1571.23,1611.35,1569.71,1593.09,24505,4164
2020.01.08 08:00:00,London,NO,1594.36,1595.14,1579.02,1580.69,17432,1612
2020.01.08 13:00:00,London_NewYork_Overlap,NO,1580.69,1582.55,1568.08,1573.24,14335,1447
2020.01.08 17:00:00,NewYork,NO,1573.24,1575.07,1552.23,1554.15,17271,2284
2020.01.08 22:00:00,Asia,NO,1554.15,1562.02,1553.17,1558.32,17793,885
2020.01.09 08:00:00,London,NO,1555.27,1555.85,1540.21,1547.39,16069,1564
2020.01.09 13:00:00,London_NewYork_Overlap,NO,1547.39,1556.51,1546.43,1551.70,12562,1008
2020.01.09 17:00:00,NewYork,NO,1551.70,1555.09,1544.71,1552.64,15454,1038
2020.01.09 22:00:00,Asia,NO,1552.64,1553.77,1545.73,1547.07,13850,804
2020.01.10 08:00:00,London,NO,1548.33,1552.38,1546.17,1548.80,13753,621
2020.01.10 13:00:00,London_NewYork_Overlap,NO,1548.80,1556.56,1546.88,1553.36,12002,968
2020.01.10 17:00:00,NewYork,NO,1553.36,1561.05,1552.85,1558.82,15939,820
2020.01.10 22:00:00,Asia,NO,1558.82,1563.13,1554.30,1555.64,13584,883
2020.01.13 08:00:00,London,NO,1555.13,1555.48,1546.51,1551.13,14141,897
2020.01.13 13:00:00,London_NewYork_Overlap,NO,1551.13,1556.07,1548.64,1551.08,12193,743
2020.01.13 17:00:00,NewYork,NO,1551.08,1553.90,1548.26,1549.70,14693,564
2020.01.13 22:00:00,Asia,NO,1549.70,1550.43,1535.98,1538.89,16540,1445
2020.01.14 08:00:00,London,NO,1537.95,1545.87,1536.38,1544.97,14009,949
2020.01.14 13:00:00,London_NewYork_Overlap,NO,1544.97,1546.99,1542.03,1546.33,13157,496
2020.01.14 17:00:00,NewYork,NO,1546.33,1548.80,1540.91,1546.05,15632,789
2020.01.14 22:00:00,Asia,NO,1546.05,1552.86,1545.55,1551.98,14766,731
2020.01.15 08:00:00,London,NO,1553.16,1554.26,1550.25,1551.85,12663,401
2020.01.15 13:00:00,London_NewYork_Overlap,NO,1551.85,1556.97,1546.96,1549.58,12193,1001
2020.01.15 17:00:00,NewYork,NO,1549.58,1558.17,1548.68,1555.00,16179,949
2020.01.15 22:00:00,Asia,NO,1555.00,1558.06,1554.14,1555.76,13298,392
2020.01.16 08:00:00,London,NO,1551.68,1555.83,1551.58,1554.70,11981,425
2020.01.16 13:00:00,London_NewYork_Overlap,NO,1554.70,1557.49,1550.66,1553.81,11188,683
2020.01.16 17:00:00,NewYork,NO,1553.81,1555.53,1547.98,1551.70,13023,755
2020.01.16 22:00:00,Asia,NO,1551.70,1555.84,1549.33,1555.64,11590,651
2020.01.17 08:00:00,London,NO,1555.59,1557.01,1554.05,1556.77,13504,296
2020.01.17 13:00:00,London_NewYork_Overlap,NO,1556.77,1560.73,1554.41,1557.71,11569,632
2020.01.17 17:00:00,NewYork,NO,1557.71,1561.21,1554.01,1559.69,12959,720
2020.01.17 22:00:00,Asia,NO,1559.69,1560.92,1556.23,1559.55,11763,469
2020.01.20 08:00:00,London,NO,1561.86,1562.76,1559.25,1559.77,9181,351
