Ticket,Symbol,Type,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason
2,XAUUSD,SELL,2023.01,2050.37,2050.37,1993.01,-136.25,0.25,0.00,-0.92,-137.17,NewYork,2024.01.10 20:30:00,2024.01.12 14:07:41,0.01,12345,M15,EXECUTED,N/A
5,XAUUSD,SELL,2018.26,2048.26,2048.26,1988.26,-149.70,0.25,0.00,-1.84,-151.54,London_NewYork_Overlap,2024.01.22 16:45:00,2024.01.30 16:25:40,0.01,12345,M15,EXECUTED,N/A
4,XAUUSD,SELL,2023.44,2053.72,2053.44,1993.44,-151.25,0.25,0.00,-3.22,-154.47,Asia,2024.01.17 06:15:00,2024.01.31 16:46:43,0.01,12345,M15,EXECUTED,N/A
6,XAUUSD,BUY,2030.99,2060.99,2000.99,2060.99,149.10,0.25,0.00,-3.15,145.95,London,2024.01.29 09:15:00,2024.02.01 18:25:40,0.01,12345,M15,EXECUTED,N/A
11,XAUUSD,BUY,2040.47,2010.46,2010.47,2070.47,-149.70,0.25,0.00,-3.78,-153.48,London_NewYork_Overlap,2024.02.07 16:45:00,2024.02.13 15:47:20,0.01,12345,M15,EXECUTED,N/A
10,XAUUSD,SELL,2024.76,1994.76,2052.29,1994.76,150.25,0.25,0.00,-1.84,148.41,London,2024.02.05 10:15:00,2024.02.13 16:50:39,0.01,12345,M15,EXECUTED,N/A
12,XAUUSD,SELL,2018.90,1988.90,2047.28,1988.90,150.35,0.25,0.00,-0.46,149.89,London_NewYork_Overlap,2024.02.12 16:00:00,2024.02.14 10:06:28,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,2010.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2024.02.16 17:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
16,XAUUSD,SELL,1988.19,2018.21,2018.19,1958.19,-149.80,0.25,0.00,-1.15,-150.95,London,2024.02.14 10:15:00,2024.02.19 02:26:29,0.01,12345,M15,EXECUTED,N/A
18,XAUUSD,BUY,2023.70,2053.72,2003.15,2053.70,149.40,0.25,0.00,-7.56,141.84,London,2024.02.20 11:30:00,2024.03.01 12:37:37,0.01,12345,M15,EXECUTED,N/A
20,XAUUSD,BUY,2091.56,2121.56,2069.37,2121.56,149.35,0.25,0.00,-0.63,148.72,London_NewYork_Overlap,2024.03.04 16:00:00,2024.03.05 10:31:30,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,2158.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2024.03.22 19:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
22,XAUUSD,BUY,2183.84,2213.87,2157.57,2213.84,150.25,0.25,0.00,-2.52,147.73,London,2024.03.26 11:15:00,2024.03.28 14:07:12,0.01,12345,M15,EXECUTED,N/A
24,XAUUSD,BUY,2344.55,2374.55,2314.55,2374.55,149.40,0.25,0.00,-3.15,146.25,Asia,2024.04.08 05:45:00,2024.04.11 22:58:40,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,2305.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2024.04.23 04:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
26,XAUUSD,BUY,2345.64,2316.11,2316.17,2375.64,-147.60,0.25,0.00,-1.26,-148.86,London,2024.04.26 10:45:00,2024.04.30 10:40:01,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,2305.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2024.05.08 11:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
28,XAUUSD,BUY,2402.91,2433.05,2372.91,2432.91,150.65,0.25,0.00,-0.63,150.02,London_NewYork_Overlap,2024.05.17 16:15:00,2024.05.20 04:00:39,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,2353.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2024.05.23 17:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,BUY,2361.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2024.05.28 16:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
31,XAUUSD,SELL,2315.50,2345.54,2345.50,2285.50,-149.75,0.25,0.00,0.00,-149.75,London,2024.06.03 08:45:00,2024.06.03 17:40:37,0.01,12345,M15,EXECUTED,N/A
30,XAUUSD,SELL,2333.66,2363.71,2363.66,2303.66,-150.35,0.25,0.00,-1.61,-151.96,Asia,2024.05.30 04:45:00,2024.06.06 04:14:40,0.01,12345,M15,EXECUTED,N/A
34,XAUUSD,BUY,2377.34,2347.33,2347.34,2407.34,-150.15,0.25,0.00,-0.63,-150.78,NewYork,2024.06.06 18:45:00,2024.06.07 11:39:02,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,2329.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2024.06.12 15:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
36,XAUUSD,SELL,2306.58,2336.58,2336.58,2276.58,-149.70,0.25,0.00,-0.23,-149.93,London_NewYork_Overlap,2024.06.13 14:45:00,2024.06.14 14:47:00,0.01,12345,M15,EXECUTED,N/A
38,XAUUSD,BUY,2349.26,2319.25,2319.26,2379.26,-151.45,0.25,0.00,-0.63,-152.08,NewYork,2024.06.20 17:00:00,2024.06.21 20:26:38,0.01,12345,M15,EXECUTED,N/A
40,XAUUSD,BUY,2342.75,2372.90,2312.75,2372.75,150.50,0.25,0.00,-2.52,147.98,London,2024.07.03 10:15:00,2024.07.05 15:32:29,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,2442.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2024.07.18 22:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,SELL,2392.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2024.07.22 17:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
42,XAUUSD,BUY,2412.94,2382.90,2382.94,2442.94,-151.80,0.25,0.00,-1.89,-153.69,Asia,2024.07.24 05:30:00,2024.07.25 04:38:31,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,2397.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2024.07.29 01:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
44,XAUUSD,BUY,2406.68,2436.70,2376.68,2436.68,148.60,0.25,0.00,-0.63,147.97,NewYork,2024.07.30 20:30:00,2024.07.31 22:18:37,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,2408.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2024.08.05 14:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
46,XAUUSD,BUY,2430.00,2460.01,2400.00,2460.00,148.45,0.25,0.00,-0.63,147.82,London_NewYork_Overlap,2024.08.09 13:45:00,2024.08.12 18:24:28,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,2492.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2024.08.22 16:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,SELL,2492.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2024.09.02 05:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
48,XAUUSD,BUY,2501.91,2531.93,2471.91,2531.91,148.65,0.25,0.00,-4.41,144.24,London,2024.09.05 09:00:00,2024.09.12 15:45:40,0.01,12345,M15,EXECUTED,N/A
49,XAUUSD,BUY,2510.35,2540.36,2480.35,2540.35,148.40,0.25,0.00,-2.52,145.88,London_NewYork_Overlap,2024.09.10 15:45:00,2024.09.12 16:09:41,0.01,12345,M15,EXECUTED,N/A
52,XAUUSD,BUY,2588.84,2558.82,2558.84,2618.84,-150.80,0.25,0.00,0.00,-150.80,NewYork,2024.09.18 21:15:00,2024.09.18 22:07:39,0.01,12345,M15,EXECUTED,N/A
54,XAUUSD,BUY,2627.89,2657.89,2597.89,2657.89,148.45,0.25,0.00,-0.63,147.82,Asia,2024.09.23 06:15:00,2024.09.24 22:14:57,0.01,12345,M15,EXECUTED,N/A
55,XAUUSD,BUY,2635.75,2665.76,2605.75,2665.75,148.50,0.25,0.00,-0.63,147.87,NoSession,2024.09.24 07:30:00,2024.09.25 05:51:30,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,2639.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2024.09.30 13:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
