Ticket,Symbol,Type,EntryStructure,CloseType,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,BodyRatio,BodyRatioMin,BodyRatioPassed,BodyRatioMode,InitialSL,InitialTP,FinalSL,FinalTP,InitialRiskPoints,InitialRewardPoints,FinalRiskPoints,FinalRewardPoints,TrailingModified,TrailingCount,TPExpanded,TPExpandCount,MaxFavorablePoints,MaxAdversePoints,CloseReason
2,XAUUSD,BUY,CHoCH,EXPERT_CLOSE,1908.91,1943.75,1886.38,1966.18,172.80,2.45,0.00,-0.63,172.17,Sydney_Tokyo_Overlap,NO,2021.01.04 01:15:00,2021.01.05 01:15:00,0.05,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1866.32,1966.18,1886.38,1966.18,4259,5727,2253,5727,YES,13,NO,0,3552,103,EXPERT_CLOSE
4,XAUUSD,BUY,BoS_1,EXPERT_CLOSE,1945.73,1955.84,1909.93,2004.10,50.05,0.95,0.00,-0.63,49.42,London,NO,2021.01.05 11:45:00,2021.01.06 11:45:00,0.05,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1909.93,2004.10,1909.93,2004.10,3580,5837,3580,5837,NO,0,NO,0,1084,669,EXPERT_CLOSE
0,XAUUSD,SELL,REJECTED,REJECTED,1930.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2021.01.06 14:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
6,XAUUSD,BUY,BoS_2,HIT_SL,1956.01,1921.85,1921.85,2014.69,-170.25,0.55,0.00,0.00,-170.25,London,NO,2021.01.06 11:45:00,2021.01.06 17:31:52,0.05,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1921.85,2014.69,1921.85,2014.69,3416,5868,3416,5868,NO,0,NO,0,328,3414,STOP_LOSS
0,XAUUSD,SELL,REJECTED,REJECTED,1912.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2021.01.07 12:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,1906.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,NO,2021.01.08 08:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
8,XAUUSD,SELL,CHoCH,EXPERT_CLOSE,1839.70,1859.40,1882.20,1784.51,-98.25,1.20,0.00,-0.23,-98.48,London_NewYork_Overlap,NO,2021.01.12 16:15:00,2021.01.13 16:15:00,0.05,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1882.20,1784.51,1882.20,1784.51,4250,5519,4250,5519,NO,0,NO,0,201,2334,EXPERT_CLOSE
10,XAUUSD,SELL,BoS_1,EXPERT_CLOSE,1834.94,1851.74,1881.29,1779.89,-83.50,1.20,0.00,-0.23,-83.73,Sydney_Tokyo_Overlap,NO,2021.01.14 05:15:00,2021.01.15 05:15:00,0.05,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1881.29,1779.89,1881.29,1779.89,4635,5505,4635,5505,NO,0,NO,0,0,2258,EXPERT_CLOSE
12,XAUUSD,SELL,CHoCH,EXPERT_CLOSE,1835.98,1828.44,1875.81,1780.90,38.10,0.50,0.00,-0.23,37.87,London_NewYork_Overlap,NO,2021.01.15 17:15:00,2021.01.18 01:05:00,0.05,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1875.81,1780.90,1875.81,1780.90,3983,5508,3983,5508,NO,0,NO,0,1254,37,EXPERT_CLOSE
14,XAUUSD,SELL,BoS_1,EXPERT_CLOSE,1817.80,1838.35,1865.39,1763.27,-122.70,2.16,0.00,-0.28,-122.98,Sydney_Tokyo_Overlap,NO,2021.01.18 01:45:00,2021.01.19 01:45:00,0.06,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1872.33,1763.27,1865.39,1763.27,5453,5453,4759,5453,YES,1,NO,0,746,2297,EXPERT_CLOSE
