Ticket,Symbol,Type,EntryStructure,CloseType,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,BodyRatio,BodyRatioMin,BodyRatioPassed,BodyRatioMode,InitialSL,InitialTP,FinalSL,FinalTP,InitialRiskPoints,InitialRewardPoints,FinalRiskPoints,FinalRewardPoints,TrailingModified,TrailingCount,TPExpanded,TPExpandCount,MaxFavorablePoints,MaxAdversePoints,CloseReason
138,XAUUSD,BUY,CHoCH,EXPERT_CLOSE,1515.22,1503.47,1495.28,1535.42,-180.30,9.75,0.00,-1.89,-182.19,London_NewYork_Overlap,YES,2019.10.03 17:15:00,2019.10.04 17:15:00,0.15,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1495.02,1535.42,1495.28,1535.42,2020,2020,1994,2020,YES,1,NO,0,175,1945,EXPERT_CLOSE
140,XAUUSD,SELL,BoS_1,HIT_SL,1491.60,1508.96,1508.95,1471.71,-260.85,8.70,0.00,-0.69,-261.54,NewYork,YES,2019.10.07 20:45:00,2019.10.08 16:40:19,0.15,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1511.49,1471.71,1508.95,1471.71,1989,1989,1735,1989,YES,5,NO,0,447,1734,STOP_LOSS
0,XAUUSD,SELL,REJECTED,REJECTED,1501.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2019.10.10 15:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
142,XAUUSD,BUY,BoS_1,HIT_SL,1510.68,1495.36,1495.40,1530.82,-234.90,8.40,0.00,-5.67,-240.57,NewYork,YES,2019.10.09 22:45:00,2019.10.10 16:50:40,0.15,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1493.09,1530.82,1495.40,1530.82,1759,2014,1528,2014,YES,2,NO,0,630,1523,STOP_LOSS
145,XAUUSD,SELL,BoS_2,EXPERT_CLOSE,1484.21,1487.23,1495.48,1464.42,-44.40,16.50,0.00,-0.69,-45.09,London,YES,2019.10.11 14:45:00,2019.10.14 01:05:00,0.15,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1504.00,1464.42,1495.48,1464.42,1979,1979,1127,1979,YES,5,NO,0,1004,439,EXPERT_CLOSE
144,XAUUSD,SELL,BoS_1,24H_FORCE,1490.97,1487.23,1495.57,1463.20,57.00,15.75,0.00,-0.69,56.31,Sydney_Tokyo_Overlap,YES,2019.10.11 04:00:00,2019.10.14 01:05:00,0.15,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1510.85,1471.09,1495.57,1463.20,1988,1988,460,2777,YES,6,YES,1,1680,1250,Batas Waktu Hold Tercapai (69 jam >= Max 24 jam)
0,XAUUSD,BUY,REJECTED,REJECTED,1487.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2019.10.16 15:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
148,XAUUSD,SELL,CHoCH,EXPERT_CLOSE,1488.36,1489.23,1498.62,1468.52,-12.45,9.00,0.00,-0.69,-13.14,London_NewYork_Overlap,YES,2019.10.15 16:15:00,2019.10.16 16:15:00,0.15,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1505.14,1468.52,1498.62,1468.52,1678,1984,1026,1984,YES,3,NO,0,1114,345,EXPERT_CLOSE
0,XAUUSD,BUY,REJECTED,REJECTED,1493.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,YES,2019.10.17 03:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,BUY,REJECTED,REJECTED,1494.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2019.10.17 18:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
