Ticket,Symbol,Type,EntryStructure,CloseType,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,BodyRatio,BodyRatioMin,BodyRatioPassed,BodyRatioMode,InitialSL,InitialTP,FinalSL,FinalTP,InitialRiskPoints,InitialRewardPoints,FinalRiskPoints,FinalRewardPoints,TrailingModified,TrailingCount,TPExpanded,TPExpandCount,MaxFavorablePoints,MaxAdversePoints,CloseReason
0,XAUUSD,BUY,REJECTED,REJECTED,1823.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Weekend,NO,2023.01.01 00:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
2,XAUUSD,BUY,BoS_1,EXPERT_CLOSE,1851.18,1853.27,1839.17,1875.86,24.60,1.80,0.00,-4.54,20.06,Tokyo_London_Overlap,NO,2023.01.04 09:15:00,2023.01.05 09:15:00,0.12,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1826.50,1875.86,1839.17,1875.86,2468,2468,1201,2468,YES,5,NO,0,1394,406,EXPERT_CLOSE
4,XAUUSD,BUY,CHoCH,EXPERT_CLOSE,1847.46,1867.72,1844.77,1880.70,243.12,1.68,0.00,-1.51,241.61,London_NewYork_Overlap,NO,2023.01.06 15:45:00,2023.01.09 01:02:00,0.12,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1825.07,1872.09,1844.77,1880.70,2239,2463,269,3324,YES,10,YES,1,2241,680,EXPERT_CLOSE
6,XAUUSD,BUY,BoS_1,EXPERT_CLOSE,1884.38,1884.37,1860.61,1909.51,-0.84,1.80,0.00,-4.54,-5.38,Sydney_Tokyo_Overlap,NO,2023.01.11 07:45:00,2023.01.12 07:45:00,0.12,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1859.34,1909.51,1860.61,1909.51,2504,2513,2377,2513,YES,1,NO,0,225,1723,EXPERT_CLOSE
0,XAUUSD,BUY,REJECTED,REJECTED,1902.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2023.01.13 10:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Max BOS Cycle Limit (2),0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
8,XAUUSD,BUY,BoS_2,EXPERT_CLOSE,1888.53,1896.35,1883.47,1924.41,93.48,1.44,0.00,-1.51,91.97,London_NewYork_Overlap,NO,2023.01.12 14:30:00,2023.01.13 14:30:00,0.12,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1863.35,1913.71,1883.47,1924.41,2518,2518,506,3588,YES,6,YES,1,2120,1323,EXPERT_CLOSE
0,XAUUSD,SELL,REJECTED,REJECTED,1902.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2023.01.18 05:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,1901.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2023.01.19 04:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
10,XAUUSD,BUY,CHoCH,24H_FORCE,1917.40,1908.08,1897.43,1942.97,-112.32,1.68,0.00,-4.54,-116.86,London_NewYork_Overlap,NO,2023.01.18 15:00:00,2023.01.19 15:00:00,0.12,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1891.83,1942.97,1897.43,1942.97,2557,2557,1997,2557,YES,4,NO,0,849,1642,Batas Waktu Hold Tercapai (24 jam >= Max 24 jam)
11,XAUUSD,BUY,CHoCH,EXPERT_CLOSE,1910.56,1925.52,1909.40,1945.47,178.08,1.92,0.00,-1.51,176.57,Sydney_Tokyo_Overlap,NO,2023.01.19 06:30:00,2023.01.20 06:30:00,0.12,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1892.49,1936.03,1909.40,1945.47,1807,2547,116,3491,YES,9,YES,1,2461,417,EXPERT_CLOSE
