Time,Open,High,Low,Close,Volume,Spread,EMA200
2021.01.04 00:00:00,1909.07,1918.71,1907.72,1916.61,13444,5,1867.54
2021.01.04 04:00:00,1916.60,1925.26,1915.49,1921.66,12524,5,1868.08
2021.01.04 08:00:00,1921.66,1935.16,1921.47,1932.21,16111,5,1868.72
2021.01.04 12:00:00,1932.11,1942.01,1927.88,1939.77,19624,5,1869.43
2021.01.04 16:00:00,1939.82,1944.43,1929.39,1937.08,36067,5,1870.10
2021.01.04 20:00:00,1937.10,1944.10,1936.27,1943.23,12515,5,1870.83
2021.01.05 00:00:00,1941.49,1945.58,1934.31,1937.44,9336,5,1871.49
2021.01.05 04:00:00,1937.47,1944.03,1936.70,1938.48,12193,5,1872.16
2021.01.05 08:00:00,1938.51,1948.27,1937.00,1945.61,16201,5,1872.89
2021.01.05 12:00:00,1945.61,1951.90,1943.52,1949.40,19685,5,1873.65
2021.01.05 16:00:00,1949.44,1952.53,1939.04,1950.09,29524,5,1874.41
2021.01.05 20:00:00,1950.12,1953.09,1947.70,1950.03,9059,5,1875.16
2021.01.06 00:00:00,1949.89,1955.34,1946.69,1947.99,13750,5,1875.89
2021.01.06 04:00:00,1948.22,1949.94,1941.41,1943.85,16004,5,1876.56
2021.01.06 08:00:00,1943.85,1957.92,1943.22,1957.75,18326,5,1877.37
2021.01.06 12:00:00,1957.73,1959.29,1925.30,1932.93,32151,5,1877.92
2021.01.06 16:00:00,1932.91,1938.12,1900.83,1907.50,41441,5,1878.22
2021.01.06 20:00:00,1907.46,1924.21,1906.04,1918.79,21839,5,1878.62
2021.01.07 00:00:00,1920.94,1924.65,1915.75,1918.10,12128,5,1879.01
2021.01.07 04:00:00,1918.10,1921.15,1914.70,1920.81,11686,5,1879.43
2021.01.07 08:00:00,1920.81,1927.64,1914.99,1915.82,18599,5,1879.79
2021.01.07 12:00:00,1915.82,1921.10,1908.73,1913.29,22782,5,1880.12
2021.01.07 16:00:00,1913.39,1919.79,1906.77,1911.11,29335,5,1880.43
2021.01.07 20:00:00,1911.21,1918.06,1910.40,1913.51,10786,5,1880.76
2021.01.08 00:00:00,1916.18,1917.48,1910.49,1910.94,9153,5,1881.06
2021.01.08 04:00:00,1910.94,1912.69,1906.50,1908.18,11785,5,1881.33
2021.01.08 08:00:00,1908.18,1911.65,1877.57,1891.82,24075,5,1881.44
2021.01.08 12:00:00,1891.74,1894.53,1876.30,1891.03,25341,5,1881.53
2021.01.08 16:00:00,1890.78,1892.75,1839.37,1844.04,55818,5,1881.16
2021.01.08 20:00:00,1843.96,1849.42,1828.27,1849.04,29390,5,1880.84
2021.01.11 00:00:00,1854.74,1855.59,1817.00,1828.80,16680,5,1880.32
2021.01.11 04:00:00,1828.80,1842.10,1826.45,1840.59,16794,5,1879.93
2021.01.11 08:00:00,1840.59,1855.33,1838.94,1848.58,23014,5,1879.61
2021.01.11 12:00:00,1848.47,1852.43,1831.92,1834.47,21057,5,1879.17
2021.01.11 16:00:00,1834.47,1850.74,1829.01,1848.70,31682,5,1878.86
2021.01.11 20:00:00,1848.70,1851.69,1843.55,1844.45,11418,5,1878.52
2021.01.12 00:00:00,1847.51,1848.52,1841.27,1845.91,9645,5,1878.20
2021.01.12 04:00:00,1845.94,1858.25,1845.20,1858.11,12183,5,1878.00
2021.01.12 08:00:00,1858.15,1863.41,1853.77,1862.73,17405,5,1877.84
2021.01.12 12:00:00,1862.78,1863.80,1842.76,1844.37,20939,5,1877.51
