=== Market Structure Events (Sorted by Time) ===,,,,,,
Type,Direction/Action,Price,Time,Timeframe,Status,PreviousPrice,PreviousTime
LL,Update,1796.12,2021.12.30 09:15:00,M15,Accepted,,
HH,Update,1831.82,2022.01.03 01:00:00,M15,Accepted,,
HH,Update,1829.60,2022.01.05 16:45:00,M15,Accepted,,
CHoCH,Bearish,1796.12,2022.01.06 10:45:00,M15,Confirmed,1829.60,1970.01.01 00:00:00
HH,Update,1829.60,2022.01.06 21:00:00,M15,Accepted,,
LL,Update,1786.50,2022.01.06 21:00:00,M15,Accepted,,
HH,Update,1793.28,2022.01.07 05:15:00,M15,Accepted,,
LL,Update,1782.64,2022.01.07 15:30:00,M15,Accepted,,
CHoCH,Bullish,1793.28,2022.01.07 16:00:00,M15,Confirmed,1782.64,1970.01.01 00:00:00
HH,Update,1798.63,2022.01.07 20:30:00,M15,Accepted,,
LL,Update,1791.35,2022.01.10 09:00:00,M15,Accepted,,
BoS,Bullish,1798.63,2022.01.10 12:00:00,M15,Confirmed,1791.35,1970.01.01 00:00:00
HH,Bullish,1802.32,2022.01.10 13:30:00,M15,Updated,1798.63,1970.01.01 00:00:00
HH,Update,1802.32,2022.01.10 13:30:00,M15,Accepted,,
LL,Update,1790.36,2022.01.10 16:15:00,M15,Accepted,,
BoS,Bullish,1802.32,2022.01.11 02:00:00,M15,Confirmed,1790.36,1970.01.01 00:00:00
HH,Bullish,1810.23,2022.01.11 11:15:00,M15,Updated,1802.32,1970.01.01 00:00:00
HH,Update,1810.23,2022.01.11 11:15:00,M15,Accepted,,
LL,Update,1801.79,2022.01.11 16:00:00,M15,Accepted,,
BoS,Bullish,1810.23,2022.01.11 17:45:00,M15,Confirmed,1801.79,1970.01.01 00:00:00
HH,Bullish,1823.25,2022.01.11 22:45:00,M15,Updated,1810.23,1970.01.01 00:00:00
HH,Update,1823.25,2022.01.11 22:45:00,M15,Accepted,,
LL,Update,1814.71,2022.01.12 10:45:00,M15,Accepted,,
BoS,Bullish,1823.25,2022.01.12 16:30:00,M15,Confirmed,1814.71,1970.01.01 00:00:00
HH,Bullish,1828.01,2022.01.12 22:00:00,M15,Updated,1823.25,1970.01.01 00:00:00
HH,Update,1828.01,2022.01.12 22:00:00,M15,Accepted,,
HH,Bullish,1828.14,2022.01.13 07:30:00,M15,Updated,1828.01,1970.01.01 00:00:00
HH,Update,1828.14,2022.01.13 07:30:00,M15,Accepted,,
HH,Bullish,1829.18,2022.01.14 10:15:00,M15,Updated,1828.14,1970.01.01 00:00:00
HH,Update,1829.18,2022.01.14 10:15:00,M15,Accepted,,
CHoCH,Bearish,1814.71,2022.01.17 03:00:00,M15,Confirmed,1829.18,1970.01.01 00:00:00
HH,Update,1829.18,2022.01.17 03:30:00,M15,Accepted,,
LL,Update,1813.20,2022.01.17 03:30:00,M15,Accepted,,
HH,Update,1823.17,2022.01.17 10:30:00,M15,Accepted,,
HH,Update,1822.78,2022.01.18 05:00:00,M15,Accepted,,
BoS,Bearish,1813.20,2022.01.18 10:45:00,M15,Confirmed,1823.17,1970.01.01 00:00:00
LL,Bearish,1805.79,2022.01.18 15:15:00,M15,Updated,1813.20,1970.01.01 00:00:00
LL,Update,1805.79,2022.01.18 15:15:00,M15,Accepted,,
HH,Update,1820.07,2022.01.18 18:00:00,M15,Accepted,,
LL,Update,1810.25,2022.01.19 05:15:00,M15,Accepted,,
CHoCH,Bullish,1820.07,2022.01.19 15:15:00,M15,Confirmed,1810.25,1970.01.01 00:00:00
HH,Update,1844.10,2022.01.20 03:30:00,M15,Accepted,,
LL,Update,1835.95,2022.01.20 14:15:00,M15,Accepted,,
BoS,Bullish,1844.10,2022.01.20 15:45:00,M15,Confirmed,1835.95,1970.01.01 00:00:00
HH,Bullish,1847.92,2022.01.20 17:00:00,M15,Updated,1844.10,1970.01.01 00:00:00
HH,Update,1847.92,2022.01.20 17:00:00,M15,Accepted,,
LL,Update,1836.29,2022.01.21 03:15:00,M15,Accepted,,
HH,Update,1842.76,2022.01.21 09:15:00,M15,Accepted,,
CHoCH,Bearish,1836.29,2022.01.21 10:15:00,M15,Confirmed,1842.76,1970.01.01 00:00:00
HH,Update,1842.76,2022.01.21 10:45:00,M15,Accepted,,
LL,Update,1828.39,2022.01.21 10:45:00,M15,Accepted,,
HH,Bullish,1843.24,2022.01.21 16:00:00,M15,Updated,1842.76,1970.01.01 00:00:00
HH,Update,1843.24,2022.01.21 16:00:00,M15,Accepted,,
HH,Bullish,1844.38,2022.01.24 11:00:00,M15,Updated,1843.24,1970.01.01 00:00:00
HH,Update,1844.38,2022.01.24 11:00:00,M15,Accepted,,
LL,Update,1834.94,2022.01.25 12:30:00,M15,Accepted,,
CHoCH,Bullish,1844.38,2022.01.25 16:45:00,M15,Confirmed,1834.94,1970.01.01 00:00:00
HH,Update,1853.90,2022.01.25 21:45:00,M15,Accepted,,
CHoCH,Bearish,1834.94,2022.01.26 16:30:00,M15,Confirmed,1853.90,1970.01.01 00:00:00
HH,Update,1853.90,2022.01.27 20:00:00,M15,Accepted,,
LL,Update,1791.84,2022.01.27 20:00:00,M15,Accepted,,
HH,Update,1799.42,2022.01.28 05:15:00,M15,Accepted,,
HH,Update,1799.42,2022.01.28 06:00:00,M15,Accepted,,
BoS,Bearish,1791.84,2022.01.28 11:00:00,M15,Confirmed,1853.90,1970.01.01 00:00:00
LL,Bearish,1780.30,2022.01.28 13:15:00,M15,Updated,1791.84,1970.01.01 00:00:00
LL,Update,1780.30,2022.01.28 13:15:00,M15,Accepted,,
HH,Update,1793.09,2022.01.28 17:00:00,M15,Accepted,,
LL,Update,1785.57,2022.01.31 06:15:00,M15,Accepted,,
CHoCH,Bullish,1793.09,2022.01.31 15:45:00,M15,Confirmed,1785.57,1970.01.01 00:00:00
HH,Update,1799.89,2022.01.31 21:00:00,M15,Accepted,,
LL,Update,1795.77,2022.02.01 05:45:00,M15,Accepted,,
BoS,Bullish,1799.89,2022.02.01 07:00:00,M15,Confirmed,1795.77,1970.01.01 00:00:00
HH,Bullish,1808.79,2022.02.01 15:00:00,M15,Updated,1799.89,1970.01.01 00:00:00
HH,Update,1808.79,2022.02.01 15:00:00,M15,Accepted,,
LL,Update,1797.79,2022.02.01 17:00:00,M15,Accepted,,
HH,Update,1807.87,2022.02.01 18:30:00,M15,Accepted,,
CHoCH,Bearish,1797.79,2022.02.02 05:45:00,M15,Confirmed,1807.87,1970.01.01 00:00:00
HH,Update,1807.87,2022.02.02 09:45:00,M15,Accepted,,
LL,Update,1794.51,2022.02.02 09:45:00,M15,Accepted,,
CHoCH,Bullish,1807.87,2022.02.02 17:45:00,M15,Confirmed,1794.51,1970.01.01 00:00:00
HH,Update,1810.77,2022.02.02 19:00:00,M15,Accepted,,
CHoCH,Bearish,1794.51,2022.02.03 16:45:00,M15,Confirmed,1810.77,1970.01.01 00:00:00
HH,Update,1810.77,2022.02.03 16:45:00,M15,Accepted,,
LL,Update,1788.66,2022.02.03 16:45:00,M15,Accepted,,
HH,Update,1807.70,2022.02.03 18:45:00,M15,Accepted,,
LL,Update,1803.21,2022.02.03 20:15:00,M15,Accepted,,
CHoCH,Bullish,1807.70,2022.02.04 10:15:00,M15,Confirmed,1803.21,1970.01.01 00:00:00
HH,Update,1814.88,2022.02.04 15:15:00,M15,Accepted,,
CHoCH,Bearish,1803.21,2022.02.04 15:30:00,M15,Confirmed,1814.88,1970.01.01 00:00:00
HH,Update,1814.88,2022.02.04 16:00:00,M15,Accepted,,
LL,Update,1792.14,2022.02.04 16:00:00,M15,Accepted,,
HH,Bullish,1815.30,2022.02.07 03:00:00,M15,Updated,1814.88,1970.01.01 00:00:00
HH,Update,1815.30,2022.02.07 03:00:00,M15,Accepted,,
LL,Update,1808.79,2022.02.07 03:30:00,M15,Accepted,,
CHoCH,Bullish,1815.30,2022.02.07 15:15:00,M15,Confirmed,1808.79,1970.01.01 00:00:00
HH,Update,1823.54,2022.02.07 21:30:00,M15,Accepted,,
LL,Update,1815.43,2022.02.08 09:30:00,M15,Accepted,,
BoS,Bullish,1823.54,2022.02.08 15:45:00,M15,Confirmed,1815.43,1970.01.01 00:00:00
HH,Bullish,1828.75,2022.02.08 21:00:00,M15,Updated,1823.54,1970.01.01 00:00:00
HH,Update,1828.75,2022.02.08 21:00:00,M15,Accepted,,
LL,Update,1825.06,2022.02.09 02:30:00,M15,Accepted,,
HH,Bullish,1829.26,2022.02.09 07:45:00,M15,Updated,1828.75,1970.01.01 00:00:00
HH,Update,1829.26,2022.02.09 07:45:00,M15,Accepted,,
LL,Update,1825.73,2022.02.09 13:45:00,M15,Accepted,,
BoS,Bullish,1829.26,2022.02.09 15:00:00,M15,Confirmed,1825.73,1970.01.01 00:00:00
HH,Bullish,1835.80,2022.02.09 20:30:00,M15,Updated,1829.26,1970.01.01 00:00:00
HH,Update,1835.80,2022.02.09 20:30:00,M15,Accepted,,
LL,Update,1831.27,2022.02.09 22:15:00,M15,Accepted,,
HH,Update,1836.02,2022.02.10 09:30:00,M15,Accepted,,
CHoCH,Bearish,1831.27,2022.02.10 10:30:00,M15,Confirmed,1836.02,1970.01.01 00:00:00
LL,Update,1821.68,2022.02.10 15:30:00,M15,Accepted,,
CHoCH,Bullish,1836.02,2022.02.10 17:30:00,M15,Confirmed,1821.68,1970.01.01 00:00:00
HH,Update,1841.92,2022.02.10 18:45:00,M15,Accepted,,
LL,Update,1820.92,2022.02.11 09:15:00,M15,Accepted,,
BoS,Bullish,1841.92,2022.02.11 20:30:00,M15,Confirmed,1820.92,1970.01.01 00:00:00
HH,Bullish,1865.45,2022.02.11 22:15:00,M15,Updated,1841.92,1970.01.01 00:00:00
HH,Update,1865.45,2022.02.11 22:15:00,M15,Accepted,,
LL,Update,1850.82,2022.02.14 09:00:00,M15,Accepted,,
BoS,Bullish,1865.45,2022.02.14 16:45:00,M15,Confirmed,1850.82,1970.01.01 00:00:00
HH,Bullish,1874.16,2022.02.14 21:00:00,M15,Updated,1865.45,1970.01.01 00:00:00
HH,Update,1874.16,2022.02.14 21:00:00,M15,Accepted,,
LL,Update,1867.58,2022.02.14 21:15:00,M15,Accepted,,
BoS,Bullish,1874.16,2022.02.15 04:30:00,M15,Confirmed,1867.58,1970.01.01 00:00:00
HH,Update,1879.51,2022.02.15 08:15:00,M15,Accepted,,
CHoCH,Bearish,1867.58,2022.02.15 10:30:00,M15,Confirmed,1879.51,1970.01.01 00:00:00
HH,Update,1879.51,2022.02.15 14:15:00,M15,Accepted,,
LL,Update,1844.49,2022.02.15 14:15:00,M15,Accepted,,
HH,Update,1872.57,2022.02.16 22:30:00,M15,Accepted,,
LL,Update,1867.39,2022.02.16 23:15:00,M15,Accepted,,
CHoCH,Bullish,1872.57,2022.02.17 05:45:00,M15,Confirmed,1867.39,1970.01.01 00:00:00
HH,Update,1902.51,2022.02.18 02:30:00,M15,Accepted,,
LL,Update,1888.22,2022.02.18 03:45:00,M15,Accepted,,
HH,Update,1895.86,2022.02.18 10:45:00,M15,Accepted,,
CHoCH,Bearish,1888.22,2022.02.18 12:30:00,M15,Confirmed,1895.86,1970.01.01 00:00:00
LL,Update,1886.58,2022.02.18 12:30:00,M15,Accepted,,
CHoCH,Bullish,1895.86,2022.02.18 15:15:00,M15,Confirmed,1886.58,1970.01.01 00:00:00
HH,Update,1899.96,2022.02.18 15:30:00,M15,Accepted,,
LL,Update,1890.38,2022.02.18 17:30:00,M15,Accepted,,
BoS,Bullish,1899.96,2022.02.21 01:00:00,M15,Confirmed,1890.38,1970.01.01 00:00:00
HH,Bullish,1908.26,2022.02.21 02:15:00,M15,Updated,1899.96,1970.01.01 00:00:00
HH,Update,1908.26,2022.02.21 02:15:00,M15,Accepted,,
CHoCH,Bearish,1890.38,2022.02.21 08:15:00,M15,Confirmed,1908.26,1970.01.01 00:00:00
HH,Update,1908.26,2022.02.21 09:15:00,M15,Accepted,,
