=== Market Structure Events (Sorted by Time) ===,,,,,,
LL,Update,1887.62,2022.02.21 09:15:00,M15,Accepted,,
HH,Update,1898.66,2022.02.21 13:30:00,M15,Accepted,,
LL,Update,1892.48,2022.02.21 16:15:00,M15,Accepted,,
CHoCH,Bullish,1898.66,2022.02.21 20:15:00,M15,Confirmed,1892.48,1970.01.01 00:00:00
HH,Update,1913.98,2022.02.22 01:00:00,M15,Accepted,,
LL,Update,1891.38,2022.02.22 13:45:00,M15,Accepted,,
LL,Update,1889.62,2022.02.23 11:30:00,M15,Accepted,,
BoS,Bullish,1913.98,2022.02.24 04:30:00,M15,Confirmed,1889.62,1970.01.01 00:00:00
HH,Bullish,1974.52,2022.02.24 12:45:00,M15,Updated,1913.98,1970.01.01 00:00:00
HH,Update,1974.52,2022.02.24 12:45:00,M15,Accepted,,
CHoCH,Bearish,1889.62,2022.02.24 21:15:00,M15,Confirmed,1974.52,1970.01.01 00:00:00
HH,Update,1974.52,2022.02.24 21:30:00,M15,Accepted,,
LL,Update,1878.00,2022.02.24 21:30:00,M15,Accepted,,
HH,Update,1926.69,2022.02.28 01:00:00,M15,Accepted,,
LL,Update,1890.86,2022.02.28 19:00:00,M15,Accepted,,
CHoCH,Bullish,1926.69,2022.03.01 18:15:00,M15,Confirmed,1890.86,1970.01.01 00:00:00
HH,Update,1950.17,2022.03.01 23:00:00,M15,Accepted,,
LL,Update,1930.97,2022.03.02 03:15:00,M15,Accepted,,
HH,Update,1947.87,2022.03.02 09:45:00,M15,Accepted,,
CHoCH,Bearish,1930.97,2022.03.02 12:15:00,M15,Confirmed,1947.87,1970.01.01 00:00:00
HH,Update,1947.87,2022.03.02 12:15:00,M15,Accepted,,
LL,Update,1913.42,2022.03.02 12:15:00,M15,Accepted,,
HH,Update,1938.75,2022.03.03 13:30:00,M15,Accepted,,
LL,Update,1923.29,2022.03.03 18:15:00,M15,Accepted,,
CHoCH,Bullish,1938.75,2022.03.03 22:30:00,M15,Confirmed,1923.29,1970.01.01 00:00:00
HH,Update,1950.93,2022.03.04 02:30:00,M15,Accepted,,
LL,Update,1929.56,2022.03.04 03:45:00,M15,Accepted,,
BoS,Bullish,1950.93,2022.03.04 16:30:00,M15,Confirmed,1929.56,1970.01.01 00:00:00
HH,Bullish,2000.93,2022.03.07 03:30:00,M15,Updated,1950.93,1970.01.01 00:00:00
HH,Update,2000.93,2022.03.07 03:30:00,M15,Accepted,,
LL,Update,1976.06,2022.03.07 08:00:00,M15,Accepted,,
BoS,Bullish,2000.93,2022.03.07 12:45:00,M15,Confirmed,1976.06,1970.01.01 00:00:00
HH,Update,2002.61,2022.03.07 12:45:00,M15,Accepted,,
CHoCH,Bearish,1976.06,2022.03.07 15:15:00,M15,Confirmed,2002.61,1970.01.01 00:00:00
HH,Update,2002.61,2022.03.07 15:30:00,M15,Accepted,,
LL,Update,1961.03,2022.03.07 15:30:00,M15,Accepted,,
HH,Update,2000.05,2022.03.08 02:00:00,M15,Accepted,,
LL,Update,1981.08,2022.03.08 03:15:00,M15,Accepted,,
CHoCH,Bullish,2000.05,2022.03.08 08:30:00,M15,Confirmed,1981.08,1970.01.01 00:00:00
HH,Update,2020.89,2022.03.08 09:30:00,M15,Accepted,,
LL,Update,1999.17,2022.03.08 10:30:00,M15,Accepted,,
BoS,Bullish,2020.89,2022.03.08 16:30:00,M15,Confirmed,1999.17,1970.01.01 00:00:00
HH,Bullish,2070.30,2022.03.08 18:45:00,M15,Updated,2020.89,1970.01.01 00:00:00
HH,Update,2070.30,2022.03.08 18:45:00,M15,Accepted,,
LL,Update,2021.07,2022.03.08 19:45:00,M15,Accepted,,
HH,Update,2059.24,2022.03.09 06:15:00,M15,Accepted,,
CHoCH,Bearish,2021.07,2022.03.09 11:45:00,M15,Confirmed,2059.24,1970.01.01 00:00:00
HH,Update,2059.24,2022.03.09 16:00:00,M15,Accepted,,
LL,Update,1976.04,2022.03.09 16:00:00,M15,Accepted,,
LL,Bearish,1970.26,2022.03.10 03:15:00,M15,Updated,1976.04,1970.01.01 00:00:00
BoS,Bearish,1976.04,2022.03.10 03:15:00,M15,Confirmed,2059.24,1970.01.01 00:00:00
LL,Update,1970.26,2022.03.10 03:15:00,M15,Accepted,,
HH,Update,2009.10,2022.03.10 14:30:00,M15,Accepted,,
BoS,Bearish,1970.26,2022.03.11 14:00:00,M15,Confirmed,2009.10,1970.01.01 00:00:00
LL,Bearish,1958.56,2022.03.11 15:45:00,M15,Updated,1970.26,1970.01.01 00:00:00
LL,Update,1958.56,2022.03.11 15:45:00,M15,Accepted,,
HH,Update,1989.99,2022.03.11 19:15:00,M15,Accepted,,
LL,Bearish,1949.70,2022.03.14 15:45:00,M15,Updated,1958.56,1970.01.01 00:00:00
LL,Update,1949.70,2022.03.14 15:45:00,M15,Accepted,,
BoS,Bearish,1958.56,2022.03.14 16:00:00,M15,Confirmed,1989.99,1970.01.01 00:00:00
HH,Update,1961.97,2022.03.14 19:15:00,M15,Accepted,,
BoS,Bearish,1949.70,2022.03.15 02:45:00,M15,Confirmed,1961.97,1970.01.01 00:00:00
LL,Bearish,1907.05,2022.03.15 16:30:00,M15,Updated,1949.70,1970.01.01 00:00:00
LL,Update,1907.05,2022.03.15 16:30:00,M15,Accepted,,
HH,Update,1930.95,2022.03.15 18:45:00,M15,Accepted,,
LL,Bearish,1895.01,2022.03.16 20:15:00,M15,Updated,1907.05,1970.01.01 00:00:00
BoS,Bearish,1907.05,2022.03.16 20:15:00,M15,Confirmed,1930.95,1970.01.01 00:00:00
LL,Update,1895.01,2022.03.16 20:15:00,M15,Accepted,,
CHoCH,Bullish,1930.95,2022.03.17 03:30:00,M15,Confirmed,1895.01,1970.01.01 00:00:00
HH,Update,1949.74,2022.03.17 17:00:00,M15,Accepted,,
LL,Update,1926.89,2022.03.18 05:30:00,M15,Accepted,,
HH,Update,1940.91,2022.03.18 14:45:00,M15,Accepted,,
CHoCH,Bearish,1926.89,2022.03.18 20:45:00,M15,Confirmed,1940.91,1970.01.01 00:00:00
HH,Update,1940.91,2022.03.18 21:45:00,M15,Accepted,,
LL,Update,1917.97,2022.03.18 21:45:00,M15,Accepted,,
LL,Update,1917.69,2022.03.21 15:15:00,M15,Accepted,,
HH,Bullish,1941.02,2022.03.21 20:45:00,M15,Updated,1940.91,1970.01.01 00:00:00
HH,Update,1941.02,2022.03.21 20:45:00,M15,Accepted,,
LL,Bearish,1910.67,2022.03.22 16:00:00,M15,Updated,1917.69,1970.01.01 00:00:00
BoS,Bearish,1917.69,2022.03.22 16:00:00,M15,Confirmed,1941.02,1970.01.01 00:00:00
LL,Update,1910.67,2022.03.22 16:00:00,M15,Accepted,,
HH,Update,1924.84,2022.03.22 20:30:00,M15,Accepted,,
LL,Update,1915.51,2022.03.23 02:45:00,M15,Accepted,,
CHoCH,Bullish,1924.84,2022.03.23 10:45:00,M15,Confirmed,1915.51,1970.01.01 00:00:00
HH,Update,1948.66,2022.03.24 02:30:00,M15,Accepted,,
LL,Update,1937.54,2022.03.24 08:00:00,M15,Accepted,,
BoS,Bullish,1948.66,2022.03.24 13:30:00,M15,Confirmed,1937.54,1970.01.01 00:00:00
HH,Bullish,1966.20,2022.03.24 18:15:00,M15,Updated,1948.66,1970.01.01 00:00:00
HH,Update,1966.20,2022.03.24 18:15:00,M15,Accepted,,
LL,Update,1956.16,2022.03.24 22:45:00,M15,Accepted,,
HH,Update,1964.37,2022.03.25 04:15:00,M15,Accepted,,
CHoCH,Bearish,1956.16,2022.03.25 09:00:00,M15,Confirmed,1964.37,1970.01.01 00:00:00
HH,Update,1964.37,2022.03.25 15:30:00,M15,Accepted,,
LL,Update,1943.20,2022.03.25 15:30:00,M15,Accepted,,
HH,Update,1961.92,2022.03.25 17:30:00,M15,Accepted,,
HH,Update,1958.52,2022.03.28 03:00:00,M15,Accepted,,
BoS,Bearish,1943.20,2022.03.28 07:30:00,M15,Confirmed,1961.92,1970.01.01 00:00:00
LL,Bearish,1925.32,2022.03.28 12:00:00,M15,Updated,1943.20,1970.01.01 00:00:00
LL,Update,1925.32,2022.03.28 12:00:00,M15,Accepted,,
HH,Update,1945.58,2022.03.28 15:15:00,M15,Accepted,,
BoS,Bearish,1925.32,2022.03.28 22:15:00,M15,Confirmed,1945.58,1970.01.01 00:00:00
LL,Bearish,1917.02,2022.03.28 22:45:00,M15,Updated,1925.32,1970.01.01 00:00:00
LL,Update,1917.02,2022.03.28 22:45:00,M15,Accepted,,
HH,Update,1929.36,2022.03.29 04:45:00,M15,Accepted,,
BoS,Bearish,1917.02,2022.03.29 11:30:00,M15,Confirmed,1929.36,1970.01.01 00:00:00
LL,Bearish,1890.02,2022.03.29 15:30:00,M15,Updated,1917.02,1970.01.01 00:00:00
LL,Update,1890.02,2022.03.29 15:30:00,M15,Accepted,,
CHoCH,Bullish,1929.36,2022.03.30 16:30:00,M15,Confirmed,1890.02,1970.01.01 00:00:00
HH,Update,1938.45,2022.03.30 18:00:00,M15,Accepted,,
LL,Update,1919.10,2022.03.31 08:30:00,M15,Accepted,,
BoS,Bullish,1938.45,2022.03.31 16:30:00,M15,Confirmed,1919.10,1970.01.01 00:00:00
HH,Bullish,1949.76,2022.03.31 20:15:00,M15,Updated,1938.45,1970.01.01 00:00:00
HH,Update,1949.76,2022.03.31 20:15:00,M15,Accepted,,
LL,Update,1932.53,2022.04.01 03:15:00,M15,Accepted,,
HH,Update,1939.60,2022.04.01 07:15:00,M15,Accepted,,
CHoCH,Bearish,1932.53,2022.04.01 09:45:00,M15,Confirmed,1939.60,1970.01.01 00:00:00
HH,Update,1939.60,2022.04.01 20:30:00,M15,Accepted,,
LL,Update,1918.06,2022.04.01 20:30:00,M15,Accepted,,
LL,Bearish,1915.50,2022.04.04 07:15:00,M15,Updated,1918.06,1970.01.01 00:00:00
BoS,Bearish,1918.06,2022.04.04 07:15:00,M15,Confirmed,1939.60,1970.01.01 00:00:00
LL,Update,1915.50,2022.04.04 07:15:00,M15,Accepted,,
HH,Update,1936.82,2022.04.04 16:30:00,M15,Accepted,,
LL,Update,1924.20,2022.04.05 15:00:00,M15,Accepted,,
CHoCH,Bullish,1936.82,2022.04.05 16:15:00,M15,Confirmed,1924.20,1970.01.01 00:00:00
HH,Update,1944.58,2022.04.05 17:00:00,M15,Accepted,,
CHoCH,Bearish,1924.20,2022.04.05 18:45:00,M15,Confirmed,1944.58,1970.01.01 00:00:00
HH,Update,1944.58,2022.04.05 19:00:00,M15,Accepted,,
LL,Update,1917.97,2022.04.05 19:00:00,M15,Accepted,,
LL,Bearish,1915.15,2022.04.06 10:00:00,M15,Updated,1917.97,1970.01.01 00:00:00
BoS,Bearish,1917.97,2022.04.06 10:00:00,M15,Confirmed,1944.58,1970.01.01 00:00:00
LL,Update,1915.15,2022.04.06 10:00:00,M15,Accepted,,
HH,Update,1933.41,2022.04.06 12:15:00,M15,Accepted,,
LL,Update,1915.57,2022.04.06 21:15:00,M15,Accepted,,
CHoCH,Bullish,1933.41,2022.04.07 17:30:00,M15,Confirmed,1915.57,1970.01.01 00:00:00
HH,Update,1937.72,2022.04.07 17:45:00,M15,Accepted,,
LL,Update,1927.67,2022.04.08 08:00:00,M15,Accepted,,
BoS,Bullish,1937.72,2022.04.08 16:30:00,M15,Confirmed,1927.67,1970.01.01 00:00:00
HH,Bullish,1948.13,2022.04.08 17:30:00,M15,Updated,1937.72,1970.01.01 00:00:00
HH,Update,1948.13,2022.04.08 17:30:00,M15,Accepted,,
LL,Update,1939.10,2022.04.08 20:00:00,M15,Accepted,,
BoS,Bullish,1948.13,2022.04.11 01:00:00,M15,Confirmed,1939.10,1970.01.01 00:00:00
HH,Bullish,1950.02,2022.04.11 01:00:00,M15,Updated,1948.13,1970.01.01 00:00:00
HH,Update,1950.02,2022.04.11 01:00:00,M15,Accepted,,
LL,Update,1940.00,2022.04.11 08:30:00,M15,Accepted,,
BoS,Bullish,1950.02,2022.04.11 11:15:00,M15,Confirmed,1940.00,1970.01.01 00:00:00
HH,Bullish,1969.78,2022.04.11 15:30:00,M15,Updated,1950.02,1970.01.01 00:00:00
HH,Update,1969.78,2022.04.11 15:30:00,M15,Accepted,,
LL,Update,1940.84,2022.04.11 19:45:00,M15,Accepted,,
BoS,Bullish,1969.78,2022.04.12 15:45:00,M15,Confirmed,1940.84,1970.01.01 00:00:00
HH,Bullish,1978.68,2022.04.12 17:45:00,M15,Updated,1969.78,1970.01.01 00:00:00
HH,Update,1978.68,2022.04.12 17:45:00,M15,Accepted,,
LL,Update,1962.81,2022.04.13 03:45:00,M15,Accepted,,
BoS,Bullish,1978.68,2022.04.13 13:15:00,M15,Confirmed,1962.81,1970.01.01 00:00:00
HH,Bullish,1981.59,2022.04.13 19:00:00,M15,Updated,1978.68,1970.01.01 00:00:00
HH,Update,1981.59,2022.04.13 19:00:00,M15,Accepted,,
CHoCH,Bearish,1962.81,2022.04.14 16:45:00,M15,Confirmed,1981.59,1970.01.01 00:00:00
HH,Update,1981.59,2022.04.14 16:45:00,M15,Accepted,,
LL,Update,1960.38,2022.04.14 16:45:00,M15,Accepted,,
CHoCH,Bullish,1981.59,2022.04.18 02:30:00,M15,Confirmed,1960.38,1970.01.01 00:00:00
HH,Update,1998.43,2022.04.18 15:30:00,M15,Accepted,,
LL,Update,1972.81,2022.04.19 08:30:00,M15,Accepted,,
HH,Update,1982.00,2022.04.19 15:15:00,M15,Accepted,,
CHoCH,Bearish,1972.81,2022.04.19 15:30:00,M15,Confirmed,1982.00,1970.01.01 00:00:00
HH,Update,1982.00,2022.04.20 09:30:00,M15,Accepted,,
LL,Update,1939.32,2022.04.20 09:30:00,M15,Accepted,,
HH,Update,1955.16,2022.04.20 14:45:00,M15,Accepted,,
LL,Update,1943.98,2022.04.20 16:30:00,M15,Accepted,,
CHoCH,Bullish,1955.16,2022.04.20 22:30:00,M15,Confirmed,1943.98,1970.01.01 00:00:00
HH,Update,1958.33,2022.04.20 23:45:00,M15,Accepted,,
CHoCH,Bearish,1943.98,2022.04.21 12:00:00,M15,Confirmed,1958.33,1970.01.01 00:00:00
HH,Update,1958.33,2022.04.21 14:45:00,M15,Accepted,,
LL,Update,1936.84,2022.04.21 14:45:00,M15,Accepted,,
HH,Update,1953.92,2022.04.21 22:30:00,M15,Accepted,,
HH,Bullish,1955.63,2022.04.22 09:00:00,M15,Updated,1953.92,1970.01.01 00:00:00
HH,Update,1955.63,2022.04.22 09:00:00,M15,Accepted,,
BoS,Bearish,1936.84,2022.04.22 13:15:00,M15,Confirmed,1953.92,1970.01.01 00:00:00
LL,Bearish,1926.68,2022.04.22 18:00:00,M15,Updated,1936.84,1970.01.01 00:00:00
LL,Update,1926.68,2022.04.22 18:00:00,M15,Accepted,,
HH,Update,1940.86,2022.04.22 19:00:00,M15,Accepted,,
BoS,Bearish,1926.68,2022.04.25 04:45:00,M15,Confirmed,1940.86,1970.01.01 00:00:00
LL,Bearish,1891.43,2022.04.25 15:45:00,M15,Updated,1926.68,1970.01.01 00:00:00
LL,Update,1891.43,2022.04.25 15:45:00,M15,Accepted,,
HH,Update,1904.14,2022.04.25 16:15:00,M15,Accepted,,
LL,Update,1891.99,2022.04.25 17:15:00,M15,Accepted,,
CHoCH,Bullish,1904.14,2022.04.26 06:00:00,M15,Confirmed,1891.99,1970.01.01 00:00:00
HH,Update,1911.27,2022.04.26 16:30:00,M15,Accepted,,
LL,Update,1896.61,2022.04.26 21:30:00,M15,Accepted,,
HH,Update,1907.03,2022.04.27 02:45:00,M15,Accepted,,
CHoCH,Bearish,1896.61,2022.04.27 11:00:00,M15,Confirmed,1907.03,1970.01.01 00:00:00
HH,Update,1907.03,2022.04.27 18:30:00,M15,Accepted,,
LL,Update,1881.42,2022.04.27 18:30:00,M15,Accepted,,
