=== Market Structure Events (Sorted by Time) ===,,,,,,
Type,Direction/Action,Price,Time,Timeframe,Status,PreviousPrice,PreviousTime
HH,Update,1515.73,2019.12.30 05:15:00,M15,Accepted,,
LL,Update,1510.70,2019.12.30 13:30:00,M15,Accepted,,
HH,Bullish,1516.07,2019.12.30 18:45:00,M15,Updated,1515.73,1970.01.01 00:00:00
HH,Update,1516.07,2019.12.30 18:45:00,M15,Accepted,,
HH,Bullish,1525.23,2019.12.31 09:00:00,M15,Updated,1516.07,1970.01.01 00:00:00
HH,Update,1525.23,2019.12.31 09:00:00,M15,Accepted,,
LL,Update,1518.38,2020.01.02 10:00:00,M15,Accepted,,
CHoCH,Bullish,1525.23,2020.01.02 15:45:00,M15,Confirmed,1518.38,1970.01.01 00:00:00
HH,Update,1531.32,2020.01.02 17:30:00,M15,Accepted,,
LL,Update,1522.75,2020.01.02 19:15:00,M15,Accepted,,
BoS,Bullish,1531.32,2020.01.03 03:30:00,M15,Confirmed,1522.75,1970.01.01 00:00:00
HH,Bullish,1551.46,2020.01.03 13:45:00,M15,Updated,1531.32,1970.01.01 00:00:00
HH,Update,1551.46,2020.01.03 13:45:00,M15,Accepted,,
LL,Update,1540.86,2020.01.03 15:15:00,M15,Accepted,,
HH,Bullish,1582.09,2020.01.06 01:00:00,M15,Updated,1551.46,1970.01.01 00:00:00
BoS,Bullish,1551.46,2020.01.06 01:00:00,M15,Confirmed,1540.86,1970.01.01 00:00:00
HH,Update,1582.09,2020.01.06 01:00:00,M15,Accepted,,
LL,Update,1566.91,2020.01.06 01:45:00,M15,Accepted,,
HH,Update,1579.31,2020.01.06 13:45:00,M15,Accepted,,
CHoCH,Bearish,1566.91,2020.01.06 17:15:00,M15,Confirmed,1579.31,1970.01.01 00:00:00
HH,Update,1579.31,2020.01.06 18:30:00,M15,Accepted,,
LL,Update,1560.70,2020.01.06 18:30:00,M15,Accepted,,
BoS,Bearish,1560.70,2020.01.07 03:45:00,M15,Confirmed,1579.31,1970.01.01 00:00:00
LL,Bearish,1555.23,2020.01.07 04:00:00,M15,Updated,1560.70,1970.01.01 00:00:00
LL,Update,1555.23,2020.01.07 04:00:00,M15,Accepted,,
HH,Update,1570.71,2020.01.07 09:45:00,M15,Accepted,,
LL,Update,1563.21,2020.01.07 11:30:00,M15,Accepted,,
CHoCH,Bullish,1570.71,2020.01.07 19:00:00,M15,Confirmed,1563.21,1970.01.01 00:00:00
HH,Update,1611.35,2020.01.08 02:15:00,M15,Accepted,,
CHoCH,Bearish,1563.21,2020.01.08 18:30:00,M15,Confirmed,1611.35,1970.01.01 00:00:00
HH,Update,1611.35,2020.01.08 21:45:00,M15,Accepted,,
LL,Update,1552.22,2020.01.08 21:45:00,M15,Accepted,,
BoS,Bearish,1552.22,2020.01.09 08:15:00,M15,Confirmed,1611.35,1970.01.01 00:00:00
LL,Bearish,1540.20,2020.01.09 08:30:00,M15,Updated,1552.22,1970.01.01 00:00:00
LL,Update,1540.20,2020.01.09 08:30:00,M15,Accepted,,
HH,Update,1556.53,2020.01.09 14:45:00,M15,Accepted,,
LL,Update,1544.69,2020.01.09 17:45:00,M15,Accepted,,
CHoCH,Bullish,1556.53,2020.01.10 17:45:00,M15,Confirmed,1544.69,1970.01.01 00:00:00
HH,Update,1563.13,2020.01.10 23:30:00,M15,Accepted,,
LL,Update,1546.51,2020.01.13 11:00:00,M15,Accepted,,
HH,Update,1556.09,2020.01.13 15:45:00,M15,Accepted,,
CHoCH,Bearish,1546.51,2020.01.14 01:45:00,M15,Confirmed,1556.09,1970.01.01 00:00:00
HH,Update,1556.09,2020.01.14 03:15:00,M15,Accepted,,
LL,Update,1535.96,2020.01.14 03:15:00,M15,Accepted,,
HH,Bullish,1558.17,2020.01.15 21:30:00,M15,Updated,1556.09,1970.01.01 00:00:00
HH,Update,1558.17,2020.01.15 21:30:00,M15,Accepted,,
CHoCH,Bullish,1556.09,2020.01.16 02:00:00,M15,Confirmed,1535.96,1970.01.01 00:00:00
HH,Update,1557.49,2020.01.16 14:15:00,M15,Accepted,,
LL,Update,1547.98,2020.01.16 17:45:00,M15,Accepted,,
BoS,Bullish,1557.49,2020.01.17 14:15:00,M15,Confirmed,1547.98,1970.01.01 00:00:00
HH,Bullish,1561.21,2020.01.17 21:15:00,M15,Updated,1557.49,1970.01.01 00:00:00
HH,Update,1561.21,2020.01.17 21:15:00,M15,Accepted,,
LL,Update,1556.23,2020.01.17 22:45:00,M15,Accepted,,
BoS,Bullish,1561.21,2020.01.20 07:45:00,M15,Confirmed,1556.23,1970.01.01 00:00:00
HH,Bullish,1562.76,2020.01.20 08:00:00,M15,Updated,1561.21,1970.01.01 00:00:00
HH,Update,1562.76,2020.01.20 08:00:00,M15,Accepted,,
LL,Update,1558.24,2020.01.20 15:00:00,M15,Accepted,,
BoS,Bullish,1562.76,2020.01.21 03:15:00,M15,Confirmed,1558.24,1970.01.01 00:00:00
HH,Bullish,1568.59,2020.01.21 04:30:00,M15,Updated,1562.76,1970.01.01 00:00:00
HH,Update,1568.59,2020.01.21 04:30:00,M15,Accepted,,
CHoCH,Bearish,1558.24,2020.01.21 10:30:00,M15,Confirmed,1568.59,1970.01.01 00:00:00
HH,Update,1568.59,2020.01.21 16:30:00,M15,Accepted,,
LL,Update,1546.30,2020.01.21 16:30:00,M15,Accepted,,
HH,Update,1559.96,2020.01.21 20:30:00,M15,Accepted,,
LL,Update,1554.57,2020.01.22 15:30:00,M15,Accepted,,
CHoCH,Bullish,1559.96,2020.01.23 01:15:00,M15,Confirmed,1554.57,1970.01.01 00:00:00
HH,Update,1563.71,2020.01.23 01:30:00,M15,Accepted,,
CHoCH,Bearish,1554.57,2020.01.23 09:45:00,M15,Confirmed,1563.71,1970.01.01 00:00:00
LL,Update,1551.85,2020.01.23 14:00:00,M15,Accepted,,
CHoCH,Bullish,1563.71,2020.01.23 18:15:00,M15,Confirmed,1551.85,1970.01.01 00:00:00
HH,Update,1567.91,2020.01.23 20:00:00,M15,Accepted,,
LL,Update,1556.49,2020.01.24 15:15:00,M15,Accepted,,
BoS,Bullish,1567.91,2020.01.24 17:15:00,M15,Confirmed,1556.49,1970.01.01 00:00:00
HH,Bullish,1588.28,2020.01.27 01:00:00,M15,Updated,1567.91,1970.01.01 00:00:00
HH,Update,1588.28,2020.01.27 01:00:00,M15,Accepted,,
