=== Market Structure Events (Sorted by Time) ===,,,,,,
CHoCH,Bullish,1850.61,2021.01.28 15:45:00,M15,Confirmed,1834.00,1970.01.01 00:00:00
HH,Update,1864.00,2021.01.28 17:15:00,M15,Accepted,,
LL,Update,1835.03,2021.01.28 20:00:00,M15,Accepted,,
BoS,Bullish,1864.00,2021.01.29 14:00:00,M15,Confirmed,1835.03,1970.01.01 00:00:00
HH,Bullish,1875.69,2021.01.29 16:15:00,M15,Updated,1864.00,1970.01.01 00:00:00
HH,Update,1875.69,2021.01.29 16:15:00,M15,Accepted,,
LL,Update,1841.52,2021.01.29 23:00:00,M15,Accepted,,
HH,Update,1869.52,2021.02.01 14:15:00,M15,Accepted,,
CHoCH,Bearish,1841.52,2021.02.02 15:15:00,M15,Confirmed,1869.52,1970.01.01 00:00:00
HH,Update,1869.52,2021.02.02 16:45:00,M15,Accepted,,
LL,Update,1829.53,2021.02.02 16:45:00,M15,Accepted,,
HH,Update,1844.98,2021.02.03 04:30:00,M15,Accepted,,
BoS,Bearish,1829.53,2021.02.04 03:45:00,M15,Confirmed,1844.98,1970.01.01 00:00:00
LL,Bearish,1784.90,2021.02.04 17:00:00,M15,Updated,1829.53,1970.01.01 00:00:00
LL,Update,1784.90,2021.02.04 17:00:00,M15,Accepted,,
HH,Update,1811.24,2021.02.05 10:30:00,M15,Accepted,,
LL,Update,1793.47,2021.02.05 15:15:00,M15,Accepted,,
CHoCH,Bullish,1811.24,2021.02.05 18:45:00,M15,Confirmed,1793.47,1970.01.01 00:00:00
HH,Update,1818.87,2021.02.08 02:00:00,M15,Accepted,,
LL,Update,1808.38,2021.02.08 04:30:00,M15,Accepted,,
LL,Update,1807.77,2021.02.08 10:45:00,M15,Accepted,,
BoS,Bullish,1818.87,2021.02.08 13:30:00,M15,Confirmed,1807.77,1970.01.01 00:00:00
HH,Bullish,1839.19,2021.02.08 17:45:00,M15,Updated,1818.87,1970.01.01 00:00:00
HH,Update,1839.19,2021.02.08 17:45:00,M15,Accepted,,
LL,Update,1828.83,2021.02.09 01:30:00,M15,Accepted,,
BoS,Bullish,1839.19,2021.02.09 04:15:00,M15,Confirmed,1828.83,1970.01.01 00:00:00
HH,Bullish,1848.56,2021.02.09 11:45:00,M15,Updated,1839.19,1970.01.01 00:00:00
HH,Update,1848.56,2021.02.09 11:45:00,M15,Accepted,,
LL,Update,1832.19,2021.02.09 16:30:00,M15,Accepted,,
HH,Bullish,1855.31,2021.02.10 15:30:00,M15,Updated,1848.56,1970.01.01 00:00:00
BoS,Bullish,1848.56,2021.02.10 15:30:00,M15,Confirmed,1832.19,1970.01.01 00:00:00
HH,Update,1855.31,2021.02.10 15:30:00,M15,Accepted,,
LL,Update,1834.92,2021.02.10 18:15:00,M15,Accepted,,
HH,Update,1847.54,2021.02.11 15:15:00,M15,Accepted,,
CHoCH,Bearish,1834.92,2021.02.11 18:45:00,M15,Confirmed,1847.54,1970.01.01 00:00:00
HH,Update,1847.54,2021.02.12 15:30:00,M15,Accepted,,
LL,Update,1810.52,2021.02.12 15:30:00,M15,Accepted,,
HH,Update,1830.68,2021.02.12 17:45:00,M15,Accepted,,
BoS,Bearish,1810.52,2021.02.16 14:45:00,M15,Confirmed,1830.68,1970.01.01 00:00:00
LL,Bearish,1789.48,2021.02.16 16:30:00,M15,Updated,1810.52,1970.01.01 00:00:00
LL,Update,1789.48,2021.02.16 16:30:00,M15,Accepted,,
HH,Update,1814.33,2021.02.16 17:30:00,M15,Accepted,,
BoS,Bearish,1789.48,2021.02.17 01:00:00,M15,Confirmed,1814.33,1970.01.01 00:00:00
LL,Bearish,1786.64,2021.02.17 02:30:00,M15,Updated,1789.48,1970.01.01 00:00:00
LL,Update,1786.64,2021.02.17 02:30:00,M15,Accepted,,
HH,Update,1795.15,2021.02.17 05:00:00,M15,Accepted,,
BoS,Bearish,1786.64,2021.02.17 11:30:00,M15,Confirmed,1795.15,1970.01.01 00:00:00
LL,Bearish,1769.47,2021.02.17 18:15:00,M15,Updated,1786.64,1970.01.01 00:00:00
LL,Update,1769.47,2021.02.17 18:15:00,M15,Accepted,,
HH,Update,1780.19,2021.02.17 19:30:00,M15,Accepted,,
LL,Update,1771.13,2021.02.17 21:45:00,M15,Accepted,,
CHoCH,Bullish,1780.19,2021.02.18 02:45:00,M15,Confirmed,1771.13,1970.01.01 00:00:00
HH,Update,1789.62,2021.02.18 15:00:00,M15,Accepted,,
LL,Update,1768.42,2021.02.18 17:15:00,M15,Accepted,,
HH,Update,1780.10,2021.02.18 18:00:00,M15,Accepted,,
CHoCH,Bearish,1768.42,2021.02.19 02:30:00,M15,Confirmed,1780.10,1970.01.01 00:00:00
HH,Update,1780.10,2021.02.19 03:15:00,M15,Accepted,,
LL,Update,1760.64,2021.02.19 03:15:00,M15,Accepted,,
HH,Update,1777.63,2021.02.19 08:15:00,M15,Accepted,,
LL,Update,1767.87,2021.02.19 13:45:00,M15,Accepted,,
CHoCH,Bullish,1777.63,2021.02.19 15:45:00,M15,Confirmed,1767.87,1970.01.01 00:00:00
HH,Update,1791.63,2021.02.19 16:45:00,M15,Accepted,,
LL,Update,1777.36,2021.02.19 20:30:00,M15,Accepted,,
LL,Update,1780.68,2021.02.22 05:45:00,M15,Accepted,,
BoS,Bullish,1791.63,2021.02.22 08:00:00,M15,Confirmed,1777.36,1970.01.01 00:00:00
HH,Bullish,1812.69,2021.02.22 19:00:00,M15,Updated,1791.63,1970.01.01 00:00:00
HH,Update,1812.69,2021.02.22 19:00:00,M15,Accepted,,
LL,Update,1806.23,2021.02.22 22:00:00,M15,Accepted,,
BoS,Bullish,1812.69,2021.02.23 03:30:00,M15,Confirmed,1806.23,1970.01.01 00:00:00
HH,Bullish,1816.01,2021.02.23 05:00:00,M15,Updated,1812.69,1970.01.01 00:00:00
HH,Update,1816.01,2021.02.23 05:00:00,M15,Accepted,,
CHoCH,Bearish,1806.23,2021.02.23 11:45:00,M15,Confirmed,1816.01,1970.01.01 00:00:00
HH,Update,1816.01,2021.02.23 16:45:00,M15,Accepted,,
LL,Update,1795.60,2021.02.23 16:45:00,M15,Accepted,,
HH,Update,1813.94,2021.02.24 04:30:00,M15,Accepted,,
HH,Update,1810.20,2021.02.24 14:15:00,M15,Accepted,,
BoS,Bearish,1795.60,2021.02.24 15:45:00,M15,Confirmed,1813.94,1970.01.01 00:00:00
LL,Bearish,1783.63,2021.02.24 16:45:00,M15,Updated,1795.60,1970.01.01 00:00:00
LL,Update,1783.63,2021.02.24 16:45:00,M15,Accepted,,
HH,Update,1805.35,2021.02.24 23:45:00,M15,Accepted,,
BoS,Bearish,1783.63,2021.02.25 15:30:00,M15,Confirmed,1805.35,1970.01.01 00:00:00
LL,Bearish,1755.32,2021.02.26 09:30:00,M15,Updated,1783.63,1970.01.01 00:00:00
LL,Update,1755.32,2021.02.26 09:30:00,M15,Accepted,,
HH,Update,1770.13,2021.02.26 11:00:00,M15,Accepted,,
BoS,Bearish,1755.32,2021.02.26 16:45:00,M15,Confirmed,1805.35,1970.01.01 00:00:00
LL,Bearish,1717.18,2021.02.26 18:45:00,M15,Updated,1755.32,1970.01.01 00:00:00
LL,Update,1717.18,2021.02.26 18:45:00,M15,Accepted,,
HH,Update,1759.89,2021.03.01 09:30:00,M15,Accepted,,
BoS,Bearish,1717.18,2021.03.02 03:30:00,M15,Confirmed,1759.89,1970.01.01 00:00:00
LL,Bearish,1707.20,2021.03.02 05:15:00,M15,Updated,1717.18,1970.01.01 00:00:00
LL,Update,1707.20,2021.03.02 05:15:00,M15,Accepted,,
HH,Update,1740.49,2021.03.03 01:15:00,M15,Accepted,,
LL,Bearish,1701.86,2021.03.03 17:30:00,M15,Updated,1707.20,1970.01.01 00:00:00
BoS,Bearish,1707.20,2021.03.03 17:30:00,M15,Confirmed,1740.49,1970.01.01 00:00:00
LL,Update,1701.86,2021.03.03 17:30:00,M15,Accepted,,
HH,Update,1725.09,2021.03.03 18:15:00,M15,Accepted,,
BoS,Bearish,1701.86,2021.03.04 19:45:00,M15,Confirmed,1725.09,1970.01.01 00:00:00
LL,Bearish,1687.34,2021.03.05 03:00:00,M15,Updated,1701.86,1970.01.01 00:00:00
LL,Update,1687.34,2021.03.05 03:00:00,M15,Accepted,,
HH,Update,1700.40,2021.03.05 09:30:00,M15,Accepted,,
LL,Update,1687.28,2021.03.05 15:30:00,M15,Accepted,,
CHoCH,Bullish,1700.40,2021.03.05 16:15:00,M15,Confirmed,1687.28,1970.01.01 00:00:00
HH,Update,1707.62,2021.03.05 16:15:00,M15,Accepted,,
LL,Update,1691.85,2021.03.05 16:45:00,M15,Accepted,,
BoS,Bullish,1707.62,2021.03.08 01:15:00,M15,Confirmed,1691.85,1970.01.01 00:00:00
HH,Bullish,1714.29,2021.03.08 04:00:00,M15,Updated,1707.62,1970.01.01 00:00:00
HH,Update,1714.29,2021.03.08 04:00:00,M15,Accepted,,
CHoCH,Bearish,1691.85,2021.03.08 11:15:00,M15,Confirmed,1714.29,1970.01.01 00:00:00
HH,Update,1714.29,2021.03.08 19:15:00,M15,Accepted,,
LL,Update,1676.82,2021.03.08 19:15:00,M15,Accepted,,
CHoCH,Bullish,1714.29,2021.03.09 16:00:00,M15,Confirmed,1676.82,1970.01.01 00:00:00
HH,Update,1720.58,2021.03.09 16:30:00,M15,Accepted,,
LL,Update,1708.20,2021.03.10 13:30:00,M15,Accepted,,
BoS,Bullish,1720.58,2021.03.10 16:00:00,M15,Confirmed,1708.20,1970.01.01 00:00:00
HH,Bullish,1739.82,2021.03.11 11:15:00,M15,Updated,1720.58,1970.01.01 00:00:00
HH,Update,1739.82,2021.03.11 11:15:00,M15,Accepted,,
LL,Update,1719.27,2021.03.11 16:45:00,M15,Accepted,,
HH,Update,1728.34,2021.03.11 20:00:00,M15,Accepted,,
CHoCH,Bearish,1719.27,2021.03.12 05:00:00,M15,Confirmed,1728.34,1970.01.01 00:00:00
HH,Update,1728.34,2021.03.12 11:45:00,M15,Accepted,,
LL,Update,1699.21,2021.03.12 11:45:00,M15,Accepted,,
CHoCH,Bullish,1728.34,2021.03.15 03:00:00,M15,Confirmed,1699.21,1970.01.01 00:00:00
HH,Update,1734.01,2021.03.15 03:30:00,M15,Accepted,,
LL,Update,1721.66,2021.03.15 07:30:00,M15,Accepted,,
HH,Bullish,1734.54,2021.03.15 16:00:00,M15,Updated,1734.01,1970.01.01 00:00:00
HH,Update,1734.54,2021.03.15 16:00:00,M15,Accepted,,
BoS,Bullish,1734.01,2021.03.16 07:30:00,M15,Confirmed,1721.66,1970.01.01 00:00:00
HH,Bullish,1737.17,2021.03.16 07:45:00,M15,Updated,1734.54,1970.01.01 00:00:00
HH,Update,1737.17,2021.03.16 07:45:00,M15,Accepted,,
LL,Update,1726.25,2021.03.16 09:00:00,M15,Accepted,,
BoS,Bullish,1737.17,2021.03.16 16:15:00,M15,Confirmed,1726.25,1970.01.01 00:00:00
HH,Bullish,1741.21,2021.03.16 16:30:00,M15,Updated,1737.17,1970.01.01 00:00:00
HH,Update,1741.21,2021.03.16 16:30:00,M15,Accepted,,
LL,Update,1726.78,2021.03.16 17:45:00,M15,Accepted,,
LL,Update,1724.17,2021.03.17 16:00:00,M15,Accepted,,
BoS,Bullish,1741.21,2021.03.17 20:00:00,M15,Confirmed,1724.17,1970.01.01 00:00:00
HH,Bullish,1755.46,2021.03.18 05:00:00,M15,Updated,1741.21,1970.01.01 00:00:00
HH,Update,1755.46,2021.03.18 05:00:00,M15,Accepted,,
CHoCH,Bearish,1724.17,2021.03.18 15:00:00,M15,Confirmed,1755.46,1970.01.01 00:00:00
HH,Update,1755.46,2021.03.18 15:30:00,M15,Accepted,,
LL,Update,1719.25,2021.03.18 15:30:00,M15,Accepted,,
HH,Update,1737.74,2021.03.19 00:30:00,M15,Accepted,,
LL,Update,1728.50,2021.03.19 03:15:00,M15,Accepted,,
CHoCH,Bullish,1737.74,2021.03.19 08:15:00,M15,Confirmed,1728.50,1970.01.01 00:00:00
HH,Update,1745.42,2021.03.19 09:30:00,M15,Accepted,,
LL,Update,1733.30,2021.03.19 15:30:00,M15,Accepted,,
HH,Update,1746.72,2021.03.19 22:45:00,M15,Accepted,,
CHoCH,Bearish,1733.30,2021.03.22 03:15:00,M15,Confirmed,1746.72,1970.01.01 00:00:00
HH,Update,1746.72,2021.03.22 09:45:00,M15,Accepted,,
LL,Update,1727.39,2021.03.22 09:45:00,M15,Accepted,,
HH,Update,1741.09,2021.03.22 20:00:00,M15,Accepted,,
HH,Bullish,1742.60,2021.03.23 12:00:00,M15,Updated,1741.09,1970.01.01 00:00:00
HH,Update,1742.60,2021.03.23 12:00:00,M15,Accepted,,
BoS,Bearish,1727.39,2021.03.23 18:30:00,M15,Confirmed,1742.60,1970.01.01 00:00:00
LL,Bearish,1724.68,2021.03.23 19:30:00,M15,Updated,1727.39,1970.01.01 00:00:00
LL,Update,1724.68,2021.03.23 19:30:00,M15,Accepted,,
LL,Bearish,1723.79,2021.03.24 03:00:00,M15,Updated,1724.68,1970.01.01 00:00:00
LL,Update,1723.79,2021.03.24 03:00:00,M15,Accepted,,
HH,Update,1734.45,2021.03.24 04:45:00,M15,Accepted,,
LL,Update,1727.15,2021.03.24 09:30:00,M15,Accepted,,
CHoCH,Bullish,1734.45,2021.03.24 18:00:00,M15,Confirmed,1727.15,1970.01.01 00:00:00
HH,Update,1738.47,2021.03.24 18:00:00,M15,Accepted,,
HH,Bullish,1739.20,2021.03.25 05:15:00,M15,Updated,1738.47,1970.01.01 00:00:00
HH,Update,1739.20,2021.03.25 05:15:00,M15,Accepted,,
CHoCH,Bearish,1727.15,2021.03.25 14:30:00,M15,Confirmed,1739.20,1970.01.01 00:00:00
LL,Update,1724.97,2021.03.25 14:45:00,M15,Accepted,,
CHoCH,Bullish,1739.20,2021.03.25 15:15:00,M15,Confirmed,1724.97,1970.01.01 00:00:00
HH,Update,1745.43,2021.03.25 15:30:00,M15,Accepted,,
LL,Update,1721.76,2021.03.25 19:00:00,M15,Accepted,,
HH,Update,1736.65,2021.03.26 17:15:00,M15,Accepted,,
CHoCH,Bearish,1721.76,2021.03.29 16:30:00,M15,Confirmed,1736.65,1970.01.01 00:00:00
HH,Update,1736.65,2021.03.29 17:00:00,M15,Accepted,,
LL,Update,1705.65,2021.03.29 17:00:00,M15,Accepted,,
HH,Update,1714.36,2021.03.30 04:00:00,M15,Accepted,,
BoS,Bearish,1705.65,2021.03.30 08:30:00,M15,Confirmed,1736.65,1970.01.01 00:00:00
LL,Bearish,1678.77,2021.03.30 15:30:00,M15,Updated,1705.65,1970.01.01 00:00:00
LL,Update,1678.77,2021.03.30 15:30:00,M15,Accepted,,
HH,Update,1688.49,2021.03.30 16:45:00,M15,Accepted,,
LL,Bearish,1677.86,2021.03.31 05:45:00,M15,Updated,1678.77,1970.01.01 00:00:00
LL,Update,1677.86,2021.03.31 05:45:00,M15,Accepted,,
CHoCH,Bullish,1688.49,2021.03.31 16:30:00,M15,Confirmed,1677.86,1970.01.01 00:00:00
HH,Update,1715.34,2021.03.31 20:15:00,M15,Accepted,,
LL,Update,1705.76,2021.04.01 04:00:00,M15,Accepted,,
BoS,Bullish,1715.34,2021.04.01 09:30:00,M15,Confirmed,1705.76,1970.01.01 00:00:00
HH,Bullish,1730.40,2021.04.01 23:45:00,M15,Updated,1715.34,1970.01.01 00:00:00
HH,Update,1730.40,2021.04.01 23:45:00,M15,Accepted,,
LL,Update,1721.25,2021.04.05 09:00:00,M15,Accepted,,
BoS,Bullish,1730.40,2021.04.05 18:15:00,M15,Confirmed,1721.25,1970.01.01 00:00:00
HH,Bullish,1733.57,2021.04.05 18:45:00,M15,Updated,1730.40,1970.01.01 00:00:00
HH,Update,1733.57,2021.04.05 18:45:00,M15,Accepted,,
LL,Update,1725.04,2021.04.05 21:00:00,M15,Accepted,,
BoS,Bullish,1733.57,2021.04.06 04:15:00,M15,Confirmed,1725.04,1970.01.01 00:00:00
HH,Bullish,1738.54,2021.04.06 09:00:00,M15,Updated,1733.57,1970.01.01 00:00:00
HH,Update,1738.54,2021.04.06 09:00:00,M15,Accepted,,
LL,Update,1727.80,2021.04.06 10:00:00,M15,Accepted,,
BoS,Bullish,1738.54,2021.04.06 16:45:00,M15,Confirmed,1727.80,1970.01.01 00:00:00
HH,Bullish,1745.47,2021.04.06 18:45:00,M15,Updated,1738.54,1970.01.01 00:00:00
HH,Update,1745.47,2021.04.06 18:45:00,M15,Accepted,,
LL,Update,1739.97,2021.04.06 20:15:00,M15,Accepted,,
HH,Update,1744.46,2021.04.06 22:00:00,M15,Accepted,,
CHoCH,Bearish,1739.97,2021.04.07 04:00:00,M15,Confirmed,1744.46,1970.01.01 00:00:00
HH,Update,1744.46,2021.04.07 05:45:00,M15,Accepted,,
LL,Update,1735.86,2021.04.07 05:45:00,M15,Accepted,,
BoS,Bearish,1735.86,2021.04.07 14:15:00,M15,Confirmed,1744.46,1970.01.01 00:00:00
LL,Bearish,1730.57,2021.04.07 15:15:00,M15,Updated,1735.86,1970.01.01 00:00:00
LL,Update,1730.57,2021.04.07 15:15:00,M15,Accepted,,
HH,Update,1743.21,2021.04.07 18:00:00,M15,Accepted,,
LL,Update,1733.14,2021.04.08 04:15:00,M15,Accepted,,
CHoCH,Bullish,1743.21,2021.04.08 09:00:00,M15,Confirmed,1733.14,1970.01.01 00:00:00
HH,Update,1758.66,2021.04.08 17:45:00,M15,Accepted,,
CHoCH,Bearish,1733.14,2021.04.09 16:00:00,M15,Confirmed,1758.66,1970.01.01 00:00:00
HH,Update,1758.66,2021.04.09 16:15:00,M15,Accepted,,
LL,Update,1731.26,2021.04.09 16:15:00,M15,Accepted,,
HH,Update,1745.00,2021.04.12 15:00:00,M15,Accepted,,
BoS,Bearish,1731.26,2021.04.12 21:15:00,M15,Confirmed,1745.00,1970.01.01 00:00:00
LL,Bearish,1727.48,2021.04.12 21:45:00,M15,Updated,1731.26,1970.01.01 00:00:00
LL,Update,1727.48,2021.04.12 21:45:00,M15,Accepted,,
HH,Update,1736.42,2021.04.13 05:45:00,M15,Accepted,,
BoS,Bearish,1727.48,2021.04.13 08:30:00,M15,Confirmed,1745.00,1970.01.01 00:00:00
LL,Update,1723.70,2021.04.13 10:00:00,M15,Accepted,,
CHoCH,Bullish,1736.42,2021.04.13 15:30:00,M15,Confirmed,1723.70,1970.01.01 00:00:00
HH,Update,1748.99,2021.04.13 16:45:00,M15,Accepted,,
HH,Bullish,1749.31,2021.04.14 04:00:00,M15,Updated,1748.99,1970.01.01 00:00:00
HH,Update,1749.31,2021.04.14 04:00:00,M15,Accepted,,
LL,Update,1740.78,2021.04.14 08:30:00,M15,Accepted,,
HH,Update,1748.69,2021.04.14 10:00:00,M15,Accepted,,
CHoCH,Bearish,1740.78,2021.04.14 16:00:00,M15,Confirmed,1748.69,1970.01.01 00:00:00
HH,Update,1748.69,2021.04.14 17:15:00,M15,Accepted,,
LL,Update,1732.58,2021.04.14 17:15:00,M15,Accepted,,
CHoCH,Bullish,1748.69,2021.04.15 15:00:00,M15,Confirmed,1732.58,1970.01.01 00:00:00
HH,Update,1769.68,2021.04.15 18:30:00,M15,Accepted,,
LL,Update,1759.72,2021.04.16 05:45:00,M15,Accepted,,
BoS,Bullish,1769.68,2021.04.16 12:45:00,M15,Confirmed,1759.72,1970.01.01 00:00:00
HH,Bullish,1783.79,2021.04.16 15:30:00,M15,Updated,1769.68,1970.01.01 00:00:00
HH,Update,1783.79,2021.04.16 15:30:00,M15,Accepted,,
LL,Update,1772.00,2021.04.16 16:45:00,M15,Accepted,,
BoS,Bullish,1783.79,2021.04.19 10:45:00,M15,Confirmed,1772.00,1970.01.01 00:00:00
HH,Update,1790.03,2021.04.19 13:15:00,M15,Accepted,,
CHoCH,Bearish,1772.00,2021.04.19 16:15:00,M15,Confirmed,1790.03,1970.01.01 00:00:00
HH,Update,1790.03,2021.04.19 16:15:00,M15,Accepted,,
LL,Update,1766.76,2021.04.19 16:15:00,M15,Accepted,,
HH,Update,1775.61,2021.04.20 06:15:00,M15,Accepted,,
BoS,Bearish,1766.76,2021.04.20 12:30:00,M15,Confirmed,1775.61,1970.01.01 00:00:00
LL,Update,1763.53,2021.04.20 12:30:00,M15,Accepted,,
CHoCH,Bullish,1775.61,2021.04.20 17:00:00,M15,Confirmed,1763.53,1970.01.01 00:00:00
HH,Update,1780.41,2021.04.20 19:15:00,M15,Accepted,,
LL,Update,1776.24,2021.04.21 02:30:00,M15,Accepted,,
BoS,Bullish,1780.41,2021.04.21 04:30:00,M15,Confirmed,1776.24,1970.01.01 00:00:00
