=== Market Structure Events (Sorted by Time) ===,,,,,,
Type,Direction/Action,Price,Time,Timeframe,Status,PreviousPrice,PreviousTime
HH,Update,1886.13,2020.12.30 06:45:00,M15,Accepted,,
LL,Update,1876.08,2020.12.30 15:00:00,M15,Accepted,,
HH,Bullish,1899.78,2020.12.31 03:00:00,M15,Updated,1886.13,1970.01.01 00:00:00
HH,Update,1899.78,2020.12.31 03:00:00,M15,Accepted,,
LL,Update,1885.41,2020.12.31 07:00:00,M15,Accepted,,
CHoCH,Bullish,1899.78,2021.01.04 01:00:00,M15,Confirmed,1885.41,1970.01.01 00:00:00
HH,Update,1944.43,2021.01.04 17:00:00,M15,Accepted,,
LL,Update,1929.39,2021.01.04 17:15:00,M15,Accepted,,
HH,Update,1945.58,2021.01.05 01:15:00,M15,Accepted,,
HH,Bullish,1945.58,2021.01.05 01:15:00,M15,Updated,1944.43,1970.01.01 00:00:00
LL,Update,1934.31,2021.01.05 03:45:00,M15,Accepted,,
BoS,Bullish,1944.43,2021.01.05 11:30:00,M15,Confirmed,1929.39,1970.01.01 00:00:00
HH,Bullish,1955.34,2021.01.06 03:00:00,M15,Updated,1945.58,1970.01.01 00:00:00
HH,Update,1955.34,2021.01.06 03:00:00,M15,Accepted,,
LL,Update,1941.41,2021.01.06 06:15:00,M15,Accepted,,
BoS,Bullish,1955.34,2021.01.06 11:30:00,M15,Confirmed,1941.41,1970.01.01 00:00:00
HH,Update,1959.29,2021.01.06 12:00:00,M15,Accepted,,
CHoCH,Bearish,1941.41,2021.01.06 14:30:00,M15,Confirmed,1959.29,1970.01.01 00:00:00
HH,Update,1959.29,2021.01.06 18:00:00,M15,Accepted,,
LL,Update,1900.83,2021.01.06 18:00:00,M15,Accepted,,
HH,Update,1924.65,2021.01.07 02:00:00,M15,Accepted,,
LL,Update,1914.70,2021.01.07 04:15:00,M15,Accepted,,
CHoCH,Bullish,1924.65,2021.01.07 08:30:00,M15,Confirmed,1914.70,1970.01.01 00:00:00
HH,Update,1927.64,2021.01.07 08:45:00,M15,Accepted,,
CHoCH,Bearish,1914.70,2021.01.07 12:15:00,M15,Confirmed,1927.64,1970.01.01 00:00:00
HH,Update,1927.64,2021.01.07 16:30:00,M15,Accepted,,
LL,Update,1906.77,2021.01.07 16:30:00,M15,Accepted,,
BoS,Bearish,1906.77,2021.01.08 08:00:00,M15,Confirmed,1927.64,1970.01.01 00:00:00
LL,Bearish,1817.00,2021.01.11 03:30:00,M15,Updated,1906.77,1970.01.01 00:00:00
LL,Update,1817.00,2021.01.11 03:30:00,M15,Accepted,,
HH,Update,1855.33,2021.01.11 10:15:00,M15,Accepted,,
LL,Update,1841.27,2021.01.12 03:00:00,M15,Accepted,,
CHoCH,Bullish,1855.33,2021.01.12 07:30:00,M15,Confirmed,1841.27,1970.01.01 00:00:00
HH,Update,1863.80,2021.01.12 12:00:00,M15,Accepted,,
CHoCH,Bearish,1841.27,2021.01.12 16:00:00,M15,Confirmed,1863.80,1970.01.01 00:00:00
HH,Update,1863.80,2021.01.12 16:00:00,M15,Accepted,,
LL,Update,1836.70,2021.01.12 16:00:00,M15,Accepted,,
HH,Update,1862.94,2021.01.13 03:45:00,M15,Accepted,,
LL,Bearish,1830.94,2021.01.14 04:30:00,M15,Updated,1836.70,1970.01.01 00:00:00
LL,Update,1830.94,2021.01.14 04:30:00,M15,Accepted,,
BoS,Bearish,1836.70,2021.01.14 05:00:00,M15,Confirmed,1862.94,1970.01.01 00:00:00
HH,Update,1847.02,2021.01.14 07:45:00,M15,Accepted,,
LL,Update,1836.13,2021.01.14 09:30:00,M15,Accepted,,
CHoCH,Bullish,1847.02,2021.01.14 16:15:00,M15,Confirmed,1836.13,1970.01.01 00:00:00
HH,Update,1857.45,2021.01.14 20:00:00,M15,Accepted,,
CHoCH,Bearish,1836.13,2021.01.15 17:00:00,M15,Confirmed,1857.45,1970.01.01 00:00:00
HH,Update,1857.45,2021.01.15 18:00:00,M15,Accepted,,
LL,Update,1823.39,2021.01.15 18:00:00,M15,Accepted,,
BoS,Bearish,1823.39,2021.01.18 01:30:00,M15,Confirmed,1857.45,1970.01.01 00:00:00
LL,Bearish,1810.29,2021.01.18 01:45:00,M15,Updated,1823.39,1970.01.01 00:00:00
LL,Update,1810.29,2021.01.18 01:45:00,M15,Accepted,,
HH,Update,1840.72,2021.01.18 08:45:00,M15,Accepted,,
LL,Update,1829.60,2021.01.18 14:15:00,M15,Accepted,,
CHoCH,Bullish,1840.72,2021.01.19 03:00:00,M15,Confirmed,1829.60,1970.01.01 00:00:00
HH,Update,1843.62,2021.01.19 03:15:00,M15,Accepted,,
LL,Update,1836.21,2021.01.19 07:30:00,M15,Accepted,,
BoS,Bullish,1843.62,2021.01.19 10:30:00,M15,Confirmed,1836.21,1970.01.01 00:00:00
HH,Update,1845.51,2021.01.19 12:30:00,M15,Accepted,,
CHoCH,Bearish,1836.21,2021.01.19 15:00:00,M15,Confirmed,1845.51,1970.01.01 00:00:00
HH,Update,1845.51,2021.01.19 15:00:00,M15,Accepted,,
LL,Update,1833.12,2021.01.19 15:00:00,M15,Accepted,,
CHoCH,Bullish,1845.51,2021.01.20 03:45:00,M15,Confirmed,1833.12,1970.01.01 00:00:00
HH,Update,1875.01,2021.01.21 08:45:00,M15,Accepted,,
LL,Update,1858.32,2021.01.21 16:00:00,M15,Accepted,,
HH,Update,1871.49,2021.01.21 22:45:00,M15,Accepted,,
CHoCH,Bearish,1858.32,2021.01.22 12:15:00,M15,Confirmed,1871.49,1970.01.01 00:00:00
HH,Update,1871.49,2021.01.22 15:30:00,M15,Accepted,,
LL,Update,1837.40,2021.01.22 15:30:00,M15,Accepted,,
HH,Update,1860.01,2021.01.25 02:30:00,M15,Accepted,,
LL,Update,1849.64,2021.01.25 08:30:00,M15,Accepted,,
CHoCH,Bullish,1860.01,2021.01.25 12:45:00,M15,Confirmed,1849.64,1970.01.01 00:00:00
HH,Update,1867.93,2021.01.25 15:15:00,M15,Accepted,,
CHoCH,Bearish,1849.64,2021.01.25 18:00:00,M15,Confirmed,1867.93,1970.01.01 00:00:00
HH,Update,1867.93,2021.01.25 18:15:00,M15,Accepted,,
LL,Update,1847.11,2021.01.25 18:15:00,M15,Accepted,,
HH,Update,1861.73,2021.01.26 06:00:00,M15,Accepted,,
BoS,Bearish,1847.11,2021.01.27 03:45:00,M15,Confirmed,1861.73,1970.01.01 00:00:00
LL,Bearish,1843.21,2021.01.27 03:45:00,M15,Updated,1847.11,1970.01.01 00:00:00
LL,Update,1843.21,2021.01.27 03:45:00,M15,Accepted,,
HH,Update,1853.11,2021.01.27 10:00:00,M15,Accepted,,
BoS,Bearish,1843.21,2021.01.27 13:30:00,M15,Confirmed,1861.73,1970.01.01 00:00:00
LL,Bearish,1831.35,2021.01.27 16:45:00,M15,Updated,1843.21,1970.01.01 00:00:00
LL,Update,1831.35,2021.01.27 16:45:00,M15,Accepted,,
HH,Update,1850.61,2021.01.27 18:00:00,M15,Accepted,,
LL,Update,1834.00,2021.01.28 03:30:00,M15,Accepted,,
