Time,Open,High,Low,Close,Volume,Spread,EMA200
2019.01.02 06:00:00,1282.21,1282.82,1282.01,1282.81,316,31,1278.19
2019.01.02 06:15:00,1282.81,1283.21,1282.69,1282.85,290,32,1278.23
2019.01.02 06:30:00,1282.82,1283.82,1282.51,1283.72,208,32,1278.29
2019.01.02 06:45:00,1283.70,1284.05,1283.52,1283.92,187,33,1278.34
2019.01.02 07:00:00,1283.92,1284.09,1283.71,1283.81,187,33,1278.40
2019.01.02 07:15:00,1283.81,1285.43,1283.71,1284.70,351,49,1278.46
2019.01.02 07:30:00,1284.70,1286.23,1284.53,1285.89,427,33,1278.53
2019.01.02 07:45:00,1285.92,1286.44,1285.04,1286.20,411,32,1278.61
2019.01.02 08:00:00,1286.20,1287.31,1286.04,1286.90,700,34,1278.69
2019.01.02 08:15:00,1286.91,1287.31,1286.41,1286.51,478,33,1278.77
2019.01.02 08:30:00,1286.61,1286.88,1286.21,1286.81,278,32,1278.85
2019.01.02 08:45:00,1286.81,1286.95,1285.58,1285.82,438,34,1278.92
2019.01.02 09:00:00,1285.82,1286.43,1285.40,1285.52,609,33,1278.99
2019.01.02 09:15:00,1285.52,1285.83,1285.03,1285.23,581,33,1279.05
2019.01.02 09:30:00,1285.26,1285.76,1284.55,1285.37,566,35,1279.11
2019.01.02 09:45:00,1285.37,1285.62,1284.95,1285.45,331,33,1279.17
2019.01.02 10:00:00,1285.40,1286.57,1285.15,1285.54,578,34,1279.24
2019.01.02 10:15:00,1285.54,1286.18,1285.35,1285.84,469,32,1279.30
2019.01.02 10:30:00,1285.87,1288.64,1284.85,1287.83,881,34,1279.39
2019.01.02 10:45:00,1287.83,1288.54,1287.50,1287.99,760,36,1279.47
2019.01.02 11:00:00,1288.04,1288.04,1287.02,1287.94,669,33,1279.56
2019.01.02 11:15:00,1287.94,1288.70,1287.51,1287.79,548,34,1279.64
2019.01.02 11:30:00,1287.79,1288.19,1287.28,1287.89,502,32,1279.72
2019.01.02 11:45:00,1287.89,1287.94,1286.93,1286.98,371,32,1279.79
2019.01.02 12:00:00,1286.98,1287.28,1286.28,1287.10,448,32,1279.87
2019.01.02 12:15:00,1287.09,1287.59,1286.93,1287.10,457,31,1279.94
2019.01.02 12:30:00,1287.13,1287.55,1286.93,1287.49,300,33,1280.01
2019.01.02 12:45:00,1287.47,1287.87,1286.74,1287.29,457,32,1280.09
2019.01.02 13:00:00,1287.29,1287.59,1286.99,1286.99,491,32,1280.16
2019.01.02 13:15:00,1286.93,1287.43,1286.63,1286.74,458,34,1280.22
2019.01.02 13:30:00,1286.79,1286.93,1286.34,1286.54,380,34,1280.28
2019.01.02 13:45:00,1286.54,1286.82,1286.31,1286.43,273,31,1280.34
2019.01.02 14:00:00,1286.34,1286.34,1284.70,1286.01,507,32,1280.40
2019.01.02 14:15:00,1286.02,1286.22,1284.08,1284.24,611,31,1280.44
2019.01.02 14:30:00,1284.24,1285.13,1284.03,1284.43,599,33,1280.48
