Ticket,Symbol,Type,SignalType,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,BodyRatio,BodyRatioMin,BodyRatioPassed,BodyRatioMode,InitialSL,InitialTP,FinalSL,FinalTP,InitialRiskPoints,InitialRewardPoints,FinalRiskPoints,FinalRewardPoints,TrailingModified,TrailingCount,TPExpanded,TPExpandCount,MaxFavorablePoints,MaxAdversePoints,CloseReason
1,XAUUSD,BUY,BoS,2664.26,2667.34,2667.34,2709.09,15.40,0.25,0.00,0.00,15.15,London_NewYork_Overlap,NO,2025.01.08 17:30:00,2025.01.13 14:30:00,0.05,12345,M15,EXECUTED,N/A,0.70,0.40,YES,STRICT,2634.26,2694.26,2667.34,2709.09,3000,3000,3000,3000,YES,27,YES,1,0,0,STOP_LOSS
2,XAUUSD,BUY,BoS,2666.43,2667.34,2667.34,2714.67,4.55,0.25,0.00,0.00,4.30,London_NewYork_Overlap,NO,2025.01.08 17:45:00,2025.01.13 14:30:00,0.05,12345,M15,EXECUTED,N/A,0.70,0.40,YES,STRICT,2636.43,2691.43,2667.34,2714.67,3000,2500,3000,2500,YES,25,YES,2,0,0,STOP_LOSS
3,XAUUSD,BUY,CHoCH,2673.74,2693.59,2693.59,2735.24,99.25,0.25,0.00,0.00,99.00,NewYork,NO,2025.01.14 22:45:00,2025.01.20 01:15:00,0.05,12345,M15,EXECUTED,N/A,0.65,0.40,YES,STRICT,2649.86,2703.74,2693.59,2735.24,2387,3000,2387,3000,YES,40,YES,3,0,0,STOP_LOSS
4,XAUUSD,BUY,BoS,2679.41,2693.59,2693.59,2738.70,70.90,0.25,0.00,0.00,70.65,Sydney_Tokyo_Overlap,NO,2025.01.15 08:00:00,2025.01.20 01:15:00,0.05,12345,M15,EXECUTED,N/A,0.70,0.40,YES,STRICT,2659.39,2704.41,2693.59,2738.70,2001,2500,2001,2500,YES,28,YES,3,0,0,STOP_LOSS
5,XAUUSD,BUY,CHoCH,2712.39,2754.93,2754.93,2801.98,212.70,0.25,0.00,0.00,212.45,Sydney_Tokyo_Overlap,NO,2025.01.21 03:30:00,2025.01.27 04:15:00,0.05,12345,M15,EXECUTED,N/A,0.65,0.40,YES,STRICT,2691.52,2742.39,2754.93,2801.98,2086,3000,2086,3000,YES,43,YES,5,0,0,STOP_LOSS
6,XAUUSD,BUY,BoS,2730.75,2754.93,2754.93,2801.98,120.90,0.25,0.00,0.00,120.65,London_NewYork_Overlap,NO,2025.01.21 16:30:00,2025.01.27 04:15:00,0.05,12345,M15,EXECUTED,N/A,0.70,0.40,YES,STRICT,2706.43,2755.75,2754.93,2801.98,2432,2500,2432,2500,YES,36,YES,4,0,0,STOP_LOSS
7,XAUUSD,BUY,CHoCH,2759.80,2754.93,2754.93,2801.98,-24.35,0.25,0.00,0.00,-24.60,Sydney_Tokyo_Overlap,NO,2025.01.24 03:00:00,2025.01.27 04:15:00,0.05,12345,M15,EXECUTED,N/A,0.65,0.40,YES,STRICT,2729.80,2789.80,2754.93,2801.98,3000,3000,3000,3000,YES,13,YES,1,0,0,STOP_LOSS
8,XAUUSD,BUY,CHoCH,2745.63,2785.64,2785.64,2827.68,200.05,0.25,0.00,0.00,199.80,London_NewYork_Overlap,NO,2025.01.28 15:00:00,2025.02.03 01:30:00,0.05,12345,M15,EXECUTED,N/A,0.65,0.40,YES,STRICT,2724.81,2775.63,2785.64,2827.68,2082,3000,2082,3000,YES,50,YES,5,0,0,STOP_LOSS
9,XAUUSD,BUY,BoS,2766.48,2785.64,2785.64,2835.64,95.80,0.25,0.00,0.00,95.55,Tokyo_London_Overlap,NO,2025.01.30 09:30:00,2025.02.03 01:30:00,0.05,12345,M15,EXECUTED,N/A,0.70,0.40,YES,STRICT,2736.48,2791.48,2785.64,2835.64,3000,2500,3000,2500,YES,34,YES,4,0,0,STOP_LOSS
10,XAUUSD,BUY,CHoCH,2814.39,2850.22,2850.22,2900.22,179.15,0.25,0.00,0.00,178.90,London_NewYork_Overlap,NO,2025.02.03 16:30:00,2025.02.06 10:15:00,0.05,12345,M15,EXECUTED,N/A,0.65,0.40,YES,STRICT,2784.39,2844.39,2850.22,2900.22,3000,3000,3000,3000,YES,27,YES,5,0,0,STOP_LOSS
11,XAUUSD,BUY,CHoCH,2823.96,2850.22,2850.22,2900.22,131.30,0.25,0.00,0.00,131.05,London_NewYork_Overlap,NO,2025.02.04 15:15:00,2025.02.06 10:15:00,0.05,12345,M15,EXECUTED,N/A,0.65,0.40,YES,STRICT,2797.19,2853.96,2850.22,2900.22,2676,3000,2676,3000,YES,26,YES,4,0,0,STOP_LOSS
