base_ref,base_lot,is_compound,trailing_dist,initial_tp_dist,min_sl_dist,sl_safety_buffer,be_trigger,pt_exit,total_trades,wins,losses,win_rate,total_net_pnl,final_balance,max_dd_usd,max_dd_pct,profit_factor
2500.0,0.15,False,25.0,40.0,12.0,2.0,8.0,350.0,78,28,50,35.9,422.77,1422.77,965.85,52.6,1.07
2000.0,0.1,False,20.0,35.0,12.0,3.0,8.0,350.0,78,38,40,48.72,411.84,1411.84,512.67,39.74,1.12
2000.0,0.1,False,20.0,40.0,12.0,3.0,8.0,350.0,78,38,40,48.72,411.84,1411.84,512.67,39.74,1.12
2000.0,0.3,False,25.0,40.0,10.0,3.0,8.0,0.0,78,38,40,48.72,410.88,1410.88,1946.28,85.75,1.04
2000.0,0.1,False,20.0,35.0,10.0,3.0,8.0,0.0,78,38,40,48.72,410.6,1410.6,496.31,38.3,1.12
2000.0,0.15,False,25.0,35.0,12.0,3.0,8.0,0.0,78,38,40,48.72,408.02,1408.02,883.28,55.42,1.07
2000.0,0.3,False,25.0,30.0,10.0,3.0,8.0,0.0,78,38,40,48.72,403.33,1403.33,2081.82,82.23,1.04
2000.0,0.1,False,20.0,35.0,12.0,3.0,8.0,0.0,78,38,40,48.72,392.0,1392.0,512.67,39.74,1.11
2000.0,0.2,False,20.0,30.0,10.0,3.0,8.0,350.0,78,41,37,52.56,385.2,1385.2,1349.51,77.15,1.06
2000.0,0.2,False,20.0,35.0,10.0,3.0,8.0,350.0,78,41,37,52.56,385.2,1385.2,1349.51,77.15,1.06
2000.0,0.2,False,20.0,40.0,10.0,3.0,8.0,350.0,78,41,37,52.56,385.2,1385.2,1349.51,77.15,1.06
2000.0,0.2,False,20.0,20.0,10.0,3.0,8.0,350.0,78,41,37,52.56,385.2,1385.2,1349.51,77.15,1.06
2000.0,0.2,False,20.0,25.0,10.0,3.0,8.0,350.0,78,41,37,52.56,385.2,1385.2,1349.51,77.15,1.06
2000.0,0.15,False,20.0,40.0,10.0,3.0,8.0,0.0,78,38,40,48.72,373.9,1373.9,810.47,51.22,1.07
2000.0,0.3,False,20.0,35.0,10.0,3.0,10.0,0.0,78,39,39,50.0,355.74,1355.74,1894.93,85.71,1.03
2000.0,0.3,False,25.0,40.0,12.0,3.0,8.0,0.0,78,38,40,48.72,355.33,1355.33,1946.28,89.0,1.03
2000.0,0.2,False,20.0,30.0,12.0,3.0,8.0,350.0,78,41,37,52.56,348.24,1348.24,1349.51,79.98,1.05
2000.0,0.2,False,20.0,35.0,12.0,3.0,8.0,350.0,78,41,37,52.56,348.24,1348.24,1349.51,79.98,1.05
2000.0,0.2,False,20.0,40.0,12.0,3.0,8.0,350.0,78,41,37,52.56,348.24,1348.24,1349.51,79.98,1.05
2000.0,0.2,False,20.0,20.0,12.0,3.0,8.0,350.0,78,41,37,52.56,348.24,1348.24,1349.51,79.98,1.05
2000.0,0.2,False,20.0,25.0,12.0,3.0,8.0,350.0,78,41,37,52.56,348.24,1348.24,1349.51,79.98,1.05
2000.0,0.3,False,25.0,30.0,12.0,3.0,8.0,0.0,78,38,40,48.72,347.78,1347.78,2081.82,85.34,1.03
2000.0,0.15,False,20.0,40.0,12.0,3.0,8.0,0.0,78,38,40,48.72,346.48,1346.48,810.47,53.16,1.07
2000.0,0.15,False,20.0,20.0,10.0,3.0,8.0,0.0,78,39,39,50.0,335.47,1335.47,968.55,56.77,1.06
2000.0,0.1,False,20.0,20.0,10.0,3.0,8.0,250.0,78,39,39,50.0,335.37,1335.37,583.22,41.34,1.1
2000.0,0.25,False,25.0,40.0,10.0,3.0,8.0,0.0,78,38,40,48.72,333.69,1333.69,1615.44,76.59,1.04
2000.0,0.25,False,25.0,30.0,10.0,3.0,8.0,0.0,78,38,40,48.72,329.31,1329.31,1743.83,73.77,1.04
2500.0,0.3,False,25.0,30.0,10.0,2.0,8.0,0.0,78,25,53,32.05,327.74,1327.74,2031.08,78.27,1.03
2000.0,0.2,False,25.0,40.0,10.0,3.0,8.0,0.0,78,38,40,48.72,325.8,1325.8,1275.19,65.95,1.04
2500.0,0.3,False,25.0,30.0,12.0,2.0,8.0,0.0,78,25,53,32.05,323.68,1323.68,2031.08,78.44,1.03
2000.0,0.2,False,25.0,30.0,10.0,3.0,8.0,0.0,78,38,40,48.72,321.01,1321.01,1359.04,63.86,1.04
2000.0,0.1,False,20.0,20.0,12.0,3.0,8.0,250.0,78,39,39,50.0,316.77,1316.77,583.22,42.89,1.09
2000.0,0.1,False,25.0,40.0,10.0,3.0,8.0,350.0,78,38,40,48.72,311.17,1311.17,572.67,39.44,1.09
2000.0,0.1,False,25.0,35.0,10.0,3.0,8.0,350.0,78,38,40,48.72,311.17,1311.17,572.67,39.44,1.09
2500.0,0.25,False,25.0,30.0,10.0,2.0,8.0,0.0,78,25,53,32.05,309.68,1309.68,1666.71,72.0,1.03
2000.0,0.15,False,20.0,20.0,10.0,3.0,8.0,250.0,78,41,37,52.56,309.67,1309.67,875.39,63.09,1.06
2000.0,0.15,False,20.0,25.0,10.0,3.0,8.0,250.0,78,41,37,52.56,309.67,1309.67,875.39,63.09,1.06
2000.0,0.15,False,20.0,30.0,10.0,3.0,8.0,250.0,78,41,37,52.56,309.67,1309.67,875.39,63.09,1.06
