source_year,year,entry_time,source,signal,entry_price,timeframe,mfe_target,mae_target,actual_net_profit,session_name,session_is_dst,last_bos_age_hours,last_choch_age_hours,choch_to_bos_hours,last_bos_direction,last_choch_direction,bos_choch_aligned,h1_trend_aligned,h1_above_ema200,h1_atr_14,h1_vol_ratio,body_ratio,vol_ratio,atr_14,hour_of_day,day_of_week,session_priority,is_london,is_ny,is_overlap,distance_to_last_ll_pips,distance_to_last_hh_pips,h4_ema200_distance_pct,spread_to_atr_ratio,body_ratio_ea,h4_atr_14,h1_atr_14_pct,h1_ext_ema200_distance_atr,h4_ema200_distance_atr,h1_ext_ema200_distance_pct,h4_vol_ratio,spread_pct,init_risk_points,atr_14_pct,m15_ema200_distance_atr,m15_ema200_distance_pct,spread,body_ratio_min,body_ratio_passed,body_ratio_mode_enc,init_reward_points,initial_rr,momentum_3_atr,momentum_5_atr,momentum_10_atr,session_zone_name,session_zone_is_dst,minutes_from_session_open,minutes_to_session_close,session_range_points,price_position_session_range,distance_to_session_high_atr,distance_to_session_low_atr,h4_atr_14_pct,h1_ext_atr_14_pct,init_risk_pct,double_trend_aligned,cycle,is_bos_entry,predicted_mfe,predicted_mae,expected_rr,s4_lot,s4_profit,s5_lot,s5_profit
2020-12-30,2020,2020-01-02 15:45:00,EXECUTED,BUY,1528.04,M15,2342.0000000000077,528.9999999999964,200.0,London_NewYork_Overlap,NO,999.0,0.0,0.0,0,1,0,1,1,0.0,1.0,0.7113095238095071,1.9251196642843091,1.3285714285714385,15,3,2,1,1,1,28.09999999999945,-28.09999999999945,0.0,12.043010752688083,0.7113095238095071,0.0,0.0,0.0,0.0,0.0,1.351937984496124,1.047093008036439,300.0,0.0869461158458835,5.804285567444936,0.504660085349657,16.0,0.5,1.0,1.0,300.0,1.0,3.372043010752677,3.770967741935449,4.93010752688165,London_NewYork_Overlap,NO,105.0,135.0,785.0,0.7796178343948996,1.302150537634413,4.60645161290311,0.0,0.0,19.63299390068323,0.0,,False,1785.7116007955126,757.5745420366651,2.3571430951135204,0.08,142.856928063641,0.0,0.0
2020-12-30,2020,2020-01-03 03:30:00,EXECUTED,BUY,1532.43,M15,4965.999999999985,42.00000000000728,200.0,Sydney_Tokyo_Overlap,NO,0.0,11.75,11.75,1,1,1,1,1,3.0149999999999864,1.0763274705470078,0.6409266409266928,2.1835349660666865,0.9028571428571176,3,4,0,0,0,0,11.100000000001272,-11.100000000001272,0.0,15.506329113924489,0.6409266409266928,0.0,0.196746344041815,3.95647331736703,0.0,0.0,0.5100029662832471,0.913581697043258,300.0,0.0589166971970737,10.457515710090112,0.6161222865250209,14.0,0.5,1.0,1.0,300.0,1.0,2.1044303797469954,2.802215189873466,4.61867088607616,Sydney_Tokyo_Overlap,NO,150.0,270.0,1465.0,0.2873720136518823,11.56329113924064,4.662974683544475,0.0,0.0,19.57675065092696,0.0,1.0,True,1295.7704769065163,625.7258690916738,2.0708277233087764,0.08,103.66163815252129,0.08,103.66163815252129
2020-12-30,2020,2020-01-06 01:00:00,EXECUTED,BUY,1574.97,M15,499.0000000000009,1426.9999999999982,-115.79999999999929,Sydney_Tokyo_Overlap,NO,0.0,81.25,81.25,1,1,1,1,1,5.987142857142869,1.4685775833644736,0.1157232704402633,1.9163097199341024,3.446428571428572,1,0,0,0,0,0,235.0999999999999,71.19999999999891,0.0,8.704663212435232,0.1157232704402633,0.0,0.3801432952464408,8.257779934792715,0.0,0.0,1.3035277680754451,1.9047981866321264,300.0,0.2188250297738097,11.247709036746178,2.461280264853132,30.0,0.5,1.0,1.0,300.0,1.0,7.207461139896349,7.529533678756489,8.327461139896386,Sydney_Tokyo_Overlap,NO,0.0,420.0,990.0,0.5959595959595997,1.160621761658031,1.7119170984456222,0.0,0.0,19.047981866321265,0.0,2.0,True,1916.147538810371,1616.4425990948118,1.18541019636787,0.05,-578.9999999999964,0.05,-578.9999999999964
2020-12-30,2020,2020-01-06 17:15:00,EXECUTED,SELL,1566.81,M15,1157.9999999999927,483.00000000001546,-23.300000000001543,London_NewYork_Overlap,NO,16.25,0.0,16.25,1,-1,0,1,1,4.514285714285701,1.9006240769853744,0.8459530026109594,1.424852637563209,2.665714285714281,17,0,1,0,1,0,-125.0,125.0,2.709099177855227,5.25187566988211,0.8459530026109594,10.332857142857147,0.2881195367840198,7.52800197451813,4.107908997647923,0.0,1.827031584158033,0.8935352723048743,300.0,0.1701364100123359,4.496983503763664,0.765100629215046,14.0,0.5,1.0,1.0,300.0,1.0,-2.843515541264801,-2.9485530546624323,-3.6650589496248656,London_NewYork_Overlap,NO,195.0,45.0,1708.0,0.3079625292740013,4.434083601286243,1.9732047159699893,0.6594837372021591,0.0,19.147184406533015,0.0,,False,1674.0815034831699,922.1194418200681,1.8154714319642673,0.08,-186.4000000000123,0.0,0.0
2020-12-30,2020,2020-01-07 03:45:00,EXECUTED,SELL,1557.79,M15,255.99999999999451,5355.9999999999945,-200.0,Sydney_Tokyo_Overlap,NO,0.0,10.5,10.5,-1,-1,1,1,1,4.616428571428595,0.8260824635734215,0.7369402985074849,3.186306780776827,1.6992857142856954,3,1,0,0,0,0,-29.10000000000082,215.19999999999985,2.0983129844229302,9.415720891130832,0.7369402985074849,10.097857142857151,0.2963447301259217,4.825055158806896,3.2370540974788646,0.0,0.4323272300265298,1.0270960784187857,300.0,0.1090831058284939,-0.0278564435781644,-0.0030386673828423,16.0,0.5,1.0,1.0,300.0,1.0,-3.3425809163514826,-3.683900798654933,-3.719209751996641,Sydney_Tokyo_Overlap,NO,165.0,255.0,854.0,0.1334894613582994,4.354770912148063,0.6708701134929969,0.6482168419913564,0.0,19.258051470352232,0.0,1.0,True,1120.251076461262,1837.0190965639088,0.6098200495338668,0.0,0.0,0.0,0.0
2020-12-30,2020,2020-01-07 19:00:00,EXECUTED,BUY,1572.56,M15,3878.999999999997,1990.9999999999852,200.0,NewYork,NO,15.25,0.0,15.25,-1,1,0,1,1,4.3135714285715006,0.990916025240968,0.6504424778760555,0.8454219310559975,2.438571428571452,19,1,1,0,1,0,18.49999999999909,-18.49999999999909,2.9129196485795736,4.5108377270064,0.6504424778760555,9.802142857142874,0.2743025021984217,7.546659700660103,4.673203593673687,0.0,1.4474090771317842,0.6994963626189143,300.0,0.1550701676611037,4.52260395292537,0.7013209532449075,11.0,0.5,1.0,1.0,300.0,1.0,1.4024604569419266,1.6485061511423316,0.8939660222612014,NewYork,NO,60.0,240.0,414.0,0.9710144927535952,0.0492091388401183,1.6485061511423316,0.6233239340402195,0.0,19.07717352597039,0.0,,False,1526.8962523891491,1477.0893157358569,1.0337196512916889,0.05,-73.85446578679284,0.0,0.0
2020-12-30,2020,2020-01-08 18:30:00,EXECUTED,SELL,1554.36,M15,1415.9999999999854,793.0000000000064,39.39999999999827,NewYork,NO,38.75,0.0,38.75,-1,-1,1,1,1,7.554285714285697,1.517762337430964,0.6189634864546514,1.663184688903297,5.168571428571438,18,2,1,0,1,0,-569.9000000000001,569.9000000000001,1.574826848704712,1.934770591487006,0.6189634864546514,13.125,0.4860061835279921,0.8100979122782656,1.8650269413734524,0.0,1.6065901924487784,0.6433516045189017,300.0,0.3325208721641987,-3.682062157562292,-1.2243625199954045,10.0,0.5,1.0,1.0,300.0,1.0,-3.707020453289119,-3.784411276948617,-4.053344389165286,NewYork,NO,30.0,270.0,1996.0,0.0420841683366691,3.699281370923178,0.1625207296848926,0.8443989809310585,0.0,19.30054813556705,0.0,,False,1914.6196044223616,1822.3746686811853,1.0506179861509664,0.05,196.99999999999136,0.0,0.0
2020-12-30,2020,2020-01-09 08:15:00,EXECUTED,SELL,1550.69,M15,1049.000000000001,583.9999999999918,5.700000000001637,Asia,NO,0.0,13.75,13.75,-1,-1,1,0,0,6.657142857142795,1.2144787895109568,0.949999999999992,1.66247213633422,1.707142857142831,8,3,3,1,0,0,-606.5999999999985,606.5999999999985,1.2799333370795676,8.200836820083808,0.949999999999992,13.154999999999989,0.429301978934719,0.2107903985569525,1.50876459633289,0.0,1.0152227188281802,0.9028239041974864,300.0,0.1100892413791816,-9.55417655078553,-1.0518120484787448,14.0,0.5,1.0,1.0,300.0,1.0,-2.887866108786559,-4.756485355648544,-4.692050209205087,Asia,NO,15.0,45.0,1470.0,0.6884353741496658,2.682845188284517,5.928033472803507,0.8483320328369943,0.0,19.34622651851756,0.0,1.0,True,1578.234001457845,1135.2351324515612,1.3902265322335643,0.06,34.20000000000982,0.06,34.20000000000982
2020-12-30,2020,2020-01-10 17:45:00,EXECUTED,BUY,1558.6,M15,453.00000000002,1208.9999999999918,-80.19999999999982,London_NewYork_Overlap,NO,33.5,0.0,33.5,-1,1,0,1,1,3.65571428571429,2.288113027270022,0.7768595041321905,1.377564979480164,3.142142857142858,17,4,1,0,1,0,20.699999999999363,-20.699999999999363,1.6839619588482575,3.8190497840418263,0.7768595041321905,10.378571428571393,0.2345511539660137,2.499431711630033,2.5288866845734788,0.0,1.4171690352347168,0.7699217246246632,300.0,0.2016003372990413,1.2634562781430954,0.2547132118362394,12.0,0.5,1.0,1.0,300.0,1.0,1.3175721754943897,1.3844055467151333,3.2016367356217144,London_NewYork_Overlap,NO,225.0,15.0,747.0,1.3775100401606326,-0.8974766992498091,3.274835189815855,0.6658906344521618,0.0,19.248043115616586,0.0,,False,1373.4600607089376,1734.829237714263,0.7916975520418079,0.0,0.0,0.0,0.0
2020-12-30,2020,2020-01-14 01:45:00,EXECUTED,SELL,1545.22,M15,925.9999999999992,477.99999999999727,-38.99999999999864,Sydney_Tokyo_Overlap,NO,113.5,0.0,113.5,-1,-1,1,0,0,3.1214285714285586,0.3935307530843689,0.8821138211382279,1.5226202212728668,0.8971428571428858,1,1,0,0,0,0,-108.69999999999892,108.69999999999892,0.7381626447580236,13.375796178343522,0.8821138211382279,7.134999999999991,0.2020054472132484,-1.7090009557959116,1.5986316495206654,0.0,0.7868389881019745,0.7765884469525375,300.0,0.0580592315102629,-9.125995439767625,-0.5298482819990727,12.0,0.5,1.0,1.0,300.0,1.0,-3.578025477706933,-3.1433121019106567,-5.361464968152634,Sydney_Tokyo_Overlap,NO,45.0,375.0,1158.0,0.7046632124352308,3.8121019108279848,9.095541401273689,0.4617465474171956,0.0,19.41471117381344,0.0,,False,1106.0598890964611,669.601475303049,1.6518181782617478,0.08,-311.9999999999891,0.0,0.0
