Ticket,Symbol,Type,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason
2,XAUUSD,BUY,1945.73,1924.31,1924.31,1975.73,-107.60,0.25,0.00,-0.63,-108.23,London,2021.01.05 11:45:00,2021.01.06 17:26:32,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1844.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2021.01.19 10:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,BUY,1846.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2021.01.20 04:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
4,XAUUSD,SELL,1829.42,1859.42,1859.42,1799.42,-149.65,0.25,0.00,-0.69,-150.34,NewYork,2021.01.15 18:00:00,2021.01.20 16:21:38,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1864.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2021.01.29 14:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
6,XAUUSD,SELL,1840.71,1870.10,1870.10,1810.71,-146.70,0.25,0.00,-0.92,-147.62,London_NewYork_Overlap,2021.01.27 13:45:00,2021.01.29 15:37:37,0.01,12345,M15,EXECUTED,N/A
8,XAUUSD,SELL,1826.89,1796.89,1854.98,1796.89,150.40,0.25,0.00,0.00,150.40,Asia,2021.02.04 04:00:00,2021.02.04 16:11:39,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1822.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2021.02.08 13:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,BUY,1840.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2021.02.09 04:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,BUY,1853.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2021.02.10 15:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
10,XAUUSD,SELL,1807.39,1777.38,1837.39,1777.39,149.85,0.25,0.00,-0.23,149.62,London_NewYork_Overlap,2021.02.16 15:00:00,2021.02.17 15:30:15,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1793.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2021.02.22 08:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,BUY,1813.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2021.02.23 03:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,SELL,1781.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2021.02.25 15:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Body Ratio Filter
12,XAUUSD,SELL,1744.94,1714.91,1774.94,1714.94,150.70,0.25,0.00,-0.46,150.24,NewYork,2021.02.26 17:00:00,2021.03.02 03:24:42,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1739.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2021.03.16 16:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,BUY,1743.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2021.03.17 20:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,SELL,1726.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2021.03.23 18:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Body Ratio Filter
0,XAUUSD,BUY,1739.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2021.03.25 15:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
14,XAUUSD,SELL,1711.20,1681.20,1741.20,1681.20,149.85,0.25,0.00,-0.23,149.62,London_NewYork_Overlap,2021.03.29 16:45:00,2021.03.30 15:33:39,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1731.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2021.04.05 18:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,BUY,1734.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2021.04.06 04:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,BUY,1740.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2021.04.06 17:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
16,XAUUSD,SELL,1725.80,1755.00,1755.00,1695.80,-146.00,0.25,0.00,-0.92,-146.92,London,2021.04.13 08:45:00,2021.04.15 16:33:38,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1764.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2021.04.20 12:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
19,XAUUSD,BUY,1781.80,1756.76,1756.76,1811.80,-125.40,0.25,0.00,-6.30,-131.70,Asia,2021.04.21 04:45:00,2021.04.29 17:00:04,0.01,12345,M15,EXECUTED,N/A
