=== Market Structure Events (Sorted by Time) ===,,,,,,,
Type,Direction/Action,Price,Time,Timeframe,Status,PreviousPrice,PreviousTime
LL,Update,1918.62,2023.01.26 18:15:00,M15,Accepted,,
HH,Update,1934.50,2023.01.31 07:30:00,M15,Accepted,,
CHoCH,Bearish,1900.82,2023.01.31 14:00:00,M15,Confirmed,1949.09,1970.01.01 00:00:00
HH,Update,1934.50,2023.01.31 14:00:00,M15,Accepted,,
LL,Update,1900.82,2023.01.31 14:00:00,M15,Accepted,,
HH,Update,1934.50,2023.01.31 14:00:00,M15,Accepted,,
HH,Update,1931.15,2023.01.31 20:30:00,M15,Accepted,,
CHoCH,Bullish,1933.21,2023.02.01 15:15:00,M15,Confirmed,1900.82,1970.01.01 00:00:00
LL,Update,1900.82,2023.02.01 15:15:00,M15,Accepted,,
HH,Update,1933.21,2023.02.01 15:15:00,M15,Accepted,,
LL,Update,1900.82,2023.02.01 16:30:00,M15,Accepted,,
LL,Update,1920.54,2023.02.01 19:00:00,M15,Accepted,,
BoS,Bullish,1900.82,2023.02.01 21:30:00,M15,Confirmed,1933.21,1970.01.01 00:00:00
HH,Update,1959.68,2023.02.02 09:15:00,M15,Accepted,,
HH,Update,1959.68,2023.02.02 18:15:00,M15,Accepted,,
CHoCH,Bearish,1911.30,2023.02.02 22:45:00,M15,Confirmed,1959.68,1970.01.01 00:00:00
HH,Update,1959.68,2023.02.02 22:45:00,M15,Accepted,,
LL,Update,1911.30,2023.02.02 22:45:00,M15,Accepted,,
HH,Update,1959.68,2023.02.02 22:45:00,M15,Accepted,,
HH,Update,1918.60,2023.02.03 04:00:00,M15,Accepted,,
BoS,Bearish,1911.30,2023.02.03 12:15:00,M15,Confirmed,1918.60,1970.01.01 00:00:00
LL,Update,1861.44,2023.02.03 20:15:00,M15,Accepted,,
HH,Update,1881.38,2023.02.06 10:15:00,M15,Accepted,,
HH,Update,1884.40,2023.02.07 19:45:00,M15,Accepted,,
CHoCH,Bullish,1886.36,2023.02.08 10:00:00,M15,Confirmed,1861.44,1970.01.01 00:00:00
LL,Update,1861.44,2023.02.08 10:00:00,M15,Accepted,,
LL,Update,1861.44,2023.02.08 10:00:00,M15,Accepted,,
HH,Update,1886.36,2023.02.08 10:00:00,M15,Accepted,,
LL,Update,1869.03,2023.02.08 16:45:00,M15,Accepted,,
BoS,Bullish,1869.03,2023.02.09 15:45:00,M15,Confirmed,1886.36,1970.01.01 00:00:00
HH,Update,1890.31,2023.02.09 16:00:00,M15,Accepted,,
HH,Update,1886.36,2023.02.09 19:30:00,M15,Accepted,,
CHoCH,Bearish,1852.80,2023.02.10 07:15:00,M15,Confirmed,1886.36,1970.01.01 00:00:00
HH,Update,1890.31,2023.02.10 07:15:00,M15,Accepted,,
LL,Update,1852.80,2023.02.10 07:15:00,M15,Accepted,,
HH,Update,1890.31,2023.02.10 07:15:00,M15,Accepted,,
HH,Update,1872.23,2023.02.10 10:15:00,M15,Accepted,,
BoS,Bearish,1852.80,2023.02.13 18:45:00,M15,Confirmed,1872.23,1970.01.01 00:00:00
LL,Update,1850.47,2023.02.13 20:00:00,M15,Accepted,,
HH,Update,1864.95,2023.02.14 08:45:00,M15,Accepted,,
HH,Update,1870.66,2023.02.14 15:30:00,M15,Accepted,,
BoS,Bearish,1850.47,2023.02.14 16:15:00,M15,Confirmed,1864.95,1970.01.01 00:00:00
LL,Update,1843.29,2023.02.14 16:30:00,M15,Accepted,,
HH,Update,1860.11,2023.02.15 04:00:00,M15,Accepted,,
BoS,Bearish,1843.29,2023.02.15 08:30:00,M15,Confirmed,1870.66,1970.01.01 00:00:00
LL,Update,1830.45,2023.02.15 17:30:00,M15,Accepted,,
BoS,Bearish,1830.45,2023.02.16 16:45:00,M15,Confirmed,1860.11,1970.01.01 00:00:00
LL,Update,1827.64,2023.02.16 17:00:00,M15,Accepted,,
HH,Update,1845.30,2023.02.16 21:00:00,M15,Accepted,,
BoS,Bearish,1827.64,2023.02.17 06:15:00,M15,Confirmed,1845.30,1970.01.01 00:00:00
LL,Update,1818.90,2023.02.17 10:30:00,M15,Accepted,,
HH,Update,1843.60,2023.02.17 22:00:00,M15,Accepted,,
LL,Update,1818.90,2023.02.20 06:30:00,M15,Accepted,,
CHoCH,Bullish,1847.48,2023.02.20 10:00:00,M15,Confirmed,1818.90,1970.01.01 00:00:00
LL,Update,1818.90,2023.02.20 10:00:00,M15,Accepted,,
HH,Update,1847.48,2023.02.20 10:00:00,M15,Accepted,,
LL,Update,1841.11,2023.02.20 10:45:00,M15,Accepted,,
HH,Update,1847.48,2023.02.20 19:45:00,M15,Accepted,,
CHoCH,Bearish,1830.23,2023.02.21 14:30:00,M15,Confirmed,1847.48,1970.01.01 00:00:00
HH,Update,1847.48,2023.02.21 14:30:00,M15,Accepted,,
