Ticket,Symbol,Type,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason
2,XAUUSD,BUY,1945.73,1924.31,1924.31,1975.73,-107.60,0.25,0.00,-0.63,-108.23,London,2021.01.05 11:45:00,2021.01.06 17:26:32,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1844.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2021.01.19 10:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,BUY,1846.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2021.01.20 04:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
4,XAUUSD,SELL,1829.42,1859.42,1859.42,1799.42,-149.65,0.25,0.00,-0.69,-150.34,NewYork,2021.01.15 18:00:00,2021.01.20 16:21:38,0.01,12345,M15,EXECUTED,N/A
6,XAUUSD,SELL,1840.71,1870.10,1870.10,1810.71,-146.70,0.25,0.00,-0.92,-147.62,London_NewYork_Overlap,2021.01.27 13:45:00,2021.01.29 15:37:37,0.01,12345,M15,EXECUTED,N/A
7,XAUUSD,BUY,1864.73,1834.72,1834.73,1894.73,-150.45,0.25,0.00,-1.26,-151.71,London_NewYork_Overlap,2021.01.29 14:15:00,2021.02.02 15:25:41,0.01,12345,M15,EXECUTED,N/A
10,XAUUSD,SELL,1826.89,1796.89,1854.98,1796.89,150.40,0.25,0.00,0.00,150.40,Asia,2021.02.04 04:00:00,2021.02.04 16:11:39,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1822.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2021.02.08 13:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
12,XAUUSD,BUY,1840.24,1810.22,1810.24,1870.24,-150.80,0.25,0.00,-4.41,-155.21,Asia,2021.02.09 04:30:00,2021.02.16 14:49:24,0.01,12345,M15,EXECUTED,N/A
14,XAUUSD,SELL,1807.39,1777.38,1837.39,1777.39,149.85,0.25,0.00,-0.23,149.62,London_NewYork_Overlap,2021.02.16 15:00:00,2021.02.17 15:30:15,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1793.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2021.02.22 08:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
16,XAUUSD,BUY,1813.25,1783.24,1783.25,1843.25,-150.15,0.25,0.00,-2.52,-152.67,Asia,2021.02.23 03:45:00,2021.02.25 13:47:38,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1781.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2021.02.25 15:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Body Ratio Filter
18,XAUUSD,SELL,1744.94,1714.91,1774.94,1714.94,150.70,0.25,0.00,-0.46,150.24,NewYork,2021.02.26 17:00:00,2021.03.02 03:24:42,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1726.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2021.03.23 18:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Body Ratio Filter
21,XAUUSD,BUY,1739.90,1713.79,1713.79,1769.90,-130.65,0.25,0.00,-1.26,-131.91,London_NewYork_Overlap,2021.03.25 15:30:00,2021.03.29 16:41:40,0.01,12345,M15,EXECUTED,N/A
20,XAUUSD,BUY,1739.73,1716.23,1716.25,1769.73,-117.60,0.25,0.00,-8.19,-125.79,London_NewYork_Overlap,2021.03.16 16:30:00,2021.03.29 16:37:39,0.01,12345,M15,EXECUTED,N/A
24,XAUUSD,SELL,1711.20,1681.20,1741.20,1681.20,149.85,0.25,0.00,-0.23,149.62,London_NewYork_Overlap,2021.03.29 16:45:00,2021.03.30 15:33:39,0.01,12345,M15,EXECUTED,N/A
27,XAUUSD,SELL,1725.80,1755.00,1755.00,1695.80,-146.00,0.25,0.00,-0.92,-146.92,London,2021.04.13 08:45:00,2021.04.15 16:33:38,0.01,12345,M15,EXECUTED,N/A
26,XAUUSD,BUY,1731.84,1761.85,1711.25,1761.84,149.80,0.25,0.00,-7.56,142.24,NewYork,2021.04.05 18:30:00,2021.04.15 17:12:39,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1764.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2021.04.20 12:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
31,XAUUSD,BUY,1781.80,1756.76,1756.76,1811.80,-125.40,0.25,0.00,-6.30,-131.70,Asia,2021.04.21 04:45:00,2021.04.29 17:00:04,0.01,12345,M15,EXECUTED,N/A
30,XAUUSD,BUY,1771.07,1801.07,1749.72,1801.07,149.90,0.25,0.00,-12.60,137.30,London_NewYork_Overlap,2021.04.16 13:00:00,2021.05.06 16:36:21,0.01,12345,M15,EXECUTED,N/A
34,XAUUSD,BUY,1806.97,1836.98,1776.97,1836.97,150.60,0.25,0.00,-0.63,149.97,London_NewYork_Overlap,2021.05.06 16:45:00,2021.05.07 15:36:40,0.01,12345,M15,EXECUTED,N/A
36,XAUUSD,SELL,1811.36,1833.02,1833.01,1781.36,-108.25,0.25,0.00,-0.23,-108.48,London_NewYork_Overlap,2021.05.13 13:00:00,2021.05.14 09:39:31,0.01,12345,M15,EXECUTED,N/A
37,XAUUSD,BUY,1832.00,1862.01,1803.24,1862.00,149.50,0.25,0.00,-0.63,148.87,London,2021.05.14 09:30:00,2021.05.17 17:38:41,0.01,12345,M15,EXECUTED,N/A
