=== Market Structure Events (Sorted by Time) ===,,,,,,,
Type,Direction/Action,Price,Time,Timeframe,Status,PreviousPrice,PreviousTime
LL,Update,1452.94,2019.11.29 15:00:00,H1,Accepted,,
HH,Bullish,1466.53,2019.11.29 19:00:00,H1,Updated,,1970.01.01 00:00:00
HH,Update,1466.53,2019.11.29 19:00:00,H1,Accepted,,
HH,Bullish,1481.73,2019.12.03 16:00:00,H1,Updated,1466.53,1970.01.01 00:00:00
HH,Update,1481.73,2019.12.03 16:00:00,H1,Accepted,,
HH,Bullish,1484.01,2019.12.04 10:00:00,H1,Updated,1481.73,1970.01.01 00:00:00
HH,Update,1484.01,2019.12.04 10:00:00,H1,Accepted,,
HH,Bullish,1486.69,2019.12.12 16:00:00,H1,Updated,1484.01,1970.01.01 00:00:00
HH,Update,1486.69,2019.12.12 16:00:00,H1,Accepted,,
HH,Update,1485.21,2019.12.23 12:00:00,M15,Accepted,,
LL,Update,1480.46,2019.12.23 15:15:00,M15,Accepted,,
HH,Update,1505.48,2019.12.26 07:30:00,M15,Accepted,,
HH,Update,1512.56,2019.12.26 17:00:00,M15,Accepted,,
HH,Update,1513.90,2019.12.27 05:00:00,M15,Accepted,,
HH,Update,1515.29,2019.12.27 18:30:00,M15,Accepted,,
HH,Update,1515.73,2019.12.30 05:15:00,M15,Accepted,,
HH,Update,1516.07,2019.12.30 18:45:00,M15,Accepted,,
HH,Update,1525.23,2019.12.31 09:00:00,M15,Accepted,,
LL,Update,1452.94,2019.12.31 20:00:00,H1,Accepted,,
LL,Update,1480.46,2020.01.02 16:00:00,M15,Accepted,,
CHoCH,Bullish,1531.32,2020.01.02 17:30:00,M15,Confirmed,1480.46,1970.01.01 00:00:00
LL,Update,1480.46,2020.01.02 17:30:00,M15,Accepted,,
HH,Update,1531.32,2020.01.02 17:30:00,M15,Accepted,,
BoS,Bullish,1480.46,2020.01.03 03:30:00,M15,Confirmed,1531.32,1970.01.01 00:00:00
HH,Update,1551.46,2020.01.03 13:45:00,M15,Accepted,,
BoS,Bullish,1480.46,2020.01.06 01:00:00,M15,Confirmed,1551.46,1970.01.01 00:00:00
HH,Update,1582.09,2020.01.06 01:00:00,M15,Accepted,,
LL,Update,1570.13,2020.01.06 09:30:00,M15,Accepted,,
HH,Update,1582.09,2020.01.06 17:15:00,M15,Accepted,,
CHoCH,Bearish,1560.70,2020.01.06 18:30:00,M15,Confirmed,1582.09,1970.01.01 00:00:00
HH,Update,1582.09,2020.01.06 18:30:00,M15,Accepted,,
LL,Update,1560.70,2020.01.06 18:30:00,M15,Accepted,,
HH,Update,1582.09,2020.01.06 18:30:00,M15,Accepted,,
BoS,Bearish,1560.70,2020.01.07 03:45:00,M15,Confirmed,1582.09,1970.01.01 00:00:00
LL,Update,1555.23,2020.01.07 04:00:00,M15,Accepted,,
HH,Update,1570.71,2020.01.07 09:45:00,M15,Accepted,,
LL,Update,1555.23,2020.01.07 19:15:00,M15,Accepted,,
CHoCH,Bullish,1611.35,2020.01.08 02:15:00,M15,Confirmed,1555.23,1970.01.01 00:00:00
LL,Update,1555.23,2020.01.08 02:15:00,M15,Accepted,,
HH,Update,1611.35,2020.01.08 02:15:00,M15,Accepted,,
HH,Update,1611.35,2020.01.08 18:30:00,M15,Accepted,,
CHoCH,Bearish,1552.22,2020.01.08 21:45:00,M15,Confirmed,1611.35,1970.01.01 00:00:00
HH,Update,1611.35,2020.01.08 21:45:00,M15,Accepted,,
LL,Update,1552.22,2020.01.08 21:45:00,M15,Accepted,,
HH,Update,1611.35,2020.01.08 21:45:00,M15,Accepted,,
BoS,Bearish,1552.22,2020.01.09 08:15:00,M15,Confirmed,1611.35,1970.01.01 00:00:00
LL,Update,1540.20,2020.01.09 08:30:00,M15,Accepted,,
HH,Update,1556.53,2020.01.09 14:45:00,M15,Accepted,,
LL,Update,1540.20,2020.01.10 18:00:00,M15,Accepted,,
CHoCH,Bullish,1563.13,2020.01.10 23:30:00,M15,Confirmed,1540.20,1970.01.01 00:00:00
LL,Update,1540.20,2020.01.10 23:30:00,M15,Accepted,,
HH,Update,1563.13,2020.01.10 23:30:00,M15,Accepted,,
LL,Update,1546.51,2020.01.13 11:00:00,M15,Accepted,,
HH,Update,1556.09,2020.01.14 01:45:00,M15,Accepted,,
CHoCH,Bearish,1535.96,2020.01.14 03:15:00,M15,Confirmed,1563.13,1970.01.01 00:00:00
HH,Update,1556.09,2020.01.14 03:15:00,M15,Accepted,,
LL,Update,1535.96,2020.01.14 03:15:00,M15,Accepted,,
HH,Update,1556.09,2020.01.14 03:15:00,M15,Accepted,,
CHoCH,Bullish,1558.17,2020.01.15 21:30:00,M15,Confirmed,1535.96,1970.01.01 00:00:00
LL,Update,1535.96,2020.01.15 21:30:00,M15,Accepted,,
HH,Update,1558.17,2020.01.15 21:30:00,M15,Accepted,,
LL,Update,1535.96,2020.01.16 02:15:00,M15,Accepted,,
LL,Update,1551.37,2020.01.16 07:45:00,M15,Accepted,,
HH,Update,1558.17,2020.01.16 17:30:00,M15,Accepted,,
CHoCH,Bearish,1547.98,2020.01.16 17:45:00,M15,Confirmed,1558.17,1970.01.01 00:00:00
HH,Update,1558.17,2020.01.16 17:45:00,M15,Accepted,,
LL,Update,1547.98,2020.01.16 17:45:00,M15,Accepted,,
HH,Update,1558.17,2020.01.16 17:45:00,M15,Accepted,,
LL,Update,1547.98,2020.01.17 14:45:00,M15,Accepted,,
CHoCH,Bullish,1561.21,2020.01.17 21:15:00,M15,Confirmed,1547.98,1970.01.01 00:00:00
LL,Update,1547.98,2020.01.17 21:15:00,M15,Accepted,,
